   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00123203, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00662536, 0, 2.24461e-21, 0, 1.41421, -2.24461e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02065e-23, 0, 0, 3.73135e-26, 5.73763e-24, 0, 2.22862e-21, 0, 0
0.0144828, 0, 5.08954e-21, 0, 1.41421, -5.08954e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31415e-23, 0, 0, 8.56086e-26, 1.32748e-23, 0, 5.05304e-21, 0, 0
0.0223401, 0, 1.13771e-20, 0, 1.41421, -1.13771e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17275e-23, 0, 0, 1.93672e-25, 3.02604e-23, 0, 1.12949e-20, 0, 0
0.0301975, 0, 2.50889e-20, 0, 1.41421, -2.50889e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14064e-22, 0, 0, 4.32315e-25, 6.80154e-23, 0, 2.49064e-20, 0, 0
0.0380549, 0, 5.4611e-20, 0, 1.41421, -5.4611e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48271e-22, 0, 0, 9.52728e-25, 1.50839e-22, 0, 5.42109e-20, 0, 0
0.0459123, 0, 1.17395e-19, 0, 1.41421, -1.17395e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33669e-22, 0, 0, 2.07395e-24, 3.30259e-22, 0, 1.16529e-19, 0, 0
0.0537697, 0, 2.49335e-19, 0, 1.41421, -2.49335e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1334e-21, 0, 0, 4.46158e-24, 7.14266e-22, 0, 2.47483e-19, 0, 0
0.0616271, 0, 5.23438e-19, 0, 1.41421, -5.23438e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37927e-21, 0, 0, 9.48902e-24, 1.52664e-21, 0, 5.19522e-19, 0, 0
0.0694845, 0, 1.08655e-18, 0, 1.41421, -1.08655e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93862e-21, 0, 0, 1.99599e-23, 3.22607e-21, 0, 1.07837e-18, 0, 0
