   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0773419, 0, 2.23093e-18, 0, 1.41421, -2.23093e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01395e-20, 0, 0, 4.15385e-23, 6.74282e-21, 0, 2.214e-18, 0, 0
0.0851993, 0, 4.53208e-18, 0, 1.41421, -4.53208e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05971e-20, 0, 0, 8.55515e-23, 1.39442e-20, 0, 4.49746e-18, 0, 0
0.0930567, 0, 9.11187e-18, 0, 1.41421, -9.11187e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14087e-20, 0, 0, 1.74427e-22, 2.85414e-20, 0, 9.04175e-18, 0, 0
0.100914, 0, 1.81352e-17, 0, 1.41421, -1.81352e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24101e-20, 0, 0, 3.52146e-22, 5.78379e-20, 0, 1.79946e-17, 0, 0
0.108771, 0, 3.57387e-17, 0, 1.41421, -3.57387e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62395e-19, 0, 0, 7.04134e-22, 1.16072e-19, 0, 3.54596e-17, 0, 0
0.116629, 0, 6.97505e-17, 0, 1.41421, -6.97505e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16923e-19, 0, 0, 1.39478e-21, 2.30746e-19, 0, 6.92015e-17, 0, 0
0.124486, 0, 1.34844e-16, 0, 1.41421, -1.34844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12646e-19, 0, 0, 2.73753e-21, 4.54498e-19, 0, 1.33774e-16, 0, 0
0.132344, 0, 2.58264e-16, 0, 1.41421, -2.58264e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17332e-18, 0, 0, 5.32475e-21, 8.87195e-19, 0, 2.56198e-16, 0, 0
0.140201, 0, 4.90133e-16, 0, 1.41421, -4.90133e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22657e-18, 0, 0, 1.02659e-20, 1.71666e-18, 0, 4.8618e-16, 0, 0
0.148058, 0, 9.21823e-16, 0, 1.41421, -9.21823e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18734e-18, 0, 0, 1.96211e-20, 3.29318e-18, 0, 9.14323e-16, 0, 0
0.155916, 0, 1.71839e-15, 0, 1.41421, -1.71839e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80513e-18, 0, 0, 3.71825e-20, 6.26453e-18, 0, 1.70428e-15, 0, 0
0.163773, 0, 3.17535e-15, 0, 1.41421, -3.17535e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44217e-17, 0, 0, 6.98723e-20, 1.1819e-17, 0, 3.14904e-15, 0, 0
0.171631, 0, 5.81709e-15, 0, 1.41421, -5.81709e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64177e-17, 0, 0, 1.3022e-19, 2.21192e-17, 0, 5.76842e-15, 0, 0
0.179488, 0, 1.06079e-14, 0, 1.41421, -1.06079e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81703e-17, 0, 0, 2.42138e-19, 4.13428e-17, 0, 1.05182e-14, 0, 0
0.187345, 0, 1.90964e-14, 0, 1.41421, -1.90964e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67082e-17, 0, 0, 4.43757e-19, 7.61198e-17, 0, 1.89331e-14, 0, 0
0.195203, 0, 3.40933e-14, 0, 1.41421, -3.40933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54788e-16, 0, 0, 8.06912e-19, 1.39095e-16, 0, 3.37986e-14, 0, 0
0.20306, 0, 6.03698e-14, 0, 1.41421, -6.03698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74061e-16, 0, 0, 1.45597e-18, 2.52287e-16, 0, 5.9842e-14, 0, 0
0.210918, 0, 1.06032e-13, 0, 1.41421, -1.06032e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81305e-16, 0, 0, 2.60719e-18, 4.54264e-16, 0, 1.05094e-13, 0, 0
0.218775, 0, 1.84734e-13, 0, 1.41421, -1.84734e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.38465e-16, 0, 0, 4.63377e-18, 8.12088e-16, 0, 1.83079e-13, 0, 0
0.226632, 0, 3.19284e-13, 0, 1.41421, -3.19284e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.449e-15, 0, 0, 8.17504e-18, 1.44155e-15, 0, 3.16385e-13, 0, 0
0.23449, 0, 5.47466e-13, 0, 1.41421, -5.47466e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48428e-15, 0, 0, 1.43183e-17, 2.54139e-15, 0, 5.42426e-13, 0, 0
0.242347, 0, 9.31339e-13, 0, 1.41421, -9.31339e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22575e-15, 0, 0, 2.49e-17, 4.45005e-15, 0, 9.22639e-13, 0, 0
0.250205, 0, 1.57201e-12, 0, 1.41421, -1.57201e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13183e-15, 0, 0, 4.30004e-17, 7.74051e-15, 0, 1.55709e-12, 0, 0
0.258062, 0, 2.6328e-12, 0, 1.41421, -2.6328e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19431e-14, 0, 0, 7.37537e-17, 1.33766e-14, 0, 2.60741e-12, 0, 0
0.265919, 0, 4.37541e-12, 0, 1.41421, -4.37541e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98459e-14, 0, 0, 1.25665e-16, 2.29699e-14, 0, 4.33247e-12, 0, 0
0.273777, 0, 7.21567e-12, 0, 1.41421, -7.21567e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27253e-14, 0, 0, 2.12741e-16, 3.91987e-14, 0, 7.14354e-12, 0, 0
0.281634, 0, 1.1809e-11, 0, 1.41421, -1.1809e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35523e-14, 0, 0, 3.57921e-16, 6.64904e-14, 0, 1.16886e-11, 0, 0
0.289491, 0, 1.91797e-11, 0, 1.41421, -1.91797e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69707e-14, 0, 0, 5.98597e-16, 1.12124e-13, 0, 1.898e-11, 0, 0
0.297349, 0, 3.09163e-11, 0, 1.41421, -3.09163e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40182e-13, 0, 0, 9.95449e-16, 1.88008e-13, 0, 3.05871e-11, 0, 0
0.305206, 0, 4.94612e-11, 9.80909e-45, 1.41421, -4.94612e-11, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 2.24259e-13, 9.80909e-45, 9.80909e-45, 1.64656e-15, 3.13536e-13, 9.80909e-45, 4.89218e-11, 9.80909e-45, 9.80909e-45
0.313064, 0, 7.85404e-11, 2.01787e-43, 1.41421, -7.85404e-11, 0, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 2.01787e-43, 3.56102e-13, 2.01787e-43, 2.01787e-43, 2.70997e-15, 5.20154e-13, 2.01787e-43, 7.76614e-11, 2.01787e-43, 2.01787e-43
0.320921, 0, 1.23792e-10, 2.97636e-42, 1.41421, -1.23792e-10, 0, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 2.97636e-42, 5.61285e-13, 2.97636e-42, 2.97636e-42, 4.43968e-15, 8.58667e-13, 2.97636e-42, 1.22367e-10, 2.97636e-42, 2.97636e-42
0.328778, 0, 1.93677e-10, 4.01248e-41, 1.41421, -1.93677e-10, 0, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 4.01248e-41, 8.78216e-13, 4.01248e-41, 4.01248e-41, 7.24313e-15, 1.41087e-12, 4.01248e-41, 1.9138e-10, 4.01248e-41, 4.01248e-41
0.336636, 0, 3.00796e-10, 4.85899e-40, 1.41421, -3.00796e-10, 0, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 4.85899e-40, 1.36412e-12, 4.85899e-40, 4.85899e-40, 1.1773e-14, 2.30808e-12, 4.85899e-40, 2.97112e-10, 4.85899e-40, 4.85899e-40
0.344493, 0, 4.6376e-10, 5.30525e-39, 1.41421, -4.6376e-10, 0, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 5.30525e-39, 2.10359e-12, 5.30525e-39, 5.30525e-39, 1.90744e-14, 3.7606e-12, 5.30525e-39, 4.57877e-10, 5.30525e-39, 5.30525e-39
0.352351, 0, 7.09848e-10, 5.24492e-38, 1.41421, -7.09848e-10, 0, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 5.24492e-38, 3.22073e-12, 5.24492e-38, 5.24492e-38, 3.08202e-14, 6.10459e-12, 5.24492e-38, 7.00491e-10, 5.24492e-38, 5.24492e-38
0.360208, 0, 1.07872e-09, 4.71981e-37, 1.41421, -1.07872e-09, 0, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.71981e-37, 4.89624e-12, 4.71981e-37, 4.71981e-37, 4.96891e-14, 9.87652e-12, 4.71981e-37, 1.0639e-09, 4.71981e-37, 4.71981e-37
0.368065, 0, 1.6276e-09, 3.88633e-36, 1.41421, -1.6276e-09, 0, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 3.88633e-36, 7.39123e-12, 3.88633e-36, 3.88633e-36, 7.99738e-14, 1.59316e-11, 3.88633e-36, 1.6042e-09, 3.88633e-36, 3.88633e-36
0.375923, 0, 2.43842e-09, 2.94236e-35, 1.41421, -2.43842e-09, 0, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 2.94236e-35, 1.10802e-11, 2.94236e-35, 2.94236e-35, 1.28557e-13, 2.56315e-11, 2.94236e-35, 2.40158e-09, 2.94236e-35, 2.94236e-35
0.38378, 0, 3.62758e-09, 2.05747e-34, 1.41421, -3.62758e-09, 0, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 2.05747e-34, 1.64967e-11, 2.05747e-34, 2.05747e-34, 2.06482e-13, 4.11438e-11, 2.05747e-34, 3.56973e-09, 2.05747e-34, 2.05747e-34
0.391638, 0, 5.35926e-09, 1.41317e-33, 1.41421, -5.35926e-09, 0, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 1.41317e-33, 2.43948e-11, 1.41317e-33, 1.41317e-33, 3.31478e-13, 6.59151e-11, 1.41317e-33, 5.26862e-09, 1.41317e-33, 1.41317e-33
0.399495, 0, 7.86329e-09, 9.32546e-33, 1.41421, -7.86329e-09, 0, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 9.32546e-33, 3.58339e-11, 9.32546e-33, 9.32546e-33, 5.3201e-13, 1.05423e-10, 9.32546e-33, 7.7215e-09, 9.32546e-33, 9.32546e-33
0.407352, 0, 1.14591e-08, 5.77922e-32, 1.41421, -1.14591e-08, 0, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.77922e-32, 5.22913e-11, 5.77922e-32, 5.77922e-32, 8.53757e-13, 1.68364e-10, 5.77922e-32, 1.12376e-08, 5.77922e-32, 5.77922e-32
0.41521, 0, 1.65876e-08, 3.34893e-31, 1.41421, -1.65876e-08, 0, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 3.34893e-31, 7.58142e-11, 3.34893e-31, 3.34893e-31, 1.36995e-12, 2.68529e-10, 3.34893e-31, 1.62419e-08, 3.34893e-31, 3.34893e-31
0.423067, 0, 2.3853e-08, 1.8169e-30, 1.41421, -2.3853e-08, 0, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.8169e-30, 1.09221e-10, 1.8169e-30, 1.8169e-30, 2.19778e-12, 4.27745e-10, 1.8169e-30, 2.33139e-08, 1.8169e-30, 1.8169e-30
0.430925, 0, 3.40784e-08, 9.25375e-30, 1.41421, -3.40784e-08, 0, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 9.25375e-30, 1.5637e-10, 9.25375e-30, 9.25375e-30, 3.52436e-12, 6.80484e-10, 9.25375e-30, 3.3238e-08, 9.25375e-30, 9.25375e-30
0.438782, 0, 4.83771e-08, 4.4382e-29, 1.41421, -4.83771e-08, 0, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 4.4382e-29, 2.22504e-10, 4.4382e-29, 4.4382e-29, 5.64744e-12, 1.08102e-09, 4.4382e-29, 4.70679e-08, 4.4382e-29, 4.4382e-29
0.446639, 0, 6.82466e-08, 2.01076e-28, 1.41421, -6.82466e-08, 0, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 2.01076e-28, 3.14718e-10, 2.01076e-28, 2.01076e-28, 9.03906e-12, 1.7145e-09, 2.01076e-28, 6.62083e-08, 2.01076e-28, 2.01076e-28
0.454497, 0, 9.56891e-08, 8.63163e-28, 1.41421, -9.56891e-08, 0, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 8.63163e-28, 4.42546e-10, 8.63163e-28, 8.63163e-28, 1.44441e-11, 2.7139e-09, 8.63163e-28, 9.25182e-08, 8.63163e-28, 8.63163e-28
0.462354, 0, 1.33367e-07, 3.52064e-27, 1.41421, -1.33367e-07, 0, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 3.52064e-27, 6.18734e-10, 3.52064e-27, 3.52064e-27, 2.30321e-11, 4.28583e-09, 3.52064e-27, 1.2844e-07, 3.52064e-27, 3.52064e-27
0.470211, 0, 1.84804e-07, 1.36804e-26, 1.41421, -1.84804e-07, 0, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 1.36804e-26, 8.60231e-10, 1.36804e-26, 1.36804e-26, 3.66282e-11, 6.74935e-09, 1.36804e-26, 1.77158e-07, 1.36804e-26, 1.36804e-26
0.478069, 0, 2.54639e-07, 7.90557e-26, 1.41421, -2.54639e-07, 0, 7.90557e-26, 7.90557e-26, 7.90557e-26, 7.90557e-26, 7.90557e-26, 7.90557e-26, 1.77416e-13, 7.90557e-26, 7.90557e-26, 7.90557e-26, 1.18946e-09, 7.90557e-26, 7.90557e-26, 5.80836e-11, 1.0596e-08, 7.90557e-26, 2.42796e-07, 7.90557e-26, 7.90557e-26
0.485926, 0, 3.50104e-07, 2.73673e-25, 1.41421, -3.50104e-07, 0, 8.76218e-15, 5.00554e-14, 1.14369e-12, 1.49431e-13, 2.07913e-13, 3.66371e-13, 2.87049e-12, 6.56918e-12, 2.30396e-12, 1.10155e-09, 1.63589e-09, 3.65574e-13, 1.98318e-14, 9.17275e-11, 1.65679e-08, 1.47705e-15, 3.30683e-07, 2.73673e-25, 1.04163e-11
0.493784, 0, 4.79938e-07, 3.67294e-10, 1.41421, -4.79938e-07, 3.67294e-10, 3.67324e-10, 3.67463e-10, 3.71155e-10, 3.67799e-10, 3.67996e-10, 3.68531e-10, 3.76528e-10, 3.89468e-10, 3.75071e-10, 4.08541e-09, 2.60541e-09, 3.68528e-10, 3.67361e-10, 5.11552e-10, 2.61606e-08, 3.67299e-10, 4.47962e-07, 3.67294e-10, 4.02453e-10
0.501641, 0, 6.56601e-07, 1.23419e-09, 1.41421, -6.56601e-07, 1.23419e-09, 1.23427e-09, 1.23463e-09, 1.24432e-09, 1.23551e-09, 1.23603e-09, 1.23744e-09, 1.25805e-09, 1.29239e-09, 1.2546e-09, 1.09937e-08, 4.28049e-09, 1.23743e-09, 1.23437e-09, 1.46001e-09, 4.1194e-08, 1.2342e-09, 6.03394e-07, 1.23419e-09, 1.32648e-09
0.509498, 0, 8.98508e-07, 3.22677e-09, 1.41421, -8.98508e-07, 3.22677e-09, 3.22695e-09, 3.22783e-09, 3.25102e-09, 3.22994e-09, 3.23118e-09, 3.23454e-09, 3.28342e-09, 3.3661e-09, 3.27563e-09, 2.65912e-08, 7.35219e-09, 3.23452e-09, 3.22719e-09, 3.57845e-09, 6.47998e-08, 3.2268e-09, 8.08578e-07, 3.22677e-09, 3.4477e-09
0.517356, 0, 1.2335e-06, 7.70281e-09, 1.41421, -1.2335e-06, 7.70281e-09, 7.70323e-09, 7.70523e-09, 7.75813e-09, 7.71004e-09, 7.71287e-09, 7.72053e-09, 7.83129e-09, 8.02059e-09, 7.81426e-09, 6.09891e-08, 1.32619e-08, 7.72049e-09, 7.70377e-09, 8.24752e-09, 1.02025e-07, 7.70288e-09, 1.07862e-06, 7.70281e-09, 8.20669e-09
0.525213, 0, 1.70581e-06, 1.75283e-08, 1.41421, -1.70581e-06, 1.75283e-08, 1.75293e-08, 1.75337e-08, 1.76504e-08, 1.75443e-08, 1.75505e-08, 1.75674e-08, 1.78106e-08, 1.82297e-08, 1.77743e-08, 1.35129e-07, 2.49826e-08, 1.75674e-08, 1.75305e-08, 1.83671e-08, 1.61132e-07, 1.75285e-08, 1.43373e-06, 1.75283e-08, 1.86404e-08
0.533071, 0, 2.38858e-06, 3.86126e-08, 1.41421, -2.38858e-06, 3.86126e-08, 3.86146e-08, 3.86241e-08, 3.8875e-08, 3.86469e-08, 3.86603e-08, 3.86967e-08, 3.92619e-08, 4.01199e-08, 3.91412e-08, 2.91357e-07, 4.85597e-08, 3.86965e-08, 3.86172e-08, 3.98963e-08, 2.55909e-07, 3.86129e-08, 1.90171e-06, 3.86126e-08, 4.10026e-08
0.540928, 0, 3.40599e-06, 8.28479e-08, 1.41421, -3.40599e-06, 8.28479e-08, 8.28521e-08, 8.2872e-08, 8.33986e-08, 8.29199e-08, 8.2948e-08, 8.30243e-08, 8.42631e-08, 8.60111e-08, 8.39573e-08, 6.13261e-07, 9.6058e-08, 8.30239e-08, 8.28575e-08, 8.48002e-08, 4.09209e-07, 8.28486e-08, 2.52223e-06, 8.28479e-08, 8.78635e-08
0.548785, 0, 4.97465e-06, 1.73601e-07, 1.41421, -4.97465e-06, 1.73601e-07, 1.7361e-07, 1.73651e-07, 1.74731e-07, 1.73749e-07, 1.73807e-07, 1.73963e-07, 1.77165e-07, 1.80092e-07, 1.75878e-07, 1.26194e-06, 1.91062e-07, 1.73963e-07, 1.73621e-07, 1.76551e-07, 6.60229e-07, 1.73603e-07, 3.35437e-06, 1.73601e-07, 1.83893e-07
0.556643, 0, 7.47283e-06, 3.55683e-07, 1.41421, -7.47283e-06, 3.55683e-07, 3.557e-07, 3.55782e-07, 3.57951e-07, 3.55979e-07, 3.56095e-07, 3.5641e-07, 3.63759e-07, 3.68712e-07, 3.60252e-07, 2.54042e-06, 3.78652e-07, 3.56408e-07, 3.55722e-07, 3.60111e-07, 1.07592e-06, 3.55686e-07, 4.48954e-06, 3.55683e-07, 3.76342e-07
0.5645, 0, 1.15625e-05, 7.12986e-07, 1.41421, -1.15625e-05, 7.12986e-07, 7.1302e-07, 7.13181e-07, 7.17442e-07, 7.13568e-07, 7.13796e-07, 7.14414e-07, 7.30369e-07, 7.38583e-07, 7.21963e-07, 5.00523e-06, 7.43063e-07, 7.1441e-07, 7.13063e-07, 7.19588e-07, 1.771e-06, 7.12992e-07, 6.07404e-06, 7.12986e-07, 7.53574e-07
0.572358, 0, 1.83915e-05, 1.39879e-06, 1.41421, -1.83915e-05, 1.39879e-06, 1.39886e-06, 1.39917e-06, 1.40736e-06, 1.39991e-06, 1.40035e-06, 1.40154e-06, 1.43503e-06, 1.44802e-06, 1.41606e-06, 9.65378e-06, 1.438e-06, 1.40153e-06, 1.39894e-06, 1.40857e-06, 2.94138e-06, 1.3988e-06, 8.34679e-06, 1.39879e-06, 1.47685e-06
0.580215, 0, 2.99228e-05, 2.68645e-06, 1.41421, -2.99228e-05, 2.68645e-06, 2.68658e-06, 2.68716e-06, 2.70259e-06, 2.68856e-06, 2.68939e-06, 2.69162e-06, 2.7597e-06, 2.77916e-06, 2.71897e-06, 1.8231e-05, 2.73733e-06, 2.69161e-06, 2.68673e-06, 2.70083e-06, 4.91897e-06, 2.68648e-06, 1.17024e-05, 2.68645e-06, 2.83345e-06
0.588072, 0, 4.94587e-05, 5.05168e-06, 1.41421, -4.94587e-05, 5.05168e-06, 5.05191e-06, 5.05298e-06, 5.08144e-06, 5.05557e-06, 5.05709e-06, 5.06121e-06, 5.19746e-06, 5.22262e-06, 5.11163e-06, 3.37157e-05, 5.11741e-06, 5.06119e-06, 5.05219e-06, 5.07267e-06, 8.25952e-06, 5.05172e-06, 1.67922e-05, 5.05168e-06, 5.32273e-06
0.59593, 0, 8.24456e-05, 9.30231e-06, 1.41421, -8.24456e-05, 9.30231e-06, 9.30272e-06, 9.30466e-06, 9.35606e-06, 9.30933e-06, 9.31208e-06, 9.31953e-06, 9.58802e-06, 9.61103e-06, 9.41059e-06, 6.107e-05, 9.3869e-06, 9.31949e-06, 9.30324e-06, 9.33278e-06, 1.388e-05, 9.30238e-06, 2.46842e-05, 9.30231e-06, 9.79183e-06
0.603787, 0, 0.000137678, 1.67766e-05, 1.41421, -0.000137678, 1.67766e-05, 1.67773e-05, 1.67808e-05, 1.68717e-05, 1.6789e-05, 1.67939e-05, 1.68071e-05, 1.73279e-05, 1.73228e-05, 1.69682e-05, 0.000108357, 1.6885e-05, 1.6807e-05, 1.67783e-05, 1.68205e-05, 2.32671e-05, 1.67767e-05, 3.71075e-05, 1.67766e-05, 1.76426e-05
0.611645, 0, 0.000229043, 2.96375e-05, 1.41421, -0.000229043, 2.96375e-05, 2.96388e-05, 2.96447e-05, 2.98023e-05, 2.9659e-05, 2.96675e-05, 2.96903e-05, 3.06847e-05, 3.05841e-05, 2.99695e-05, 0.00018836, 2.97759e-05, 2.96902e-05, 2.96404e-05, 2.97004e-05, 3.87857e-05, 2.96377e-05, 5.68107e-05, 2.96375e-05, 3.11384e-05
0.619502, 0, 0.000377958, 5.12934e-05, 1.41421, -0.000377958, 5.12934e-05, 5.12955e-05, 5.13057e-05, 5.15733e-05, 5.133e-05, 5.13443e-05, 5.13831e-05, 5.32514e-05, 5.29008e-05, 5.18572e-05, 0.000320835, 5.14696e-05, 5.13829e-05, 5.12983e-05, 5.1383e-05, 6.41193e-05, 5.12938e-05, 8.80803e-05, 5.12934e-05, 5.38422e-05
