   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_93.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.194811, 0, 1.17753e-12, 0, 1.41421, -1.17753e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08881e-14, 0, 3.05072e-17, 2.1564e-16, 0, 1.1664e-12, 0, 0
0.20267, 0, 1.88671e-12, 0, 1.41421, -1.88671e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74463e-14, 0, 4.99927e-17, 3.5709e-16, 0, 1.86886e-12, 0, 0
0.210529, 0, 3.00448e-12, 0, 1.41421, -3.00448e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77835e-14, 0, 8.14883e-17, 5.88374e-16, 0, 2.97603e-12, 0, 0
0.218387, 0, 4.75527e-12, 0, 1.41421, -4.75527e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39765e-14, 0, 1.32136e-16, 9.64711e-16, 0, 4.7102e-12, 0, 0
0.226246, 0, 7.48053e-12, 0, 1.41421, -7.48053e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91852e-14, 0, 2.13179e-16, 1.57417e-15, 0, 7.40956e-12, 0, 0
0.234105, 0, 1.16964e-11, 0, 1.41421, -1.16964e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08188e-13, 0, 3.42243e-16, 2.55657e-15, 0, 1.15853e-11, 0, 0
0.241964, 0, 1.81779e-11, 0, 1.41421, -1.81779e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68162e-13, 0, 5.46852e-16, 4.13303e-15, 0, 1.80051e-11, 0, 0
0.249823, 0, 2.80815e-11, 0, 1.41421, -2.80815e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59821e-13, 0, 8.69839e-16, 6.65175e-15, 0, 2.78141e-11, 0, 0
0.257681, 0, 4.31208e-11, 0, 1.41421, -4.31208e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99052e-13, 0, 1.37765e-15, 1.0659e-14, 0, 4.27097e-11, 0, 0
0.26554, 0, 6.58195e-11, 0, 1.41421, -6.58195e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09266e-13, 0, 2.17308e-15, 1.70085e-14, 0, 6.5191e-11, 0, 0
0.273399, 0, 9.98691e-11, 7.00649e-45, 1.41421, -9.98691e-11, 7.00649e-45, 0, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 9.24736e-13, 7.00649e-45, 3.41484e-15, 2.70308e-14, 7.00649e-45, 9.89139e-11, 7.00649e-45, 7.00649e-45
0.281258, 0, 1.50635e-10, 1.49939e-43, 1.41421, -1.50635e-10, 1.49939e-43, 0, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.49939e-43, 1.39533e-12, 1.49939e-43, 5.34754e-15, 4.27918e-14, 1.49939e-43, 1.49192e-10, 1.49939e-43, 1.49939e-43
0.289116, 0, 2.25865e-10, 2.18883e-42, 1.41421, -2.25865e-10, 2.18883e-42, 0, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.18883e-42, 2.09314e-12, 2.18883e-42, 8.34776e-15, 6.74918e-14, 2.18883e-42, 2.23696e-10, 2.18883e-42, 2.18883e-42
0.296975, 0, 3.36674e-10, 2.92269e-41, 1.41421, -3.36674e-10, 2.92269e-41, 0, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 2.92269e-41, 3.12174e-12, 2.92269e-41, 1.29948e-14, 1.06074e-13, 2.92269e-41, 3.33434e-10, 2.92269e-41, 2.92269e-41
0.304834, 0, 4.98904e-10, 3.50323e-40, 1.41421, -4.98904e-10, 3.50323e-40, 0, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 3.50323e-40, 4.62902e-12, 3.50323e-40, 2.01797e-14, 1.66159e-13, 3.50323e-40, 4.94089e-10, 3.50323e-40, 3.50323e-40
0.312693, 0, 7.34988e-10, 3.78479e-39, 1.41421, -7.34988e-10, 3.78479e-39, 0, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 3.78479e-39, 6.82486e-12, 3.78479e-39, 3.12729e-14, 2.59466e-13, 3.78479e-39, 7.27872e-10, 3.78479e-39, 3.78479e-39
0.320552, 0, 1.07649e-09, 3.70124e-38, 1.41421, -1.07649e-09, 3.70124e-38, 0, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 3.70124e-38, 1.00052e-11, 3.70124e-38, 4.83838e-14, 4.03992e-13, 3.70124e-38, 1.06603e-09, 3.70124e-38, 3.70124e-38
0.32841, 0, 1.56753e-09, 3.29316e-37, 1.41421, -1.56753e-09, 3.29316e-37, 0, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 3.29316e-37, 1.45852e-11, 3.29316e-37, 7.47612e-14, 6.27324e-13, 3.29316e-37, 1.55224e-09, 3.29316e-37, 3.29316e-37
0.336269, 0, 2.26939e-09, 2.67982e-36, 1.41421, -2.26939e-09, 2.67982e-36, 0, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.67982e-36, 2.11433e-11, 2.67982e-36, 1.15412e-13, 9.71696e-13, 2.67982e-36, 2.24716e-09, 2.67982e-36, 2.67982e-36
0.344128, 0, 3.26665e-09, 2.00448e-35, 1.41421, -3.26665e-09, 2.00448e-35, 0, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 2.00448e-35, 3.0481e-11, 2.00448e-35, 1.78063e-13, 1.50168e-12, 2.00448e-35, 3.23449e-09, 2.00448e-35, 2.00448e-35
0.351987, 0, 4.67529e-09, 1.37919e-34, 1.41421, -4.67529e-09, 1.37919e-34, 0, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 1.37919e-34, 4.37028e-11, 1.37919e-34, 2.74641e-13, 2.31586e-12, 1.37919e-34, 4.629e-09, 1.37919e-34, 1.37919e-34
0.359846, 0, 6.65333e-09, 9.33209e-34, 1.41421, -6.65333e-09, 9.33209e-34, 0, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 9.33209e-34, 6.23219e-11, 9.33209e-34, 4.23568e-13, 3.56459e-12, 9.33209e-34, 6.58702e-09, 9.33209e-34, 9.33209e-34
0.367704, 0, 9.41475e-09, 6.08276e-33, 1.41421, -9.41475e-09, 6.08276e-33, 0, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 6.08276e-33, 8.84004e-11, 6.08276e-33, 6.53303e-13, 5.47684e-12, 6.08276e-33, 9.32022e-09, 6.08276e-33, 6.08276e-33
0.375563, 0, 1.32475e-08, 3.72325e-32, 1.41421, -1.32475e-08, 3.72325e-32, 0, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 3.72325e-32, 1.24733e-10, 3.72325e-32, 1.0078e-12, 8.40079e-12, 3.72325e-32, 1.31133e-08, 3.72325e-32, 3.72325e-32
0.383422, 0, 1.85364e-08, 2.13026e-31, 1.41421, -1.85364e-08, 2.13026e-31, 0, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 2.13026e-31, 1.75089e-10, 2.13026e-31, 1.55487e-12, 1.28649e-11, 2.13026e-31, 1.83469e-08, 2.13026e-31, 2.13026e-31
0.391281, 0, 2.57932e-08, 1.14066e-30, 1.41421, -2.57932e-08, 1.14066e-30, 0, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 1.14066e-30, 2.44523e-10, 1.14066e-30, 2.39905e-12, 1.96699e-11, 1.14066e-30, 2.55266e-08, 1.14066e-30, 1.14066e-30
0.39914, 0, 3.56933e-08, 5.73224e-30, 1.41421, -3.56933e-08, 5.73224e-30, 0, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 5.73224e-30, 3.39784e-10, 5.73224e-30, 3.70106e-12, 3.00253e-11, 5.73224e-30, 3.53198e-08, 5.73224e-30, 5.73224e-30
0.406998, 0, 4.91236e-08, 2.71196e-29, 1.41421, -4.91236e-08, 2.71196e-29, 0, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 2.71196e-29, 4.69837e-10, 2.71196e-29, 5.70756e-12, 4.5754e-11, 2.71196e-29, 4.86023e-08, 2.71196e-29, 2.71196e-29
0.414857, 0, 6.72412e-08, 1.21171e-28, 1.41421, -6.72412e-08, 1.21171e-28, 0, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 1.21171e-28, 6.46539e-10, 1.21171e-28, 8.79577e-12, 6.95935e-11, 1.21171e-28, 6.65163e-08, 1.21171e-28, 1.21171e-28
0.422716, 0, 9.15464e-08, 5.12814e-28, 1.41421, -9.15464e-08, 5.12814e-28, 0, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 5.12814e-28, 8.85492e-10, 5.12814e-28, 1.35406e-11, 1.05639e-10, 5.12814e-28, 9.05417e-08, 5.12814e-28, 5.12814e-28
0.430575, 0, 1.23973e-07, 2.06159e-27, 1.41421, -1.23973e-07, 2.06159e-27, 0, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 2.06159e-27, 1.20714e-09, 2.06159e-27, 2.08145e-11, 1.5999e-10, 2.06159e-27, 1.22585e-07, 2.06159e-27, 2.06159e-27
0.438433, 0, 1.67001e-07, 7.89403e-27, 1.41421, -1.67001e-07, 7.89403e-27, 0, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 7.89403e-27, 1.63817e-09, 7.89403e-27, 3.19356e-11, 2.41691e-10, 7.89403e-27, 1.65089e-07, 7.89403e-27, 7.89403e-27
0.446292, 0, 2.23788e-07, 2.88628e-26, 1.41421, -2.23788e-07, 2.88628e-26, 0, 2.88628e-26, 2.88628e-26, 2.88628e-26, 2.88628e-26, 2.88628e-26, 2.88628e-26, 9.53957e-14, 2.88628e-26, 2.88628e-26, 2.88628e-26, 2.21321e-09, 2.88628e-26, 4.88852e-11, 3.64075e-10, 2.88628e-26, 2.21161e-07, 2.88628e-26, 2.88628e-26
