   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-8.73661e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00776306, 0, 4.22088e-24, 0, 1.41421, -4.22088e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61794e-26, 0, 0, 4.54935e-29, 1.99253e-28, 0, 4.20446e-24, 0, 0, 0
0.0156135, 0, 1.14096e-23, 0, 1.41421, -1.14096e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3735e-26, 0, 0, 1.23994e-28, 5.5898e-28, 0, 1.13652e-23, 0, 0, 0
0.0234639, 0, 3.00057e-23, 0, 1.41421, -3.00057e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15017e-25, 0, 0, 3.28869e-28, 1.51951e-27, 0, 2.98888e-23, 0, 0, 0
0.0313143, 0, 7.69939e-23, 0, 1.41421, -7.69939e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95131e-25, 0, 0, 8.51249e-28, 4.01764e-27, 0, 7.66939e-23, 0, 0, 0
0.0391647, 0, 1.93207e-22, 0, 1.41421, -1.93207e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40593e-25, 0, 0, 2.15519e-27, 1.03626e-26, 0, 1.92454e-22, 0, 0, 0
0.0470152, 0, 4.75025e-22, 0, 1.41421, -4.75025e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82085e-24, 0, 0, 5.34715e-27, 2.61352e-26, 0, 4.73173e-22, 0, 0, 0
0.0548656, 0, 1.14607e-21, 0, 1.41421, -1.14607e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39305e-24, 0, 0, 1.30209e-26, 6.45751e-26, 0, 1.1416e-21, 0, 0, 0
0.062716, 0, 2.71687e-21, 0, 1.41421, -2.71687e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04142e-23, 0, 0, 3.11605e-26, 1.56559e-25, 0, 2.70627e-21, 0, 0, 0
0.0705664, 0, 6.33544e-21, 0, 1.41421, -6.33544e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42846e-23, 0, 0, 7.33672e-26, 3.7295e-25, 0, 6.31071e-21, 0, 0, 0
0.0784169, 0, 1.4546e-20, 0, 1.41421, -1.4546e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57569e-23, 0, 0, 1.70116e-25, 8.73923e-25, 0, 1.44892e-20, 0, 0, 0
0.0862673, 0, 3.29103e-20, 0, 1.41421, -3.29103e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26149e-22, 0, 0, 3.88775e-25, 2.01638e-24, 0, 3.27817e-20, 0, 0, 0
0.0941177, 0, 7.34263e-20, 0, 1.41421, -7.34263e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81452e-22, 0, 0, 8.76347e-25, 4.58473e-24, 0, 7.31393e-20, 0, 0, 0
0.101968, 0, 1.61651e-19, 0, 1.41421, -1.61651e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19627e-22, 0, 0, 1.94964e-24, 1.02807e-23, 0, 1.61019e-19, 0, 0, 0
0.109819, 0, 3.51362e-19, 0, 1.41421, -3.51362e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34681e-21, 0, 0, 4.28335e-24, 2.27499e-23, 0, 3.49988e-19, 0, 0, 0
0.117669, 0, 7.54389e-19, 0, 1.41421, -7.54389e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89166e-21, 0, 0, 9.29777e-24, 4.97093e-23, 0, 7.51438e-19, 0, 0, 0
0.125519, 0, 1.60063e-18, 0, 1.41421, -1.60063e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13539e-21, 0, 0, 1.99497e-23, 1.07305e-22, 0, 1.59437e-18, 0, 0, 0
0.13337, 0, 3.35748e-18, 0, 1.41421, -3.35748e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28696e-20, 0, 0, 4.23282e-23, 2.28944e-22, 0, 3.34434e-18, 0, 0, 0
0.14122, 0, 6.96485e-18, 0, 1.41421, -6.96485e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66969e-20, 0, 0, 8.88417e-23, 4.82994e-22, 0, 6.93758e-18, 0, 0, 0
0.149071, 0, 1.42931e-17, 0, 1.41421, -1.42931e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47866e-20, 0, 0, 1.84518e-22, 1.00791e-21, 0, 1.42371e-17, 0, 0, 0
0.156921, 0, 2.90253e-17, 0, 1.41421, -2.90253e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11257e-19, 0, 0, 3.79339e-22, 2.0812e-21, 0, 2.89116e-17, 0, 0, 0
0.164771, 0, 5.83413e-17, 0, 1.41421, -5.83413e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23627e-19, 0, 0, 7.72136e-22, 4.25357e-21, 0, 5.81126e-17, 0, 0, 0
0.172622, 0, 1.16098e-16, 0, 1.41421, -1.16098e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45011e-19, 0, 0, 1.55649e-21, 8.60719e-21, 0, 1.15643e-16, 0, 0, 0
0.180472, 0, 2.28775e-16, 0, 1.41421, -2.28775e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76912e-19, 0, 0, 3.108e-21, 1.72484e-20, 0, 2.27878e-16, 0, 0, 0
0.188323, 0, 4.46494e-16, 0, 1.41421, -4.46494e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71144e-18, 0, 0, 6.14874e-21, 3.42389e-20, 0, 4.44743e-16, 0, 0, 0
0.196173, 0, 8.63212e-16, 0, 1.41421, -8.63212e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30874e-18, 0, 0, 1.20543e-20, 6.73392e-20, 0, 8.59824e-16, 0, 0, 0
0.204024, 0, 1.65341e-15, 0, 1.41421, -1.65341e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33758e-18, 0, 0, 2.34219e-20, 1.31245e-19, 0, 1.64692e-15, 0, 0, 0
0.211874, 0, 3.13809e-15, 0, 1.41421, -3.13809e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20284e-17, 0, 0, 4.51121e-20, 2.53538e-19, 0, 3.12576e-15, 0, 0, 0
0.219724, 0, 5.90238e-15, 0, 1.41421, -5.90238e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26239e-17, 0, 0, 8.61425e-20, 4.85543e-19, 0, 5.87919e-15, 0, 0, 0
0.227575, 0, 1.10032e-14, 0, 1.41421, -1.10032e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21752e-17, 0, 0, 1.63101e-19, 9.21951e-19, 0, 1.09599e-14, 0, 0, 0
0.235425, 0, 2.0332e-14, 0, 1.41421, -2.0332e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79326e-17, 0, 0, 3.06253e-19, 1.73601e-18, 0, 2.02521e-14, 0, 0, 0
0.243276, 0, 3.7244e-14, 0, 1.41421, -3.7244e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42756e-16, 0, 0, 5.70364e-19, 3.24211e-18, 0, 3.70974e-14, 0, 0, 0
0.251126, 0, 6.76368e-14, 0, 1.41421, -6.76368e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59252e-16, 0, 0, 1.05373e-18, 6.00613e-18, 0, 6.73705e-14, 0, 0, 0
0.258977, 0, 1.21785e-13, 0, 1.41421, -1.21785e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66804e-16, 0, 0, 1.93139e-18, 1.10386e-17, 0, 1.21306e-13, 0, 0, 0
0.266827, 0, 2.17431e-13, 0, 1.41421, -2.17431e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3342e-16, 0, 0, 3.51265e-18, 2.01299e-17, 0, 2.16574e-13, 0, 0, 0
0.274677, 0, 3.84934e-13, 0, 1.41421, -3.84934e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47549e-15, 0, 0, 6.34002e-18, 3.6428e-17, 0, 3.83416e-13, 0, 0, 0
0.282528, 0, 6.75802e-13, 0, 1.41421, -6.75802e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59046e-15, 0, 0, 1.13583e-17, 6.54265e-17, 0, 6.73135e-13, 0, 0, 0
0.290378, 0, 1.17663e-12, 0, 1.41421, -1.17663e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51036e-15, 0, 0, 2.02012e-17, 1.16651e-16, 0, 1.17199e-12, 0, 0, 0
0.298229, 0, 2.03175e-12, 0, 1.41421, -2.03175e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7886e-15, 0, 0, 3.5676e-17, 2.06484e-16, 0, 2.02372e-12, 0, 0, 0
0.306079, 0, 3.47958e-12, 0, 1.41421, -3.47958e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33396e-14, 0, 0, 6.25763e-17, 3.62929e-16, 0, 3.46582e-12, 0, 0, 0
0.313929, 0, 5.91055e-12, 0, 1.41421, -5.91055e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2661e-14, 0, 0, 1.09041e-16, 6.33531e-16, 0, 5.88714e-12, 0, 0, 0
0.32178, 0, 9.95838e-12, 0, 1.41421, -9.95838e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81846e-14, 0, 0, 1.88826e-16, 1.09853e-15, 0, 9.91891e-12, 0, 0, 0
0.32963, 0, 1.66427e-11, 1.82169e-44, 1.41421, -1.66427e-11, 1.82169e-44, 0, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 6.38245e-14, 1.82169e-44, 1.82169e-44, 3.25057e-16, 1.89258e-15, 1.82169e-44, 1.65767e-11, 1.82169e-44, 1.82169e-44, 1.82169e-44
0.337481, 0, 2.75897e-11, 3.33509e-43, 1.41421, -2.75897e-11, 3.33509e-43, 0, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 1.05826e-13, 3.33509e-43, 3.33509e-43, 5.56482e-16, 3.24039e-15, 3.33509e-43, 2.748e-11, 3.33509e-43, 3.33509e-43, 3.33509e-43
0.345331, 0, 4.53702e-11, 4.78403e-42, 1.41421, -4.53702e-11, 4.78403e-42, 0, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 4.78403e-42, 1.7407e-13, 4.78403e-42, 4.78403e-42, 9.47806e-16, 5.51527e-15, 4.78403e-42, 4.51896e-11, 4.78403e-42, 4.78403e-42, 4.78403e-42
0.353182, 0, 7.4013e-11, 6.27039e-41, 1.41421, -7.4013e-11, 6.27039e-41, 0, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 6.27039e-41, 2.84051e-13, 6.27039e-41, 6.27039e-41, 1.60682e-15, 9.33473e-15, 6.27039e-41, 7.3718e-11, 6.27039e-41, 6.27039e-41, 6.27039e-41
0.361032, 0, 1.19776e-10, 7.39091e-40, 1.41421, -1.19776e-10, 7.39091e-40, 0, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 7.39091e-40, 4.59866e-13, 7.39091e-40, 7.39091e-40, 2.71278e-15, 1.57167e-14, 7.39091e-40, 1.19298e-10, 7.39091e-40, 7.39091e-40, 7.39091e-40
0.368882, 0, 1.92297e-10, 7.86068e-39, 1.41421, -1.92297e-10, 7.86068e-39, 0, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.86068e-39, 7.38667e-13, 7.86068e-39, 7.86068e-39, 4.56346e-15, 2.63341e-14, 7.86068e-39, 1.91528e-10, 7.86068e-39, 7.86068e-39, 7.86068e-39
0.376733, 0, 3.06285e-10, 7.57665e-38, 1.41421, -3.06285e-10, 7.57665e-38, 0, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 7.57665e-38, 1.17725e-12, 7.57665e-38, 7.57665e-38, 7.65334e-15, 4.39311e-14, 7.57665e-38, 3.05056e-10, 7.57665e-38, 7.57665e-38, 7.57665e-38
0.384583, 0, 4.83995e-10, 6.65366e-37, 1.41421, -4.83995e-10, 6.65366e-37, 0, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 6.65366e-37, 1.86172e-12, 6.65366e-37, 6.65366e-37, 1.28037e-14, 7.30026e-14, 6.65366e-37, 4.82047e-10, 6.65366e-37, 6.65366e-37, 6.65366e-37
0.392434, 0, 7.58809e-10, 5.35059e-36, 1.41421, -7.58809e-10, 5.35059e-36, 0, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 5.35059e-36, 2.92154e-12, 5.35059e-36, 5.35059e-36, 2.1379e-14, 1.20906e-13, 5.35059e-36, 7.55745e-10, 5.35059e-36, 5.35059e-36, 5.35059e-36
0.400284, 0, 1.18036e-09, 3.95914e-35, 1.41421, -1.18036e-09, 3.95914e-35, 0, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 3.95914e-35, 4.54978e-12, 3.95914e-35, 3.95914e-35, 3.56483e-14, 1.99688e-13, 3.95914e-35, 1.17557e-09, 3.95914e-35, 3.95914e-35, 3.95914e-35
0.408135, 0, 1.8218e-09, 2.70678e-34, 1.41421, -1.8218e-09, 2.70678e-34, 0, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 2.70678e-34, 7.03201e-12, 2.70678e-34, 2.70678e-34, 5.93869e-14, 3.29079e-13, 2.70678e-34, 1.81438e-09, 2.70678e-34, 2.70678e-34, 2.70678e-34
0.415985, 0, 2.79003e-09, 1.82481e-33, 1.41421, -2.79003e-09, 1.82481e-33, 0, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.82481e-33, 1.07873e-11, 1.82481e-33, 1.82481e-33, 9.88792e-14, 5.41431e-13, 1.82481e-33, 2.7786e-09, 1.82481e-33, 1.82481e-33, 1.82481e-33
0.423835, 0, 4.23989e-09, 1.17886e-32, 1.41421, -4.23989e-09, 1.17886e-32, 0, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.17886e-32, 1.64259e-11, 1.17886e-32, 1.17886e-32, 1.64588e-13, 8.89867e-13, 1.17886e-32, 4.22241e-09, 1.17886e-32, 1.17886e-32, 1.17886e-32
