   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_805.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0237686, 0.809098, 0, 0, 1.67604, 0.809098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0158814, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00799424, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000107075, 0.181258, 0, 0, 1.47691, 0.181258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00778009, 0.818742, 1.41946e-13, 0, 1.67891, 0.818742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54839e-16, 0, 0, 9.7279e-16, 1.05985e-14, 0, 1.2982e-13, 0, 0, 0
0.0156673, 0, 2.13104e-13, 0, 1.41421, -2.13104e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30871e-16, 0, 0, 1.4849e-15, 1.63834e-14, 0, 1.94405e-13, 0, 0, 0
0.0235544, 0, 3.1869e-13, 0, 1.41421, -3.1869e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23927e-15, 0, 0, 2.2581e-15, 2.52343e-14, 0, 2.89958e-13, 0, 0, 0
0.0314416, 0, 4.74747e-13, 0, 1.41421, -4.74747e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84106e-15, 0, 0, 3.42117e-15, 3.87269e-14, 0, 4.30758e-13, 0, 0, 0
0.0393288, 0, 7.04507e-13, 0, 1.41421, -7.04507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72427e-15, 0, 0, 5.1643e-15, 5.92218e-14, 0, 6.37396e-13, 0, 0, 0
0.0472159, 0, 1.04147e-12, 0, 1.41421, -1.04147e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01532e-15, 0, 0, 7.76748e-15, 9.02427e-14, 0, 9.39447e-13, 0, 0, 0
0.0551031, 0, 1.53377e-12, 0, 1.41421, -1.53377e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89502e-15, 0, 0, 1.16419e-14, 1.3703e-13, 0, 1.3792e-12, 0, 0, 0
0.0629903, 0, 2.25025e-12, 0, 1.41421, -2.25025e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62088e-15, 0, 0, 1.73882e-14, 2.07351e-13, 0, 2.01689e-12, 0, 0, 0
0.0708774, 0, 3.28905e-12, 0, 1.41421, -3.28905e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25582e-14, 0, 0, 2.58823e-14, 3.12679e-13, 0, 2.93793e-12, 0, 0, 0
0.0787646, 0, 4.78949e-12, 0, 1.41421, -4.78949e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82228e-14, 0, 0, 3.83976e-14, 4.69902e-13, 0, 4.26297e-12, 0, 0, 0
0.0866518, 0, 6.94857e-12, 0, 1.41421, -6.94857e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63405e-14, 0, 0, 5.67794e-14, 7.03795e-13, 0, 6.16166e-12, 0, 0, 0
0.0945389, 0, 1.00439e-11, 0, 1.41421, -1.00439e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79279e-14, 0, 0, 8.36962e-14, 1.05059e-12, 0, 8.87166e-12, 0, 0, 0
0.102426, 0, 1.44649e-11, 0, 1.41421, -1.44649e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44031e-14, 0, 0, 1.22996e-13, 1.5631e-12, 0, 1.27244e-11, 0, 0, 0
0.110313, 0, 2.07562e-11, 0, 1.41421, -2.07562e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.77368e-14, 0, 0, 1.80216e-13, 2.31805e-12, 0, 1.81802e-11, 0, 0, 0
0.1182, 0, 2.96764e-11, 0, 1.41421, -2.96764e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10655e-13, 0, 0, 2.63309e-13, 3.4266e-12, 0, 2.58759e-11, 0, 0, 0
0.126088, 0, 4.22783e-11, 0, 1.41421, -4.22783e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56914e-13, 0, 0, 3.83678e-13, 5.04927e-12, 0, 3.66884e-11, 0, 0, 0
0.133975, 0, 6.00176e-11, 0, 1.41421, -6.00176e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2167e-13, 0, 0, 5.57645e-13, 7.41726e-12, 0, 5.1821e-11, 0, 0, 0
0.141862, 0, 8.49e-11, 0, 1.41421, -8.49e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11968e-13, 0, 0, 8.08552e-13, 1.08625e-11, 0, 7.29169e-11, 0, 0, 0
0.149749, 0, 1.19679e-10, 0, 1.41421, -1.19679e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37399e-13, 0, 0, 1.16974e-12, 1.58605e-11, 0, 1.02212e-10, 0, 0, 0
0.157636, 0, 1.68124e-10, 0, 1.41421, -1.68124e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10962e-13, 0, 0, 1.68881e-12, 2.30902e-11, 0, 1.42734e-10, 0, 0, 0
0.165523, 0, 2.35371e-10, 0, 1.41421, -2.35371e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5021e-13, 0, 0, 2.4337e-12, 3.35193e-11, 0, 1.98568e-10, 0, 0, 0
0.173411, 0, 3.28407e-10, 0, 1.41421, -3.28407e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17875e-12, 0, 0, 3.50133e-12, 4.85229e-11, 0, 2.75204e-10, 0, 0, 0
0.181298, 0, 4.56691e-10, 0, 1.41421, -4.56691e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62819e-12, 0, 0, 5.03007e-12, 7.00512e-11, 0, 3.79982e-10, 0, 0, 0
0.189185, 0, 6.33007e-10, 0, 1.41421, -6.33007e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2407e-12, 0, 0, 7.21743e-12, 1.00864e-10, 0, 5.22686e-10, 0, 0, 0
0.197072, 0, 8.74568e-10, 1.14906e-43, 1.41421, -8.74568e-10, 0, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 3.07232e-12, 1.14906e-43, 1.14906e-43, 1.03455e-11, 1.44857e-10, 1.14906e-43, 7.16293e-10, 1.14906e-43, 1.14906e-43, 1.14906e-43
0.204959, 0, 1.20449e-09, 1.9394e-42, 1.41421, -1.20449e-09, 0, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 1.9394e-42, 4.19721e-12, 1.9394e-42, 1.9394e-42, 1.48176e-11, 2.07521e-10, 1.9394e-42, 9.77953e-10, 1.9394e-42, 1.9394e-42, 1.9394e-42
0.212846, 0, 1.65373e-09, 2.77093e-41, 1.41421, -1.65373e-09, 0, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 2.77093e-41, 5.71314e-12, 2.77093e-41, 2.77093e-41, 2.12104e-11, 2.9658e-10, 2.77093e-41, 1.33023e-09, 2.77093e-41, 2.77093e-41, 2.77093e-41
0.220734, 0, 2.26366e-09, 3.5088e-40, 1.41421, -2.26366e-09, 0, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 3.5088e-40, 7.74853e-12, 3.5088e-40, 3.5088e-40, 3.03497e-11, 4.22875e-10, 3.5088e-40, 1.80269e-09, 3.5088e-40, 3.5088e-40, 3.5088e-40
0.228621, 0, 3.0894e-09, 3.98136e-39, 1.41421, -3.0894e-09, 0, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 3.98136e-39, 1.04714e-11, 3.98136e-39, 3.98136e-39, 4.34182e-11, 6.01601e-10, 3.98136e-39, 2.43391e-09, 3.98136e-39, 3.98136e-39, 3.98136e-39
0.236508, 0, 4.20427e-09, 4.07406e-38, 1.41421, -4.20427e-09, 0, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 4.07406e-38, 1.41006e-11, 4.07406e-38, 4.07406e-38, 6.21118e-11, 8.5402e-10, 4.07406e-38, 3.27404e-09, 4.07406e-38, 4.07406e-38, 4.07406e-38
0.244395, 0, 5.70557e-09, 3.77921e-37, 1.41421, -5.70557e-09, 0, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 3.77921e-37, 1.89205e-11, 3.77921e-37, 3.77921e-37, 8.88617e-11, 1.20982e-09, 3.77921e-37, 4.38797e-09, 3.77921e-37, 3.77921e-37, 3.77921e-37
0.252282, 0, 7.72221e-09, 3.19362e-36, 1.41421, -7.72221e-09, 0, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 3.19362e-36, 2.5299e-11, 3.19362e-36, 3.19362e-36, 1.27157e-10, 1.71041e-09, 3.19362e-36, 5.85935e-09, 3.19362e-36, 3.19362e-36, 3.19362e-36
0.26017, 0, 1.04247e-08, 2.47185e-35, 1.41421, -1.04247e-08, 0, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 2.47185e-35, 3.37101e-11, 2.47185e-35, 2.47185e-35, 1.82004e-10, 2.41343e-09, 2.47185e-35, 7.79555e-09, 2.47185e-35, 2.47185e-35, 2.47185e-35
0.268057, 0, 1.40382e-08, 1.76114e-34, 1.41421, -1.40382e-08, 0, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 1.76114e-34, 4.47629e-11, 1.76114e-34, 1.76114e-34, 2.60583e-10, 3.39897e-09, 1.76114e-34, 1.03338e-08, 1.76114e-34, 1.76114e-34, 1.76114e-34
0.275944, 0, 1.88596e-08, 1.16477e-33, 1.41421, -1.88596e-08, 0, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 1.16477e-33, 5.92367e-11, 1.16477e-33, 1.16477e-33, 3.73191e-10, 4.77815e-09, 1.16477e-33, 1.3649e-08, 1.16477e-33, 1.16477e-33, 1.16477e-33
0.283831, 0, 2.52802e-08, 7.36503e-33, 1.41421, -2.52802e-08, 0, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.36503e-33, 7.8126e-11, 7.36503e-33, 7.36503e-33, 5.34583e-10, 6.70483e-09, 7.36503e-33, 1.79627e-08, 7.36503e-33, 7.36503e-33, 7.36503e-33
0.291718, 0, 3.38151e-08, 4.5271e-32, 1.41421, -3.38151e-08, 0, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 4.5271e-32, 1.02695e-10, 4.5271e-32, 4.5271e-32, 7.65873e-10, 9.39164e-09, 4.5271e-32, 2.35549e-08, 4.5271e-32, 4.5271e-32, 4.5271e-32
0.299605, 0, 4.51413e-08, 2.54072e-31, 1.41421, -4.51413e-08, 0, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 2.54072e-31, 1.34544e-10, 2.54072e-31, 2.54072e-31, 1.09724e-09, 1.31318e-08, 2.54072e-31, 3.07777e-08, 2.54072e-31, 2.54072e-31, 2.54072e-31
0.307492, 0, 6.01485e-08, 1.35704e-30, 1.41421, -6.01485e-08, 0, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.35704e-30, 1.75697e-10, 1.35704e-30, 1.35704e-30, 1.57173e-09, 1.83287e-08, 1.35704e-30, 4.00723e-08, 1.35704e-30, 1.35704e-30, 1.35704e-30
