   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_525.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00461021, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00325169, 0, 1.33056e-16, 0, 1.41421, -1.33056e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72559e-19, 1.45386e-17, 0, 1.18345e-16, 0, 0, 0
0.0111136, 0, 2.30671e-16, 0, 1.41421, -2.30671e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0393e-19, 2.57065e-17, 0, 2.04661e-16, 0, 0, 0
0.0189755, 0, 3.97428e-16, 0, 1.41421, -3.97428e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31994e-19, 4.51891e-17, 0, 3.51706e-16, 0, 0, 0
0.0268374, 0, 6.80563e-16, 0, 1.41421, -6.80563e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25503e-19, 7.89843e-17, 0, 6.00653e-16, 0, 0, 0
0.0346993, 0, 1.15842e-15, 0, 1.41421, -1.15842e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60041e-18, 1.37281e-16, 0, 1.01954e-15, 0, 0, 0
0.0425612, 0, 1.96015e-15, 0, 1.41421, -1.96015e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75108e-18, 2.37294e-16, 0, 1.7201e-15, 0, 0, 0
0.0504231, 0, 3.29741e-15, 0, 1.41421, -3.29741e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70149e-18, 4.07951e-16, 0, 2.88476e-15, 0, 0, 0
0.058285, 0, 5.51506e-15, 0, 1.41421, -5.51506e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98834e-18, 6.97608e-16, 0, 4.80947e-15, 0, 0, 0
0.0661469, 0, 9.17178e-15, 0, 1.41421, -9.17178e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34959e-17, 1.18668e-15, 0, 7.97161e-15, 0, 0, 0
0.0740088, 0, 1.51674e-14, 0, 1.41421, -1.51674e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26725e-17, 2.00817e-15, 0, 1.31365e-14, 0, 0, 0
0.0818707, 0, 2.49432e-14, 0, 1.41421, -2.49432e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78784e-17, 3.38105e-15, 0, 2.15242e-14, 0, 0, 0
0.0897326, 0, 4.07944e-14, 0, 1.41421, -4.07944e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29371e-17, 5.66383e-15, 0, 3.50676e-14, 0, 0, 0
0.0975945, 0, 6.63565e-14, 0, 1.41421, -6.63565e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0401e-16, 9.44071e-15, 0, 5.68118e-14, 0, 0, 0
0.105456, 0, 1.07355e-13, 0, 1.41421, -1.07355e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7097e-16, 1.56588e-14, 0, 9.15257e-14, 0, 0, 0
0.113318, 0, 1.72761e-13, 0, 1.41421, -1.72761e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7956e-16, 2.58462e-14, 0, 1.46635e-13, 0, 0, 0
0.12118, 0, 2.76547e-13, 0, 1.41421, -2.76547e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54745e-16, 4.24563e-14, 0, 2.33636e-13, 0, 0, 0
0.129042, 0, 4.40374e-13, 0, 1.41421, -4.40374e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35918e-16, 6.94147e-14, 0, 3.70224e-13, 0, 0, 0
0.136904, 0, 6.97624e-13, 0, 1.41421, -6.97624e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18493e-15, 1.12961e-13, 0, 5.83478e-13, 0, 0, 0
0.144766, 0, 1.09948e-12, 0, 1.41421, -1.09948e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8984e-15, 1.82978e-13, 0, 9.14606e-13, 0, 0, 0
0.152628, 0, 1.72403e-12, 0, 1.41421, -1.72403e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02659e-15, 2.95043e-13, 0, 1.42596e-12, 0, 0, 0
0.16049, 0, 2.68973e-12, 0, 1.41421, -2.68973e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8021e-15, 4.73605e-13, 0, 2.21132e-12, 0, 0, 0
0.168352, 0, 4.17545e-12, 0, 1.41421, -4.17545e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58363e-15, 7.5687e-13, 0, 3.411e-12, 0, 0, 0
0.176213, 0, 6.44988e-12, 0, 1.41421, -6.44988e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19215e-14, 1.20428e-12, 0, 5.23367e-12, 0, 0, 0
0.184075, 0, 9.91457e-12, 0, 1.41421, -9.91457e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8657e-14, 1.90796e-12, 0, 7.98795e-12, 0, 0, 0
