   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_378.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0092338, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00136527, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00650326, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0143718, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0222403, 0, 4.61419e-30, 0, 1.41421, -4.61419e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.93417e-32, 0, 0, 0, 2.05571e-32, 0, 4.53429e-30, 0, 0, 0
0.0301088, 0, 4.96265e-29, 0, 1.41421, -4.96265e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00488e-31, 0, 0, 0, 3.14283e-30, 0, 4.58832e-29, 0, 0, 0
0.0379774, 0, 3.26846e-28, 0, 1.41421, -3.26846e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81193e-30, 0, 0, 0, 3.17653e-29, 0, 2.91269e-28, 0, 0, 0
0.0458459, 0, 1.70079e-27, 0, 1.41421, -1.70079e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93489e-29, 0, 0, 0, 2.02997e-28, 0, 1.47845e-27, 0, 0, 0
0.0537144, 0, 7.66447e-27, 0, 1.41421, -7.66447e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56199e-29, 0, 0, 0, 1.03664e-27, 0, 6.5422e-27, 0, 0, 0
0.061583, 0, 3.12628e-26, 0, 1.41421, -3.12628e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44316e-28, 0, 0, 0, 4.60944e-27, 0, 2.63091e-26, 0, 0, 0
0.0694515, 0, 1.22377e-25, 0, 1.41421, -1.22377e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32876e-27, 0, 0, 0, 1.95172e-26, 0, 1.01531e-25, 0, 0, 0
0.07732, 0, 4.43973e-25, 0, 1.41421, -4.43973e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76839e-27, 0, 0, 0, 7.48524e-26, 0, 3.64352e-25, 0, 0, 0
0.0851886, 0, 1.52004e-24, 0, 1.41421, -1.52004e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61798e-26, 0, 0, 0, 2.67568e-25, 0, 1.2363e-24, 0, 0, 0
0.0930571, 0, 4.96505e-24, 0, 1.41421, -4.96505e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24418e-26, 0, 0, 0, 9.05542e-25, 0, 4.00707e-24, 0, 0, 0
0.100926, 0, 1.5584e-23, 0, 1.41421, -1.5584e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6347e-25, 0, 0, 0, 2.92987e-24, 0, 1.24907e-23, 0, 0, 0
0.108794, 0, 4.72427e-23, 0, 1.41421, -4.72427e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92447e-25, 0, 0, 0, 9.12243e-24, 0, 3.76278e-23, 0, 0, 0
0.116663, 0, 1.38847e-22, 0, 1.41421, -1.38847e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43889e-24, 0, 0, 0, 2.74631e-23, 0, 1.09945e-22, 0, 0, 0
0.124531, 0, 4.30834e-22, 0, 1.41421, -4.30834e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42827e-24, 0, 0, 0, 8.8042e-23, 0, 3.38363e-22, 0, 0, 0
0.1324, 0, 1.18798e-21, 0, 1.41421, -1.18798e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21502e-23, 0, 0, 0, 2.4744e-22, 0, 9.28391e-22, 0, 0, 0
0.140268, 0, 3.20327e-21, 0, 1.41421, -3.20327e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26051e-23, 0, 0, 0, 6.79314e-22, 0, 2.49135e-21, 0, 0, 0
0.148137, 0, 8.45771e-21, 0, 1.41421, -8.45771e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56882e-23, 0, 0, 0, 1.82459e-21, 0, 6.54742e-21, 0, 0, 0
0.156005, 0, 2.18926e-20, 0, 1.41421, -2.18926e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20793e-22, 0, 0, 0, 4.80105e-21, 0, 1.68708e-20, 0, 0, 0
0.163874, 0, 5.56118e-20, 0, 1.41421, -5.56118e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5835e-22, 0, 0, 0, 1.239e-20, 0, 4.26635e-20, 0, 0, 0
0.171742, 0, 1.38754e-19, 0, 1.41421, -1.38754e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38695e-21, 0, 0, 0, 3.13907e-20, 0, 1.05976e-19, 0, 0, 0
0.179611, 0, 3.40305e-19, 0, 1.41421, -3.40305e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38666e-21, 0, 0, 0, 7.81447e-20, 0, 2.58774e-19, 0, 0, 0
0.187479, 0, 8.2098e-19, 0, 1.41421, -8.2098e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1345e-21, 0, 0, 0, 1.9129e-19, 0, 6.21556e-19, 0, 0, 0
0.195348, 0, 1.94937e-18, 0, 1.41421, -1.94937e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92304e-20, 0, 0, 0, 4.60749e-19, 0, 1.46939e-18, 0, 0, 0
0.203217, 0, 4.55808e-18, 0, 1.41421, -4.55808e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47677e-20, 0, 0, 0, 1.09262e-18, 0, 3.42069e-18, 0, 0, 0
0.211085, 0, 1.05002e-17, 0, 1.41421, -1.05002e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02673e-19, 0, 0, 0, 2.5523e-18, 0, 7.84527e-18, 0, 0, 0
0.218954, 0, 2.38411e-17, 0, 1.41421, -2.38411e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32083e-19, 0, 0, 0, 5.87558e-18, 0, 1.77334e-17, 0, 0, 0
0.226822, 0, 5.33733e-17, 0, 1.41421, -5.33733e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17218e-19, 0, 0, 0, 1.33355e-17, 0, 3.95207e-17, 0, 0, 0
0.234691, 0, 1.17852e-16, 0, 1.41421, -1.17852e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13681e-18, 0, 0, 0, 2.98514e-17, 0, 8.68637e-17, 0, 0, 0
0.242559, 0, 2.5674e-16, 0, 1.41421, -2.5674e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46495e-18, 0, 0, 0, 6.59276e-17, 0, 1.88348e-16, 0, 0, 0
0.250428, 0, 5.51972e-16, 0, 1.41421, -5.51972e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27412e-18, 0, 0, 0, 1.43699e-16, 0, 4.02998e-16, 0, 0, 0
0.258296, 0, 1.17141e-15, 0, 1.41421, -1.17141e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11381e-17, 0, 0, 0, 3.09207e-16, 0, 8.5107e-16, 0, 0, 0
0.266165, 0, 2.45458e-15, 0, 1.41421, -2.45458e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32211e-17, 0, 0, 0, 6.57008e-16, 0, 1.77435e-15, 0, 0, 0
0.274033, 0, 5.07935e-15, 0, 1.41421, -5.07935e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78025e-17, 0, 0, 0, 1.37887e-15, 0, 3.65267e-15, 0, 0, 0
0.281902, 0, 1.03821e-14, 0, 1.41421, -1.03821e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71828e-17, 0, 0, 0, 2.85901e-15, 0, 7.42595e-15, 0, 0, 0
0.28977, 0, 2.09651e-14, 0, 1.41421, -2.09651e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95151e-16, 0, 0, 0, 5.85791e-15, 0, 1.4912e-14, 0, 0, 0
0.297639, 0, 4.18323e-14, 0, 1.41421, -4.18323e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87132e-16, 0, 0, 0, 1.18631e-14, 0, 2.9582e-14, 0, 0, 0
0.305507, 0, 8.24904e-14, 0, 1.41421, -8.24904e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58776e-16, 0, 0, 0, 2.37507e-14, 0, 5.7981e-14, 0, 0, 0
0.313376, 0, 1.60784e-13, 0, 1.41421, -1.60784e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46957e-15, 0, 0, 0, 4.70181e-14, 0, 1.12296e-13, 0, 0, 0
