   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_613.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0101068, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00223562, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00563552, 0, 5.69772e-17, 0, 1.41421, -5.69772e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86511e-19, 0, 0, 8.23277e-20, 0, 1.94457e-20, 0, 5.66889e-17, 0, 0, 0
0.0135066, 0, 1.00441e-16, 0, 1.41421, -1.00441e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28777e-19, 0, 0, 1.47592e-19, 0, 3.50315e-20, 0, 9.99296e-17, 0, 0, 0
0.0213778, 0, 1.75866e-16, 0, 1.41421, -1.75866e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75649e-19, 0, 0, 2.62849e-19, 0, 6.27107e-20, 0, 1.74965e-16, 0, 0, 0
0.0292489, 0, 3.05888e-16, 0, 1.41421, -3.05888e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00121e-18, 0, 0, 4.65084e-19, 0, 1.11567e-19, 0, 3.0431e-16, 0, 0, 0
0.0371201, 0, 5.28562e-16, 0, 1.41421, -5.28562e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72998e-18, 0, 0, 8.17679e-19, 0, 1.97283e-19, 0, 5.25817e-16, 0, 0, 0
0.0449912, 0, 9.07451e-16, 0, 1.41421, -9.07451e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96998e-18, 0, 0, 1.42859e-18, 0, 3.46787e-19, 0, 9.02706e-16, 0, 0, 0
0.0528623, 0, 1.54804e-15, 0, 1.41421, -1.54804e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06634e-18, 0, 0, 2.48053e-18, 0, 6.06039e-19, 0, 1.53988e-15, 0, 0, 0
0.0607335, 0, 2.62426e-15, 0, 1.41421, -2.62426e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58821e-18, 0, 0, 4.2809e-18, 0, 1.05306e-18, 0, 2.61033e-15, 0, 0, 0
0.0686046, 0, 4.4211e-15, 0, 1.41421, -4.4211e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4468e-17, 0, 0, 7.34369e-18, 0, 1.81952e-18, 0, 4.39747e-15, 0, 0, 0
0.0764757, 0, 7.4026e-15, 0, 1.41421, -7.4026e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4224e-17, 0, 0, 1.25232e-17, 0, 3.12652e-18, 0, 7.36273e-15, 0, 0, 0
0.0843469, 0, 1.23196e-14, 0, 1.41421, -1.23196e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03123e-17, 0, 0, 2.12312e-17, 0, 5.34316e-18, 0, 1.22527e-14, 0, 0, 0
0.092218, 0, 2.03794e-14, 0, 1.41421, -2.03794e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66827e-17, 0, 0, 3.57872e-17, 0, 9.08256e-18, 0, 2.02678e-14, 0, 0, 0
0.100089, 0, 3.35114e-14, 0, 1.41421, -3.35114e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09647e-16, 0, 0, 5.99803e-17, 0, 1.53576e-17, 0, 3.33264e-14, 0, 0, 0
0.10796, 0, 5.47804e-14, 0, 1.41421, -5.47804e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79229e-16, 0, 0, 9.99654e-17, 0, 2.5833e-17, 0, 5.44754e-14, 0, 0, 0
0.115831, 0, 8.90244e-14, 0, 1.41421, -8.90244e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91255e-16, 0, 0, 1.65684e-16, 0, 4.3231e-17, 0, 8.85243e-14, 0, 0, 0
0.123703, 0, 1.43835e-13, 0, 1.41421, -1.43835e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70553e-16, 0, 0, 2.73107e-16, 0, 7.19797e-17, 0, 1.43019e-13, 0, 0, 0
0.131574, 0, 2.3105e-13, 0, 1.41421, -2.3105e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55843e-16, 0, 0, 4.47751e-16, 0, 1.19247e-16, 0, 2.29727e-13, 0, 0, 0
0.139445, 0, 3.69024e-13, 0, 1.41421, -3.69024e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20715e-15, 0, 0, 7.30173e-16, 0, 1.96578e-16, 0, 3.6689e-13, 0, 0, 0
0.147316, 0, 5.86035e-13, 0, 1.41421, -5.86035e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91695e-15, 0, 0, 1.1845e-15, 0, 3.225e-16, 0, 5.82611e-13, 0, 0, 0
0.155187, 0, 9.25396e-13, 0, 1.41421, -9.25396e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02691e-15, 0, 0, 1.91161e-15, 0, 5.26548e-16, 0, 9.19931e-13, 0, 0, 0
0.163058, 0, 1.45306e-12, 0, 1.41421, -1.45306e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75269e-15, 0, 0, 3.06945e-15, 0, 8.55635e-16, 0, 1.44438e-12, 0, 0, 0
0.170929, 0, 2.26881e-12, 0, 1.41421, -2.26881e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42068e-15, 0, 0, 4.9043e-15, 0, 1.38391e-15, 0, 2.25511e-12, 0, 0, 0
0.1788, 0, 3.52282e-12, 0, 1.41421, -3.52282e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15219e-14, 0, 0, 7.79807e-15, 0, 2.22807e-15, 0, 3.50127e-12, 0, 0, 0
0.186672, 0, 5.4396e-12, 0, 1.41421, -5.4396e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77909e-14, 0, 0, 1.23409e-14, 0, 3.57091e-15, 0, 5.4059e-12, 0, 0, 0
0.194543, 0, 8.35297e-12, 0, 1.41421, -8.35297e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73195e-14, 0, 0, 1.94408e-14, 0, 5.6976e-15, 0, 8.30051e-12, 0, 0, 0
0.202414, 0, 1.27562e-11, 0, 1.41421, -1.27562e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17218e-14, 0, 0, 3.04901e-14, 0, 9.05113e-15, 0, 1.2675e-11, 0, 0, 0
0.210285, 0, 1.93741e-11, 0, 1.41421, -1.93741e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33691e-14, 0, 0, 4.76161e-14, 0, 1.43169e-14, 0, 1.92488e-11, 0, 0, 0
0.218156, 0, 2.9265e-11, 0, 1.41421, -2.9265e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5726e-14, 0, 0, 7.406e-14, 0, 2.25512e-14, 0, 2.90726e-11, 0, 0, 0
0.226027, 0, 4.39656e-11, 0, 1.41421, -4.39656e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43824e-13, 0, 0, 1.14747e-13, 0, 3.53759e-14, 0, 4.36716e-11, 0, 0, 0
0.233898, 0, 6.56935e-11, 0, 1.41421, -6.56935e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14928e-13, 0, 0, 1.77145e-13, 0, 5.52726e-14, 0, 6.52461e-11, 0, 0, 0
0.24177, 0, 9.76311e-11, 0, 1.41421, -9.76311e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19469e-13, 0, 0, 2.72557e-13, 0, 8.60252e-14, 0, 9.6953e-11, 0, 0, 0
0.249641, 0, 1.44318e-10, 0, 1.41421, -1.44318e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72335e-13, 0, 0, 4.18074e-13, 0, 1.33386e-13, 0, 1.43294e-10, 0, 0, 0
0.257512, 0, 2.1219e-10, 2.94273e-44, 1.41421, -2.1219e-10, 0, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 6.94655e-13, 2.94273e-44, 2.94273e-44, 6.39506e-13, 2.94273e-44, 2.06071e-13, 2.94273e-44, 2.1065e-10, 2.94273e-44, 2.94273e-44, 2.94273e-44
0.265383, 0, 3.10325e-10, 5.81539e-43, 1.41421, -3.10325e-10, 0, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 5.81539e-43, 1.01625e-12, 5.81539e-43, 5.81539e-43, 9.75833e-13, 5.81539e-43, 3.17255e-13, 5.81539e-43, 3.08016e-10, 5.81539e-43, 5.81539e-43, 5.81539e-43
0.273254, 0, 4.51442e-10, 8.43161e-42, 1.41421, -4.51442e-10, 0, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 8.43161e-42, 1.47897e-12, 8.43161e-42, 8.43161e-42, 1.48591e-12, 8.43161e-42, 4.86797e-13, 8.43161e-42, 4.4799e-10, 8.43161e-42, 8.43161e-42, 8.43161e-42
0.281125, 0, 6.53269e-10, 1.12206e-40, 1.41421, -6.53269e-10, 0, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 1.12206e-40, 2.14121e-12, 1.12206e-40, 1.12206e-40, 2.25864e-12, 1.12206e-40, 7.44564e-13, 1.12206e-40, 6.48125e-10, 1.12206e-40, 1.12206e-40, 1.12206e-40
0.288996, 0, 9.40369e-10, 1.34085e-39, 1.41421, -9.40369e-10, 0, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 1.34085e-39, 3.08403e-12, 1.34085e-39, 1.34085e-39, 3.42843e-12, 1.34085e-39, 1.13537e-12, 1.34085e-39, 9.32721e-10, 1.34085e-39, 1.34085e-39, 1.34085e-39
0.296868, 0, 1.34658e-09, 1.44402e-38, 1.41421, -1.34658e-09, 0, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 1.44402e-38, 4.4193e-12, 1.44402e-38, 1.44402e-38, 5.19861e-12, 1.44402e-38, 1.72634e-12, 1.44402e-38, 1.33524e-09, 1.44402e-38, 1.44402e-38, 1.44402e-38
0.304739, 0, 1.91825e-09, 1.40733e-37, 1.41421, -1.91825e-09, 0, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 1.40733e-37, 6.30062e-12, 1.40733e-37, 1.40733e-37, 7.87715e-12, 1.40733e-37, 2.6178e-12, 1.40733e-37, 1.90146e-09, 1.40733e-37, 1.40733e-37, 1.40733e-37
