   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_543.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00154004, 0, 9.08045e-15, 0, 1.41421, -9.08045e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08582e-17, 0, 0, 5.96307e-17, 0, 5.36571e-18, 0, 8.9846e-15, 0, 0, 0
0.00939364, 0, 1.42343e-14, 0, 1.41421, -1.42343e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83657e-17, 0, 0, 9.52055e-17, 0, 8.66023e-18, 0, 1.4082e-14, 0, 0, 0
0.0172472, 0, 2.2209e-14, 0, 1.41421, -2.2209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54516e-17, 0, 0, 1.51319e-16, 0, 1.39185e-17, 0, 2.19683e-14, 0, 0, 0
0.0251008, 0, 3.44909e-14, 0, 1.41421, -3.44909e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1716e-16, 0, 0, 2.39433e-16, 0, 2.2276e-17, 0, 3.4112e-14, 0, 0, 0
0.0329544, 0, 5.33187e-14, 0, 1.41421, -5.33187e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81088e-16, 0, 0, 3.77191e-16, 0, 3.55042e-17, 0, 5.2725e-14, 0, 0, 0
0.040808, 0, 8.20482e-14, 0, 1.41421, -8.20482e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78619e-16, 0, 0, 5.91624e-16, 0, 5.63556e-17, 0, 8.11216e-14, 0, 0, 0
0.0486616, 0, 1.25686e-13, 0, 1.41421, -1.25686e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26736e-16, 0, 0, 9.23983e-16, 0, 8.909e-17, 0, 1.24246e-13, 0, 0, 0
0.0565152, 0, 1.91666e-13, 0, 1.41421, -1.91666e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50647e-16, 0, 0, 1.43693e-15, 0, 1.40275e-16, 0, 1.89438e-13, 0, 0, 0
0.0643688, 0, 2.90975e-13, 0, 1.41421, -2.90975e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87608e-16, 0, 0, 2.22529e-15, 0, 2.19994e-16, 0, 2.87542e-13, 0, 0, 0
0.0722224, 0, 4.39776e-13, 0, 1.41421, -4.39776e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4924e-15, 0, 0, 3.43195e-15, 0, 3.43662e-16, 0, 4.34508e-13, 0, 0, 0
