   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_534.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0074506, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000414114, 0, 7.1185e-18, 0, 1.41421, -7.1185e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99423e-21, 8.45021e-19, 0, 6.26849e-18, 0, 0, 0
0.00827883, 0, 1.3159e-17, 0, 1.41421, -1.3159e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36922e-21, 1.58948e-18, 0, 1.15602e-17, 0, 0, 0
0.0161435, 0, 2.41388e-17, 0, 1.41421, -2.41388e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74425e-20, 2.96757e-18, 0, 2.11538e-17, 0, 0, 0
0.0240083, 0, 4.39482e-17, 0, 1.41421, -4.39482e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22299e-20, 5.50033e-18, 0, 3.84156e-17, 0, 0, 0
0.031873, 0, 7.94267e-17, 0, 1.41421, -7.94267e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91189e-20, 1.01228e-17, 0, 6.92448e-17, 0, 0, 0
0.0397377, 0, 1.42514e-16, 0, 1.41421, -1.42514e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07665e-19, 1.85015e-17, 0, 1.23905e-16, 0, 0, 0
0.0476024, 0, 2.53904e-16, 0, 1.41421, -2.53904e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.947e-19, 3.35877e-17, 0, 2.20122e-16, 0, 0, 0
0.0554671, 0, 4.49224e-16, 0, 1.41421, -4.49224e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49667e-19, 6.05735e-17, 0, 3.88301e-16, 0, 0, 0
0.0633319, 0, 7.89382e-16, 0, 1.41421, -7.89382e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23725e-19, 1.08537e-16, 0, 6.80222e-16, 0, 0, 0
0.0711966, 0, 1.37781e-15, 0, 1.41421, -1.37781e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10517e-18, 1.93248e-16, 0, 1.18346e-15, 0, 0, 0
0.0790613, 0, 2.389e-15, 0, 1.41421, -2.389e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9454e-18, 3.41942e-16, 0, 2.04511e-15, 0, 0, 0
0.086926, 0, 4.11536e-15, 0, 1.41421, -4.11536e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40231e-18, 6.01366e-16, 0, 3.51059e-15, 0, 0, 0
0.0947907, 0, 7.04375e-15, 0, 1.41421, -7.04375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91238e-18, 1.05128e-15, 0, 5.98655e-15, 0, 0, 0
0.102655, 0, 1.19796e-14, 0, 1.41421, -1.19796e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02097e-17, 1.827e-15, 0, 1.01424e-14, 0, 0, 0
0.11052, 0, 2.03285e-14, 0, 1.41421, -2.03285e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76188e-17, 3.17831e-15, 0, 1.71326e-14, 0, 0, 0
