   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_631.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00319702, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00466467, 0, 1.17466e-23, 0, 1.41421, -1.17466e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12001e-25, 0, 0, 0, 1.6412e-24, 0, 9.99344e-24, 0, 0
0.0125264, 0, 3.10649e-23, 0, 1.41421, -3.10649e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94913e-25, 0, 0, 0, 4.45593e-24, 0, 2.6314e-23, 0, 0
0.0203881, 0, 8.03142e-23, 0, 1.41421, -8.03142e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59292e-25, 0, 0, 0, 1.1806e-23, 0, 6.77489e-23, 0, 0
0.0282498, 0, 2.03353e-22, 0, 1.41421, -2.03353e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91479e-24, 0, 0, 0, 3.0588e-23, 0, 1.7085e-22, 0, 0
0.0361115, 0, 5.04984e-22, 0, 1.41421, -5.04984e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73647e-24, 0, 0, 0, 7.76292e-23, 0, 4.22618e-22, 0, 0
0.0439732, 0, 1.23146e-21, 0, 1.41421, -1.23146e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15065e-23, 0, 0, 0, 1.93268e-22, 0, 1.02668e-21, 0, 0
0.0518348, 0, 2.95212e-21, 0, 1.41421, -2.95212e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74812e-23, 0, 0, 0, 4.72589e-22, 0, 2.45205e-21, 0, 0
0.0596965, 0, 6.96339e-21, 0, 1.41421, -6.96339e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45841e-23, 0, 0, 0, 1.13619e-21, 0, 5.76261e-21, 0, 0
0.0675582, 0, 1.61743e-20, 0, 1.41421, -1.61743e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4947e-22, 0, 0, 0, 2.68819e-21, 0, 1.33367e-20, 0, 0
