   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.003452, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00441072, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0122734, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0201362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0279989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0358616, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0437243, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0515871, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0594498, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0673125, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0751752, 0, 5.24743e-30, 0, 1.41421, -5.24743e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13395e-32, 0, 0, 6.32837e-35, 5.70404e-36, 0, 5.19603e-30, 0, 0, 0
0.083038, 0, 5.69922e-29, 0, 1.41421, -5.69922e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57592e-31, 0, 0, 6.87317e-34, 5.45495e-34, 0, 5.64334e-29, 0, 0, 0
0.0909007, 0, 3.88509e-28, 0, 1.41421, -3.88509e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80102e-30, 0, 0, 4.68533e-33, 6.20029e-33, 0, 3.84697e-28, 0, 0, 0
0.0987634, 0, 2.11689e-27, 0, 1.41421, -2.11689e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07107e-29, 0, 0, 2.55291e-32, 4.38729e-32, 0, 2.09611e-27, 0, 0, 0
0.106626, 0, 1.00463e-26, 0, 1.41421, -1.00463e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82877e-29, 0, 0, 1.21226e-31, 2.45523e-31, 0, 9.9476e-27, 0, 0, 0
0.114489, 0, 4.32745e-26, 0, 1.41421, -4.32745e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23375e-28, 0, 0, 5.22919e-31, 1.18858e-30, 0, 4.28494e-26, 0, 0, 0
0.122352, 0, 1.73157e-25, 0, 1.41421, -1.73157e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69408e-27, 0, 0, 2.09682e-30, 5.19979e-30, 0, 1.71456e-25, 0, 0, 0
0.130214, 0, 6.52968e-25, 0, 1.41421, -6.52968e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38827e-27, 0, 0, 7.92793e-30, 2.10698e-29, 0, 6.46551e-25, 0, 0, 0
0.138077, 0, 2.34299e-24, 0, 1.41421, -2.34299e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29225e-26, 0, 0, 2.85342e-29, 8.03057e-29, 0, 2.31996e-24, 0, 0, 0
0.14594, 0, 8.05474e-24, 0, 1.41421, -8.05474e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88027e-26, 0, 0, 9.84287e-29, 2.90862e-28, 0, 7.97555e-24, 0, 0, 0
0.153802, 0, 2.66642e-23, 0, 1.41421, -2.66642e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60866e-25, 0, 0, 3.27042e-28, 1.00834e-27, 0, 2.6402e-23, 0, 0, 0
0.161665, 0, 8.53278e-23, 0, 1.41421, -8.53278e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34793e-25, 0, 0, 1.05073e-27, 3.36361e-27, 0, 8.44886e-23, 0, 0, 0
0.169528, 0, 2.64771e-22, 0, 1.41421, -2.64771e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59035e-24, 0, 0, 3.27426e-27, 1.08406e-26, 0, 2.62167e-22, 0, 0, 0
0.177391, 0, 7.98631e-22, 0, 1.41421, -7.98631e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81328e-24, 0, 0, 9.92084e-27, 3.38637e-26, 0, 7.90774e-22, 0, 0, 0
0.185253, 0, 2.34641e-21, 0, 1.41421, -2.34641e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29557e-23, 0, 0, 2.92876e-26, 1.02794e-25, 0, 2.32332e-21, 0, 0, 0
0.193116, 0, 6.72642e-21, 0, 1.41421, -6.72642e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58066e-23, 0, 0, 8.4384e-26, 3.03862e-25, 0, 6.66022e-21, 0, 0, 0
0.200979, 0, 1.88414e-20, 0, 1.41421, -1.88414e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84331e-22, 0, 0, 2.37634e-25, 8.76246e-25, 0, 1.8656e-20, 0, 0, 0
0.208842, 0, 5.16334e-20, 0, 1.41421, -5.16334e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05144e-22, 0, 0, 6.54897e-25, 2.46871e-24, 0, 5.11252e-20, 0, 0, 0
0.216704, 0, 1.38578e-19, 0, 1.41421, -1.38578e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35574e-21, 0, 0, 1.76812e-24, 6.80395e-24, 0, 1.37214e-19, 0, 0, 0
0.224567, 0, 3.64589e-19, 0, 1.41421, -3.64589e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56687e-21, 0, 0, 4.68097e-24, 1.83645e-23, 0, 3.60999e-19, 0, 0, 0
0.23243, 0, 9.41042e-19, 0, 1.41421, -9.41042e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20644e-21, 0, 0, 1.21618e-23, 4.85891e-23, 0, 9.31775e-19, 0, 0, 0
0.240292, 0, 2.44129e-18, 0, 1.41421, -2.44129e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38837e-20, 0, 0, 3.18388e-23, 1.29902e-22, 0, 2.41724e-18, 0, 0, 0
0.248155, 0, 6.05782e-18, 0, 1.41421, -6.05782e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92649e-20, 0, 0, 7.9578e-23, 3.2982e-22, 0, 5.99815e-18, 0, 0, 0
0.256018, 0, 1.47809e-17, 0, 1.41421, -1.47809e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44605e-19, 0, 0, 1.95651e-22, 8.23104e-22, 0, 1.46353e-17, 0, 0, 0
0.263881, 0, 3.54785e-17, 0, 1.41421, -3.54785e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47092e-19, 0, 0, 4.73393e-22, 2.02012e-21, 0, 3.51289e-17, 0, 0, 0
0.271743, 0, 8.38067e-17, 0, 1.41421, -8.38067e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19893e-19, 0, 0, 1.1277e-21, 4.87809e-21, 0, 8.29808e-17, 0, 0, 0
0.279606, 0, 1.94894e-16, 0, 1.41421, -1.94894e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90667e-18, 0, 0, 2.64586e-21, 1.15946e-20, 0, 1.92973e-16, 0, 0, 0
0.287469, 0, 4.46336e-16, 0, 1.41421, -4.46336e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36654e-18, 0, 0, 6.11626e-21, 2.71371e-20, 0, 4.41937e-16, 0, 0, 0
0.295332, 0, 1.00692e-15, 0, 1.41421, -1.00692e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.85074e-18, 0, 0, 1.39344e-20, 6.25638e-20, 0, 9.96994e-16, 0, 0, 0
0.303194, 0, 2.23825e-15, 0, 1.41421, -2.23825e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18968e-17, 0, 0, 3.12966e-20, 1.42126e-19, 0, 2.21618e-15, 0, 0, 0
0.311057, 0, 4.90352e-15, 0, 1.41421, -4.90352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79706e-17, 0, 0, 6.93153e-20, 3.1823e-19, 0, 4.85516e-15, 0, 0, 0
0.31892, 0, 1.05897e-14, 0, 1.41421, -1.05897e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03597e-16, 0, 0, 1.51427e-19, 7.02501e-19, 0, 1.04852e-14, 0, 0, 0
0.326782, 0, 2.25484e-14, 0, 1.41421, -2.25484e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20585e-16, 0, 0, 3.26381e-19, 1.52932e-18, 0, 2.23259e-14, 0, 0, 0
0.334645, 0, 4.73464e-14, 0, 1.41421, -4.73464e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63175e-16, 0, 0, 6.94231e-19, 3.28402e-18, 0, 4.68792e-14, 0, 0, 0
0.342508, 0, 9.80536e-14, 0, 1.41421, -9.80536e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59223e-16, 0, 0, 1.45763e-18, 6.95767e-18, 0, 9.7086e-14, 0, 0, 0
0.350371, 0, 2.00314e-13, 0, 1.41421, -2.00314e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9596e-15, 0, 0, 3.02181e-18, 1.45469e-17, 0, 1.98337e-13, 0, 0, 0
0.358233, 0, 4.03729e-13, 0, 1.41421, -4.03729e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94954e-15, 0, 0, 6.18709e-18, 3.00207e-17, 0, 3.99744e-13, 0, 0, 0
0.366096, 0, 8.02888e-13, 0, 1.41421, -8.02888e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85445e-15, 0, 0, 1.25153e-17, 6.11656e-17, 0, 7.9496e-13, 0, 0, 0
0.373959, 0, 1.57565e-12, 0, 1.41421, -1.57565e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54145e-14, 0, 0, 2.50198e-17, 1.23069e-16, 0, 1.56008e-12, 0, 0, 0
