   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_143.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00300536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00485858, 0, 1.23887e-19, 0, 1.41421, -1.23887e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14987e-22, 0, 0, 6.59093e-25, 0, 2.14226e-21, 0, 1.21329e-19, 0, 0
0.0127225, 0, 2.50079e-19, 0, 1.41421, -2.50079e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37419e-22, 0, 0, 1.34707e-24, 0, 4.40635e-21, 0, 2.44834e-19, 0, 0
0.0205864, 0, 4.99731e-19, 0, 1.41421, -4.99731e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67284e-21, 0, 0, 2.72591e-24, 0, 8.97095e-21, 0, 4.89085e-19, 0, 0
0.0284504, 0, 9.88869e-19, 0, 1.41421, -9.88869e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30909e-21, 0, 0, 5.46328e-24, 0, 1.80847e-20, 0, 9.6747e-19, 0, 0
0.0363143, 0, 1.93825e-18, 0, 1.41421, -1.93825e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48379e-21, 0, 0, 1.08479e-23, 0, 3.61118e-20, 0, 1.89565e-18, 0, 0
0.0441783, 0, 3.76413e-18, 0, 1.41421, -3.76413e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25872e-20, 0, 0, 2.13453e-23, 0, 7.14477e-20, 0, 3.68007e-18, 0, 0
0.0520422, 0, 7.24442e-18, 0, 1.41421, -7.24442e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42163e-20, 0, 0, 4.16327e-23, 0, 1.40105e-19, 0, 7.08005e-18, 0, 0
0.0599061, 0, 1.38205e-17, 0, 1.41421, -1.38205e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61813e-20, 0, 0, 8.05086e-23, 0, 2.72375e-19, 0, 1.35019e-17, 0, 0
0.0677701, 0, 2.61404e-17, 0, 1.41421, -2.61404e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73143e-20, 0, 0, 1.54387e-22, 0, 5.25081e-19, 0, 2.55278e-17, 0, 0
0.075634, 0, 4.90282e-17, 0, 1.41421, -4.90282e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63699e-19, 0, 0, 2.93649e-22, 0, 1.004e-18, 0, 4.78602e-17, 0, 0
0.0834979, 0, 9.12003e-17, 0, 1.41421, -9.12003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04381e-19, 0, 0, 5.54074e-22, 0, 1.90451e-18, 0, 8.89909e-17, 0, 0
0.0913619, 0, 1.6828e-16, 0, 1.41421, -1.6828e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61392e-19, 0, 0, 1.03729e-21, 0, 3.58472e-18, 0, 1.64133e-16, 0, 0
0.0992258, 0, 3.08045e-16, 0, 1.41421, -3.08045e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0272e-18, 0, 0, 1.92705e-21, 0, 6.69626e-18, 0, 3.0032e-16, 0, 0
0.10709, 0, 5.59498e-16, 0, 1.41421, -5.59498e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86482e-18, 0, 0, 3.55309e-21, 0, 1.24162e-17, 0, 5.45214e-16, 0, 0
0.114954, 0, 1.00842e-15, 0, 1.41421, -1.00842e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35945e-18, 0, 0, 6.50272e-21, 0, 2.28556e-17, 0, 9.82195e-16, 0, 0
0.122818, 0, 1.80377e-15, 0, 1.41421, -1.80377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00607e-18, 0, 0, 1.18144e-20, 0, 4.17744e-17, 0, 1.75598e-15, 0, 0
0.130682, 0, 3.20237e-15, 0, 1.41421, -3.20237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06574e-17, 0, 0, 2.13109e-20, 0, 7.5824e-17, 0, 3.11587e-15, 0, 0
0.138545, 0, 5.64351e-15, 0, 1.41421, -5.64351e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87709e-17, 0, 0, 3.81693e-20, 0, 1.3669e-16, 0, 5.48801e-15, 0, 0
0.146409, 0, 9.87309e-15, 0, 1.41421, -9.87309e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28197e-17, 0, 0, 6.78876e-20, 0, 2.44769e-16, 0, 9.59543e-15, 0, 0
0.154273, 0, 1.71482e-14, 0, 1.41421, -1.71482e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69682e-17, 0, 0, 1.19916e-19, 0, 4.35432e-16, 0, 1.66556e-14, 0, 0
0.162137, 0, 2.95718e-14, 0, 1.41421, -2.95718e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81771e-17, 0, 0, 2.10389e-19, 0, 7.69625e-16, 0, 2.87038e-14, 0, 0
0.170001, 0, 5.06362e-14, 0, 1.41421, -5.06362e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67995e-16, 0, 0, 3.6666e-19, 0, 1.3517e-15, 0, 4.91162e-14, 0, 0
0.177865, 0, 8.60989e-14, 0, 1.41421, -8.60989e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85444e-16, 0, 0, 6.34805e-19, 0, 2.35922e-15, 0, 8.34536e-14, 0, 0
0.185729, 0, 1.45383e-13, 0, 1.41421, -1.45383e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8162e-16, 0, 0, 1.09192e-18, 0, 4.09248e-15, 0, 1.40808e-13, 0, 0
0.193593, 0, 2.43799e-13, 0, 1.41421, -2.43799e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07001e-16, 0, 0, 1.86623e-18, 0, 7.05634e-15, 0, 2.35934e-13, 0, 0
0.201457, 0, 4.06048e-13, 0, 1.41421, -4.06048e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34292e-15, 0, 0, 3.16955e-18, 0, 1.20953e-14, 0, 3.92607e-13, 0, 0
0.209321, 0, 6.71695e-13, 0, 1.41421, -6.71695e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21948e-15, 0, 0, 5.34981e-18, 0, 2.06123e-14, 0, 6.48858e-13, 0, 0
0.217185, 0, 1.10366e-12, 0, 1.41421, -1.10366e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64333e-15, 0, 0, 8.97504e-18, 0, 3.49264e-14, 0, 1.06508e-12, 0, 0
0.225049, 0, 1.80131e-12, 0, 1.41421, -1.80131e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94033e-15, 0, 0, 1.49674e-17, 0, 5.885e-14, 0, 1.73651e-12, 0, 0
0.232913, 0, 2.92045e-12, 0, 1.41421, -2.92045e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62062e-15, 0, 0, 2.48161e-17, 0, 9.86168e-14, 0, 2.81219e-12, 0, 0
