   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.204478, 0, 2.06552e-20, 0, 1.41421, -2.06552e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1363e-23, 0, 0, 2.77053e-25, 3.00458e-24, 0, 2.05606e-20, 0, 0
0.212326, 0, 5.63691e-20, 0, 1.41421, -5.63691e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49333e-22, 0, 0, 7.61503e-25, 8.39976e-24, 0, 5.61106e-20, 0, 0
0.220174, 0, 1.50669e-19, 0, 1.41421, -1.50669e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66438e-22, 0, 0, 2.05066e-24, 2.29769e-23, 0, 1.49977e-19, 0, 0
0.228023, 0, 4.07489e-19, 0, 1.41421, -4.07489e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8024e-21, 0, 0, 5.60576e-24, 6.39641e-23, 0, 4.05617e-19, 0, 0
0.235871, 0, 1.04327e-18, 0, 1.41421, -1.04327e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61455e-21, 0, 0, 1.4469e-23, 1.67236e-22, 0, 1.03847e-18, 0, 0
0.24372, 0, 2.62379e-18, 0, 1.41421, -2.62379e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16054e-20, 0, 0, 3.66989e-23, 4.29301e-22, 0, 2.61172e-18, 0, 0
0.251568, 0, 6.4858e-18, 0, 1.41421, -6.4858e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86875e-20, 0, 0, 9.15244e-23, 1.08272e-21, 0, 6.45594e-18, 0, 0
0.259417, 0, 1.57656e-17, 0, 1.41421, -1.57656e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97331e-20, 0, 0, 2.24549e-22, 2.6844e-21, 0, 1.5693e-17, 0, 0
0.267265, 0, 3.77021e-17, 0, 1.41421, -3.77021e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66759e-19, 0, 0, 5.42219e-22, 6.54594e-21, 0, 3.75282e-17, 0, 0
0.275113, 0, 8.87346e-17, 0, 1.41421, -8.87346e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92477e-19, 0, 0, 1.28916e-21, 1.57069e-20, 0, 8.83251e-17, 0, 0
0.282962, 0, 2.05613e-16, 0, 1.41421, -2.05613e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09427e-19, 0, 0, 3.01904e-21, 3.71006e-20, 0, 2.04663e-16, 0, 0
0.29081, 0, 4.6922e-16, 0, 1.41421, -4.6922e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07534e-18, 0, 0, 6.96649e-21, 8.63001e-20, 0, 4.67051e-16, 0, 0
0.298659, 0, 1.05485e-15, 0, 1.41421, -1.05485e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66551e-18, 0, 0, 1.58442e-20, 1.97753e-19, 0, 1.04997e-15, 0, 0
0.306507, 0, 2.33674e-15, 0, 1.41421, -2.33674e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0335e-17, 0, 0, 3.55273e-20, 4.46536e-19, 0, 2.32592e-15, 0, 0
0.314356, 0, 5.10192e-15, 0, 1.41421, -5.10192e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25646e-17, 0, 0, 7.85609e-20, 9.93883e-19, 0, 5.07829e-15, 0, 0
0.322204, 0, 1.09813e-14, 0, 1.41421, -1.09813e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85669e-17, 0, 0, 1.71367e-19, 2.18111e-18, 0, 1.09304e-14, 0, 0
0.330052, 0, 2.33055e-14, 0, 1.41421, -2.33055e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0307e-16, 0, 0, 3.68836e-19, 4.72058e-18, 0, 2.31974e-14, 0, 0
0.337901, 0, 4.87779e-14, 0, 1.41421, -4.87779e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15719e-16, 0, 0, 7.83496e-19, 1.00784e-17, 0, 4.85513e-14, 0, 0
0.345749, 0, 1.00697e-13, 0, 1.41421, -1.00697e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4532e-16, 0, 0, 1.64305e-18, 2.1231e-17, 0, 1.00229e-13, 0, 0
0.353598, 0, 2.05073e-13, 0, 1.41421, -2.05073e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06887e-16, 0, 0, 3.40248e-18, 4.41393e-17, 0, 2.04118e-13, 0, 0
0.361446, 0, 4.12057e-13, 0, 1.41421, -4.12057e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82219e-15, 0, 0, 6.95992e-18, 9.05848e-17, 0, 4.10137e-13, 0, 0
0.369295, 0, 8.16996e-13, 0, 1.41421, -8.16996e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61285e-15, 0, 0, 1.40676e-17, 1.8355e-16, 0, 8.13185e-13, 0, 0
0.377143, 0, 1.59863e-12, 1.68156e-44, 1.41421, -1.59863e-12, 1.68156e-44, 0, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 7.06933e-15, 1.68156e-44, 1.68156e-44, 2.81071e-17, 3.67313e-16, 1.68156e-44, 1.59117e-12, 1.68156e-44, 1.68156e-44
0.384991, 0, 3.08741e-12, 3.19496e-43, 1.41421, -3.08741e-12, 3.19496e-43, 0, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 3.19496e-43, 1.3653e-14, 3.19496e-43, 3.19496e-43, 5.55365e-17, 7.26108e-16, 3.19496e-43, 3.07297e-12, 3.19496e-43, 3.19496e-43
0.39284, 0, 5.88575e-12, 4.95639e-42, 1.41421, -5.88575e-12, 4.95639e-42, 0, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 4.95639e-42, 2.60289e-14, 4.95639e-42, 4.95639e-42, 1.08576e-16, 1.41829e-15, 4.95639e-42, 5.8582e-12, 4.95639e-42, 4.95639e-42
0.400688, 0, 1.10769e-11, 6.75454e-41, 1.41421, -1.10769e-11, 6.75454e-41, 0, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 6.75454e-41, 4.89896e-14, 6.75454e-41, 6.75454e-41, 2.10154e-16, 2.73814e-15, 6.75454e-41, 1.10249e-11, 6.75454e-41, 6.75454e-41
0.408537, 0, 2.05816e-11, 8.22792e-40, 1.41421, -2.05816e-11, 8.22792e-40, 0, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 8.22792e-40, 9.10377e-14, 8.22792e-40, 8.22792e-40, 4.02991e-16, 5.2266e-15, 8.22792e-40, 2.04849e-11, 8.22792e-40, 8.22792e-40
0.416385, 0, 3.77601e-11, 9.03786e-39, 1.41421, -3.77601e-11, 9.03786e-39, 0, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 9.03786e-39, 1.67055e-13, 9.03786e-39, 9.03786e-39, 7.66216e-16, 9.86797e-15, 9.03786e-39, 3.75824e-11, 9.03786e-39, 9.03786e-39
0.424234, 0, 6.84093e-11, 9.00204e-38, 1.41421, -6.84093e-11, 9.00204e-38, 0, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 9.00204e-38, 3.02738e-13, 9.00204e-38, 9.00204e-38, 1.44575e-15, 1.84366e-14, 9.00204e-38, 6.80867e-11, 9.00204e-38, 9.00204e-38
0.432082, 0, 1.22396e-10, 8.17276e-37, 1.41421, -1.22396e-10, 8.17276e-37, 0, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 8.17276e-37, 5.4187e-13, 8.17276e-37, 8.17276e-37, 2.70992e-15, 3.41054e-14, 8.17276e-37, 1.21817e-10, 8.17276e-37, 8.17276e-37
0.43993, 0, 2.16285e-10, 6.79881e-36, 1.41421, -2.16285e-10, 6.79881e-36, 0, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 6.79881e-36, 9.58073e-13, 6.79881e-36, 6.79881e-36, 5.05135e-15, 6.25091e-14, 6.79881e-36, 2.1526e-10, 6.79881e-36, 6.79881e-36
