   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_580.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.188965, 0, 2.65041e-14, 0, 1.41421, -2.65041e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51931e-19, 0, 7.01822e-15, 0, 1.94854e-14, 0, 0
0.196828, 0, 4.68739e-14, 0, 1.41421, -4.68739e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89336e-19, 0, 1.26335e-14, 0, 3.42395e-14, 0, 0
0.204691, 0, 8.22716e-14, 0, 1.41421, -8.22716e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76021e-18, 0, 2.25803e-14, 0, 5.96895e-14, 0, 0
0.212554, 0, 1.43322e-13, 0, 1.41421, -1.43322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10885e-18, 0, 4.00777e-14, 0, 1.03241e-13, 0, 0
0.220418, 0, 2.47838e-13, 0, 1.41421, -2.47838e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45133e-18, 0, 7.0648e-14, 0, 1.77184e-13, 0, 0
0.228281, 0, 4.25456e-13, 0, 1.41421, -4.25456e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49134e-18, 0, 1.23703e-13, 0, 3.01743e-13, 0, 0
0.236144, 0, 7.25142e-13, 0, 1.41421, -7.25142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64111e-17, 0, 2.15187e-13, 0, 5.09938e-13, 0, 0
0.244008, 0, 1.22719e-12, 0, 1.41421, -1.22719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81833e-17, 0, 3.7192e-13, 0, 8.55241e-13, 0, 0
0.251871, 0, 2.06237e-12, 0, 1.41421, -2.06237e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80801e-17, 0, 6.38768e-13, 0, 1.42356e-12, 0, 0
0.259734, 0, 3.44217e-12, 0, 1.41421, -3.44217e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14946e-17, 0, 1.09033e-12, 0, 2.35176e-12, 0, 0
0.267597, 0, 5.70633e-12, 0, 1.41421, -5.70633e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37274e-16, 0, 1.84996e-12, 0, 3.85624e-12, 0, 0
0.275461, 0, 9.3971e-12, 0, 1.41421, -9.3971e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29841e-16, 0, 3.12052e-12, 0, 6.27634e-12, 0, 0
0.283324, 0, 1.53745e-11, 0, 1.41421, -1.53745e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82615e-16, 0, 5.23403e-12, 0, 1.014e-11, 0, 0
0.291187, 0, 2.49939e-11, 0, 1.41421, -2.49939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33443e-16, 0, 8.73118e-12, 0, 1.62621e-11, 0, 0
0.29905, 0, 4.03802e-11, 0, 1.41421, -4.03802e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04329e-15, 0, 1.44888e-11, 0, 2.58903e-11, 0, 0
0.306914, 0, 6.48451e-11, 1.52742e-43, 1.41421, -6.48451e-11, 1.52742e-43, 0, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.71001e-15, 1.52742e-43, 2.39234e-11, 1.52742e-43, 4.092e-11, 1.52742e-43, 1.52742e-43
0.314777, 0, 1.03525e-10, 2.74795e-42, 1.41421, -1.03525e-10, 2.74795e-42, 0, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.79038e-15, 2.74795e-42, 3.93147e-11, 2.74795e-42, 6.42078e-11, 2.74795e-42, 2.74795e-42
0.32264, 0, 1.64478e-10, 2.29341e-40, 1.41421, -1.64478e-10, 2.29341e-40, 0, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 2.29341e-40, 4.54319e-15, 2.29341e-40, 6.44309e-11, 2.29341e-40, 1.00042e-10, 2.29341e-40, 2.29341e-40
0.330503, 0, 2.59715e-10, 2.69734e-39, 1.41421, -2.59715e-10, 2.69734e-39, 0, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 2.69734e-39, 7.35731e-15, 2.69734e-39, 1.04976e-10, 2.69734e-39, 1.54732e-10, 2.69734e-39, 2.69734e-39
0.338367, 0, 4.08012e-10, 2.86413e-38, 1.41421, -4.08012e-10, 2.86413e-38, 0, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 2.86413e-38, 1.18774e-14, 2.86413e-38, 1.70382e-10, 2.86413e-38, 2.37618e-10, 2.86413e-38, 2.86413e-38
0.34623, 0, 6.37921e-10, 2.75667e-37, 1.41421, -6.37921e-10, 2.75667e-37, 0, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 2.75667e-37, 1.91239e-14, 2.75667e-37, 2.75576e-10, 2.75667e-37, 3.62325e-10, 2.75667e-37, 2.75667e-37
0.354093, 0, 9.92945e-10, 2.4205e-36, 1.41421, -9.92945e-10, 2.4205e-36, 0, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 2.4205e-36, 3.07253e-14, 2.4205e-36, 4.44318e-10, 2.4205e-36, 5.48596e-10, 2.4205e-36, 2.4205e-36
0.361956, 0, 1.53926e-09, 1.94786e-35, 1.41421, -1.53926e-09, 1.94786e-35, 0, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 1.94786e-35, 4.92817e-14, 1.94786e-35, 7.14385e-10, 1.94786e-35, 8.24822e-10, 1.94786e-35, 1.94786e-35
0.36982, 0, 2.37737e-09, 1.44296e-34, 1.41421, -2.37737e-09, 1.44296e-34, 0, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 1.44296e-34, 7.89472e-14, 1.44296e-34, 1.14578e-09, 1.44296e-34, 1.23151e-09, 1.44296e-34, 1.44296e-34
0.377683, 0, 3.6599e-09, 9.74612e-34, 1.41421, -3.6599e-09, 9.74612e-34, 0, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 9.74612e-34, 1.26364e-13, 9.74612e-34, 1.83377e-09, 9.74612e-34, 1.826e-09, 9.74612e-34, 9.74612e-34
0.385546, 0, 5.61854e-09, 5.81774e-33, 1.41421, -5.61854e-09, 5.81774e-33, 0, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 5.81774e-33, 2.02153e-13, 5.81774e-33, 2.92944e-09, 5.81774e-33, 2.6889e-09, 5.81774e-33, 5.81774e-33
0.393409, 0, 8.60511e-09, 3.53331e-32, 1.41421, -8.60511e-09, 3.53331e-32, 0, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.53331e-32, 3.23307e-13, 3.53331e-32, 4.67224e-09, 3.53331e-32, 3.93255e-09, 3.53331e-32, 3.53331e-32
0.401273, 0, 1.31542e-08, 1.92133e-31, 1.41421, -1.31542e-08, 1.92133e-31, 0, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 1.92133e-31, 5.16994e-13, 1.92133e-31, 7.44126e-09, 1.92133e-31, 5.71244e-09, 1.92133e-31, 1.92133e-31
0.409136, 0, 2.00787e-08, 1.02128e-30, 1.41421, -2.00787e-08, 1.02128e-30, 0, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 1.02128e-30, 8.26611e-13, 1.02128e-30, 1.18357e-08, 1.02128e-30, 8.24212e-09, 1.02128e-30, 1.02128e-30
0.416999, 0, 3.06151e-08, 5.17035e-30, 1.41421, -3.06151e-08, 5.17035e-30, 0, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 5.17035e-30, 1.32137e-12, 5.17035e-30, 1.88011e-08, 5.17035e-30, 1.18127e-08, 5.17035e-30, 5.17035e-30
0.424862, 0, 4.66453e-08, 2.47314e-29, 1.41421, -4.66453e-08, 2.47314e-29, 0, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.47314e-29, 2.11141e-12, 2.47314e-29, 2.98251e-08, 2.47314e-29, 1.68181e-08, 2.47314e-29, 2.47314e-29
0.432726, 0, 7.1033e-08, 1.13407e-28, 1.41421, -7.1033e-08, 1.13407e-28, 0, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 1.13407e-28, 3.37147e-12, 1.13407e-28, 4.72423e-08, 1.13407e-28, 2.37874e-08, 1.13407e-28, 1.13407e-28
0.440589, 0, 1.08132e-07, 4.99273e-28, 1.41421, -1.08132e-07, 4.99273e-28, 0, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 4.99273e-28, 5.37777e-12, 4.99273e-28, 7.47002e-08, 4.99273e-28, 3.3426e-08, 4.99273e-28, 4.99273e-28
