   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_96.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000266592, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0075882, 0, 2.2163e-19, 0, 1.41421, -2.2163e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19844e-21, 0, 0, 2.91697e-24, 6.13551e-23, 0, 2.20367e-19, 0, 0
0.015443, 0, 4.43364e-19, 0, 1.41421, -4.43364e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39743e-21, 0, 0, 5.91925e-24, 1.24934e-22, 0, 4.40835e-19, 0, 0
0.0232978, 0, 8.78287e-19, 0, 1.41421, -8.78287e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7492e-21, 0, 0, 1.18964e-23, 2.51913e-22, 0, 8.73274e-19, 0, 0
0.0311526, 0, 1.72338e-18, 0, 1.41421, -1.72338e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.31887e-21, 0, 0, 2.36867e-23, 5.03156e-22, 0, 1.71354e-18, 0, 0
0.0390074, 0, 3.35049e-18, 0, 1.41421, -3.35049e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81171e-20, 0, 0, 4.67359e-23, 9.95804e-22, 0, 3.33133e-18, 0, 0
0.0468621, 0, 6.45535e-18, 0, 1.41421, -6.45535e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49057e-20, 0, 0, 9.14033e-23, 1.95338e-21, 0, 6.4184e-18, 0, 0
0.0547169, 0, 1.23285e-17, 0, 1.41421, -1.23285e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66629e-20, 0, 0, 1.77229e-22, 3.79888e-21, 0, 1.22578e-17, 0, 0
0.0625717, 0, 2.33437e-17, 0, 1.41421, -2.33437e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26224e-19, 0, 0, 3.40787e-22, 7.3269e-21, 0, 2.32099e-17, 0, 0
0.0704265, 0, 4.38302e-17, 0, 1.41421, -4.38302e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36997e-19, 0, 0, 6.49929e-22, 1.40166e-20, 0, 4.35786e-17, 0, 0
0.0782813, 0, 8.16192e-17, 0, 1.41421, -8.16192e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41325e-19, 0, 0, 1.22959e-21, 2.66018e-20, 0, 8.115e-17, 0, 0
0.0861361, 0, 1.50762e-16, 0, 1.41421, -1.50762e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15184e-19, 0, 0, 2.30801e-21, 5.00972e-20, 0, 1.49895e-16, 0, 0
0.0939909, 0, 2.76271e-16, 0, 1.41421, -2.76271e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49381e-18, 0, 0, 4.29894e-21, 9.36323e-20, 0, 2.74679e-16, 0, 0
0.101846, 0, 5.02314e-16, 0, 1.41421, -5.02314e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71601e-18, 0, 0, 7.94684e-21, 1.73709e-19, 0, 4.99416e-16, 0, 0
0.1097, 0, 9.06286e-16, 0, 1.41421, -9.06286e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90025e-18, 0, 0, 1.45811e-20, 3.19942e-19, 0, 9.01051e-16, 0, 0
