   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00330722, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00455692, 0, 6.18475e-19, 0, 1.41421, -6.18475e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78114e-21, 0, 0, 7.26429e-24, 0, 8.32338e-21, 0, 6.08363e-19, 0, 0
0.0124211, 0, 1.20014e-18, 0, 1.41421, -1.20014e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45537e-21, 0, 0, 1.42832e-23, 0, 1.64616e-20, 0, 1.18021e-18, 0, 0
0.0202852, 0, 2.3082e-18, 0, 1.41421, -2.3082e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64385e-21, 0, 0, 2.784e-23, 0, 3.22698e-20, 0, 2.26926e-18, 0, 0
0.0281494, 0, 4.40099e-18, 0, 1.41421, -4.40099e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26642e-20, 0, 0, 5.38057e-23, 0, 6.27189e-20, 0, 4.32556e-18, 0, 0
0.0360135, 0, 8.32061e-18, 0, 1.41421, -8.32061e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39364e-20, 0, 0, 1.03133e-22, 0, 1.20891e-19, 0, 8.17568e-18, 0, 0
0.0438776, 0, 1.56017e-17, 0, 1.41421, -1.56017e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48692e-20, 0, 0, 1.96096e-22, 0, 2.31143e-19, 0, 1.53255e-17, 0, 0
0.0517418, 0, 2.90186e-17, 0, 1.41421, -2.90186e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34302e-20, 0, 0, 3.6993e-22, 0, 4.3849e-19, 0, 2.84963e-17, 0, 0
0.0596059, 0, 5.35481e-17, 0, 1.41421, -5.35481e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53906e-19, 0, 0, 6.92512e-22, 0, 8.25507e-19, 0, 5.2568e-17, 0, 0
0.0674701, 0, 9.80484e-17, 0, 1.41421, -9.80484e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81717e-19, 0, 0, 1.28665e-21, 0, 1.54258e-18, 0, 9.62228e-17, 0, 0
0.0753342, 0, 1.78165e-16, 0, 1.41421, -1.78165e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11741e-19, 0, 0, 2.37292e-21, 0, 2.86162e-18, 0, 1.74789e-16, 0, 0
0.0831984, 0, 3.21328e-16, 0, 1.41421, -3.21328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22623e-19, 0, 0, 4.34464e-21, 0, 5.27098e-18, 0, 3.1513e-16, 0, 0
0.0910625, 0, 5.75267e-16, 0, 1.41421, -5.75267e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65116e-18, 0, 0, 7.89819e-21, 0, 9.6417e-18, 0, 5.63966e-16, 0, 0
0.0989267, 0, 1.02243e-15, 0, 1.41421, -1.02243e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9335e-18, 0, 0, 1.42579e-20, 0, 1.7517e-17, 0, 1.00196e-15, 0, 0
0.106791, 0, 1.80418e-15, 0, 1.41421, -1.80418e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17442e-18, 0, 0, 2.55614e-20, 0, 3.16133e-17, 0, 1.76737e-15, 0, 0
0.114655, 0, 3.16121e-15, 0, 1.41421, -3.16121e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06262e-18, 0, 0, 4.55155e-20, 0, 5.66815e-17, 0, 3.09542e-15, 0, 0
0.122519, 0, 5.50034e-15, 0, 1.41421, -5.50034e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57616e-17, 0, 0, 8.05043e-20, 0, 1.00978e-16, 0, 5.38352e-15, 0, 0
0.130383, 0, 9.50438e-15, 0, 1.41421, -9.50438e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7223e-17, 0, 0, 1.41451e-19, 0, 1.78762e-16, 0, 9.29825e-15, 0, 0
