   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_673.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.169241, 0, 6.40502e-12, 0, 1.41421, -6.40502e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44246e-14, 0, 0, 9.53037e-15, 0, 6.55703e-14, 0, 6.3055e-12, 0, 0, 0
0.17713, 0, 9.80638e-12, 0, 1.41421, -9.80638e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73819e-14, 0, 0, 1.49406e-14, 0, 1.04084e-13, 0, 9.64997e-12, 0, 0, 0
0.185019, 0, 1.49372e-11, 0, 1.41421, -1.49372e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69195e-14, 0, 0, 2.33233e-14, 0, 1.64539e-13, 0, 1.46924e-11, 0, 0, 0
0.192908, 0, 2.26364e-11, 0, 1.41421, -2.26364e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62256e-14, 0, 0, 3.62609e-14, 0, 2.59056e-13, 0, 2.22549e-11, 0, 0, 0
0.200797, 0, 3.41299e-11, 0, 1.41421, -3.41299e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29955e-13, 0, 0, 5.61538e-14, 0, 4.06247e-13, 0, 3.35375e-11, 0, 0, 0
0.208686, 0, 5.11986e-11, 0, 1.41421, -5.11986e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94869e-13, 0, 0, 8.66338e-14, 0, 6.34594e-13, 0, 5.02825e-11, 0, 0, 0
0.216575, 0, 7.64163e-11, 0, 1.41421, -7.64163e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90731e-13, 0, 0, 1.33183e-13, 0, 9.87525e-13, 0, 7.50048e-11, 0, 0, 0
0.224464, 0, 1.13481e-10, 0, 1.41421, -1.13481e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31565e-13, 0, 0, 2.04059e-13, 0, 1.53104e-12, 0, 1.11315e-10, 0, 0, 0
0.232353, 0, 1.67681e-10, 0, 1.41421, -1.67681e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3741e-13, 0, 0, 3.11681e-13, 0, 2.36514e-12, 0, 1.64367e-10, 0, 0, 0
0.240242, 0, 2.46531e-10, 0, 1.41421, -2.46531e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36735e-13, 0, 0, 4.74707e-13, 0, 3.64089e-12, 0, 2.41479e-10, 0, 0, 0
0.248131, 0, 3.60658e-10, 1.68156e-44, 1.41421, -3.60658e-10, 0, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.36977e-12, 1.68156e-44, 1.68156e-44, 7.21142e-13, 1.68156e-44, 5.58581e-12, 1.68156e-44, 3.52982e-10, 1.68156e-44, 1.68156e-44, 1.68156e-44
0.25602, 0, 5.2501e-10, 3.41917e-43, 1.41421, -5.2501e-10, 0, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 3.41917e-43, 1.99308e-12, 3.41917e-43, 3.41917e-43, 1.09301e-12, 3.41917e-43, 8.5418e-12, 3.41917e-43, 5.13382e-10, 3.41917e-43, 3.41917e-43, 3.41917e-43
0.263909, 0, 7.60495e-10, 4.99423e-42, 1.41421, -7.60495e-10, 0, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 4.99423e-42, 2.88574e-12, 4.99423e-42, 4.99423e-42, 1.6534e-12, 4.99423e-42, 1.30213e-11, 4.99423e-42, 7.42934e-10, 4.99423e-42, 4.99423e-42, 4.99423e-42
0.271798, 0, 1.09621e-09, 6.69288e-41, 1.41421, -1.09621e-09, 0, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 6.69288e-41, 4.15774e-12, 6.69288e-41, 6.69288e-41, 2.49698e-12, 6.69288e-41, 1.97906e-11, 6.69288e-41, 1.06976e-09, 6.69288e-41, 6.69288e-41, 6.69288e-41
0.279687, 0, 1.57242e-09, 8.04495e-40, 1.41421, -1.57242e-09, 0, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 8.04495e-40, 5.96121e-12, 8.04495e-40, 8.04495e-40, 3.76602e-12, 8.04495e-40, 2.99934e-11, 8.04495e-40, 1.5327e-09, 8.04495e-40, 8.04495e-40, 8.04495e-40
