   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_377.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00603678, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00182738, 0, 2.03253e-22, 0, 1.41421, -2.03253e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25302e-24, 0, 0, 9.44204e-28, 0, 5.50202e-23, 0, 1.45979e-22, 0, 0
0.00969153, 0, 5.32375e-22, 0, 1.41421, -5.32375e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84326e-24, 0, 0, 2.51446e-27, 0, 1.47929e-22, 0, 3.786e-22, 0, 0
0.0175557, 0, 1.25316e-21, 0, 1.41421, -1.25316e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36747e-23, 0, 0, 5.97727e-27, 0, 3.53462e-22, 0, 8.86017e-22, 0, 0
0.0254198, 0, 2.90189e-21, 0, 1.41421, -2.90189e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1487e-23, 0, 0, 1.39795e-26, 0, 8.30266e-22, 0, 2.04013e-21, 0, 0
0.033284, 0, 6.61677e-21, 0, 1.41421, -6.61677e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13981e-23, 0, 0, 3.21971e-26, 0, 1.91927e-21, 0, 4.62606e-21, 0, 0
0.0411482, 0, 1.48678e-20, 0, 1.41421, -1.48678e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59556e-22, 0, 0, 7.30829e-26, 0, 4.37008e-21, 0, 1.0338e-20, 0, 0
0.0490123, 0, 3.29444e-20, 0, 1.41421, -3.29444e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51643e-22, 0, 0, 1.63603e-25, 0, 9.80882e-21, 0, 2.27838e-20, 0, 0
0.0568765, 0, 7.20318e-20, 0, 1.41421, -7.20318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6473e-22, 0, 0, 3.61416e-25, 0, 2.17179e-20, 0, 4.95488e-20, 0, 0
0.0647406, 0, 1.55491e-19, 0, 1.41421, -1.55491e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64194e-21, 0, 0, 7.88311e-25, 0, 4.74627e-20, 0, 1.06386e-19, 0, 0
