   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_59.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0101095, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00221547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00567854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0135725, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0214665, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0293606, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0372546, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0451486, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0530426, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0609366, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0688306, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0767246, 0, 3.58632e-30, 0, 1.41421, -3.58632e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28684e-32, 0, 0, 2.11769e-35, 0, 0, 3.56343e-30, 0, 0, 0
0.0846186, 0, 3.92818e-29, 0, 1.41421, -3.92818e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50483e-31, 0, 0, 2.31956e-34, 0, 0, 3.90311e-29, 0, 0, 0
0.0925126, 0, 2.70069e-28, 0, 1.41421, -2.70069e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72211e-30, 0, 0, 1.59474e-33, 0, 0, 2.68345e-28, 0, 0, 0
0.100407, 0, 1.48408e-27, 0, 1.41421, -1.48408e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46333e-30, 0, 0, 8.76869e-33, 0, 0, 1.47461e-27, 0, 0, 0
0.108301, 0, 7.1027e-27, 0, 1.41421, -7.1027e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52908e-29, 0, 0, 4.2059e-32, 0, 0, 7.05737e-27, 0, 0, 0
0.116195, 0, 3.08509e-26, 0, 1.41421, -3.08509e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96722e-28, 0, 0, 1.83341e-31, 0, 0, 3.0654e-26, 0, 0, 0
0.124089, 0, 1.24465e-25, 0, 1.41421, -1.24465e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9366e-28, 0, 0, 7.43034e-31, 0, 0, 1.23671e-25, 0, 0, 0
0.131983, 0, 4.73172e-25, 0, 1.41421, -4.73172e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01721e-27, 0, 0, 2.83939e-30, 0, 0, 4.70152e-25, 0, 0, 0
0.139877, 0, 1.71146e-24, 0, 1.41421, -1.71146e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09132e-26, 0, 0, 1.03281e-29, 0, 0, 1.70054e-24, 0, 0, 0
0.147771, 0, 5.93015e-24, 0, 1.41421, -5.93015e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78139e-26, 0, 0, 3.60017e-29, 0, 0, 5.8923e-24, 0, 0, 0
0.155665, 0, 1.97838e-23, 0, 1.41421, -1.97838e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26153e-25, 0, 0, 1.20868e-28, 0, 0, 1.96576e-23, 0, 0, 0
0.163559, 0, 6.37952e-23, 0, 1.41421, -6.37952e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06794e-25, 0, 0, 3.92336e-28, 0, 0, 6.3388e-23, 0, 0, 0
0.171453, 0, 1.99452e-22, 0, 1.41421, -1.99452e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27181e-24, 0, 0, 1.23511e-27, 0, 0, 1.98179e-22, 0, 0, 0
0.179347, 0, 6.06084e-22, 0, 1.41421, -6.06084e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86473e-24, 0, 0, 3.78026e-27, 0, 0, 6.02215e-22, 0, 0, 0
0.187241, 0, 1.79376e-21, 0, 1.41421, -1.79376e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1438e-23, 0, 0, 1.12721e-26, 0, 0, 1.78231e-21, 0, 0, 0
0.195135, 0, 5.17933e-21, 0, 1.41421, -5.17933e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30263e-23, 0, 0, 3.28013e-26, 0, 0, 5.14627e-21, 0, 0, 0
0.203029, 0, 1.46113e-20, 0, 1.41421, -1.46113e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.31696e-23, 0, 0, 9.32864e-26, 0, 0, 1.4518e-20, 0, 0, 0
0.210923, 0, 4.03221e-20, 0, 1.41421, -4.03221e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57116e-22, 0, 0, 2.59612e-25, 0, 0, 4.00648e-20, 0, 0, 0
0.218817, 0, 1.08969e-19, 0, 1.41421, -1.08969e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94845e-22, 0, 0, 7.07743e-25, 0, 0, 1.08273e-19, 0, 0, 0
0.226711, 0, 2.88645e-19, 0, 1.41421, -2.88645e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84056e-21, 0, 0, 1.89182e-24, 0, 0, 2.86803e-19, 0, 0, 0
0.234605, 0, 7.50032e-19, 0, 1.41421, -7.50032e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78262e-21, 0, 0, 4.9624e-24, 0, 0, 7.45244e-19, 0, 0, 0
0.242499, 0, 1.91316e-18, 0, 1.41421, -1.91316e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21994e-20, 0, 0, 1.27827e-23, 0, 0, 1.90095e-18, 0, 0, 0
0.250393, 0, 4.79356e-18, 0, 1.41421, -4.79356e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05664e-20, 0, 0, 3.23563e-23, 0, 0, 4.76296e-18, 0, 0, 0
0.258287, 0, 1.18041e-17, 0, 1.41421, -1.18041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52692e-20, 0, 0, 8.05267e-23, 0, 0, 1.17287e-17, 0, 0, 0
0.266181, 0, 2.90069e-17, 0, 1.41421, -2.90069e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84963e-19, 0, 0, 2.00577e-22, 0, 0, 2.88218e-17, 0, 0, 0
0.274075, 0, 6.8946e-17, 0, 1.41421, -6.8946e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39634e-19, 0, 0, 4.82195e-22, 0, 0, 6.85059e-17, 0, 0, 0
0.281969, 0, 1.61317e-16, 0, 1.41421, -1.61317e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02863e-18, 0, 0, 1.14166e-21, 0, 0, 1.60287e-16, 0, 0, 0
0.289863, 0, 3.71667e-16, 0, 1.41421, -3.71667e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36991e-18, 0, 0, 2.663e-21, 0, 0, 3.69294e-16, 0, 0, 0
0.297757, 0, 8.43439e-16, 0, 1.41421, -8.43439e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37808e-18, 0, 0, 6.12158e-21, 0, 0, 8.38055e-16, 0, 0, 0
0.305651, 0, 1.8858e-15, 0, 1.41421, -1.8858e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20244e-17, 0, 0, 1.3872e-20, 0, 0, 1.87376e-15, 0, 0, 0
0.313545, 0, 4.15508e-15, 0, 1.41421, -4.15508e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64937e-17, 0, 0, 3.09965e-20, 0, 0, 4.12856e-15, 0, 0, 0
0.321439, 0, 9.02398e-15, 0, 1.41421, -9.02398e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75379e-17, 0, 0, 6.83142e-20, 0, 0, 8.96638e-15, 0, 0, 0
0.329333, 0, 1.93215e-14, 0, 1.41421, -1.93215e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23194e-16, 0, 0, 1.48541e-19, 0, 0, 1.91981e-14, 0, 0, 0
0.337227, 0, 4.07924e-14, 0, 1.41421, -4.07924e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60087e-16, 0, 0, 3.18731e-19, 0, 0, 4.0532e-14, 0, 0, 0
