   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00275888, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00510446, 0, 7.52345e-21, 0, 1.41421, -7.52345e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10407e-23, 0, 0, 7.82259e-26, 1.43763e-22, 0, 7.32857e-21, 0, 0
0.0129678, 0, 1.65646e-20, 0, 1.41421, -1.65646e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12331e-22, 0, 0, 1.74315e-25, 3.23208e-22, 0, 1.61289e-20, 0, 0
0.0208311, 0, 3.59774e-20, 0, 1.41421, -3.59774e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43878e-22, 0, 0, 3.83229e-25, 7.16369e-22, 0, 3.50168e-20, 0, 0
0.0286945, 0, 7.71299e-20, 0, 1.41421, -7.71299e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22624e-22, 0, 0, 8.31731e-25, 1.56648e-21, 0, 7.504e-20, 0, 0
0.0365578, 0, 1.63301e-19, 0, 1.41421, -1.63301e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10606e-21, 0, 0, 1.78298e-24, 3.38158e-21, 0, 1.58812e-19, 0, 0
0.0444212, 0, 3.41614e-19, 0, 1.41421, -3.41614e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31286e-21, 0, 0, 3.77712e-24, 7.21064e-21, 0, 3.32087e-19, 0, 0
0.0522845, 0, 7.06396e-19, 0, 1.41421, -7.06396e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7806e-21, 0, 0, 7.9108e-24, 1.51953e-20, 0, 6.86413e-19, 0, 0
0.0601479, 0, 1.44443e-18, 0, 1.41421, -1.44443e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77121e-21, 0, 0, 1.6387e-23, 3.16612e-20, 0, 1.40298e-18, 0, 0
0.0680112, 0, 2.92168e-18, 0, 1.41421, -2.92168e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9756e-20, 0, 0, 3.35858e-23, 6.52554e-20, 0, 2.83663e-18, 0, 0
0.0758746, 0, 5.84784e-18, 0, 1.41421, -5.84784e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95253e-20, 0, 0, 6.81297e-23, 1.33089e-19, 0, 5.67516e-18, 0, 0
