   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_147.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.288354, 0, 5.51736e-11, 5.60519e-45, 1.41421, -5.51736e-11, 5.60519e-45, 0, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 2.49792e-13, 5.60519e-45, 5.60519e-45, 9.16046e-16, 2.66542e-12, 5.60519e-45, 5.22574e-11, 5.60519e-45, 5.60519e-45
0.296215, 0, 8.58397e-11, 1.1911e-43, 1.41421, -8.58397e-11, 1.1911e-43, 0, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 3.87854e-13, 1.1911e-43, 1.1911e-43, 1.47398e-15, 4.33513e-12, 1.1911e-43, 8.11153e-11, 1.1911e-43, 1.1911e-43
0.304077, 0, 1.32682e-10, 1.77264e-42, 1.41421, -1.32682e-10, 1.77264e-42, 0, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 5.98212e-13, 1.77264e-42, 1.77264e-42, 2.36222e-15, 7.01999e-12, 1.77264e-42, 1.25062e-10, 1.77264e-42, 1.77264e-42
0.311939, 0, 2.03765e-10, 2.41177e-41, 1.41421, -2.03765e-10, 2.41177e-41, 0, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 2.41177e-41, 9.16552e-13, 2.41177e-41, 2.41177e-41, 3.77196e-15, 1.13206e-11, 2.41177e-41, 1.91524e-10, 2.41177e-41, 2.41177e-41
0.3198, 0, 3.10936e-10, 2.94532e-40, 1.41421, -3.10936e-10, 2.94532e-40, 0, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 2.94532e-40, 1.39507e-12, 2.94532e-40, 2.94532e-40, 6.00365e-15, 1.8185e-11, 2.94532e-40, 2.9135e-10, 2.94532e-40, 2.94532e-40
0.327662, 0, 4.71489e-10, 3.24079e-39, 1.41421, -4.71489e-10, 3.24079e-39, 0, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 3.24079e-39, 2.10956e-12, 3.24079e-39, 3.24079e-39, 9.52914e-15, 2.9106e-11, 3.24079e-39, 4.40264e-10, 3.24079e-39, 3.24079e-39
0.335524, 0, 7.10506e-10, 3.22653e-38, 1.41421, -7.10506e-10, 3.22653e-38, 0, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.22653e-38, 3.16934e-12, 3.22653e-38, 3.22653e-38, 1.50896e-14, 4.64298e-11, 3.22653e-38, 6.60892e-10, 3.22653e-38, 3.22653e-38
0.343385, 0, 1.06415e-09, 2.9216e-37, 1.41421, -1.06415e-09, 2.9216e-37, 0, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 2.9216e-37, 4.73099e-12, 2.9216e-37, 2.9216e-37, 2.38497e-14, 7.38387e-11, 2.9216e-37, 9.85557e-10, 2.9216e-37, 2.9216e-37
0.351247, 0, 1.58426e-09, 2.41884e-36, 1.41421, -1.58426e-09, 2.41884e-36, 0, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 2.41884e-36, 7.01725e-12, 2.41884e-36, 2.41884e-36, 3.76412e-14, 1.17103e-10, 2.41884e-36, 1.4601e-09, 2.41884e-36, 2.41884e-36
0.359109, 0, 2.34472e-09, 1.83999e-35, 1.41421, -2.34472e-09, 1.83999e-35, 0, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.83999e-35, 1.03429e-11, 1.83999e-35, 1.83999e-35, 5.93469e-14, 1.85255e-10, 1.83999e-35, 2.14906e-09, 1.83999e-35, 1.83999e-35
0.36697, 0, 3.4503e-09, 1.29195e-34, 1.41421, -3.4503e-09, 1.29195e-34, 0, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.29195e-34, 1.51499e-11, 1.29195e-34, 1.29195e-34, 9.35081e-14, 2.9242e-10, 1.29195e-34, 3.14264e-09, 1.29195e-34, 1.29195e-34
0.374832, 0, 5.0489e-09, 8.83569e-34, 1.41421, -5.0489e-09, 8.83569e-34, 0, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 8.83569e-34, 2.20546e-11, 8.83569e-34, 8.83569e-34, 1.47282e-13, 4.60664e-10, 8.83569e-34, 4.56604e-09, 8.83569e-34, 8.83569e-34
0.382694, 0, 7.34829e-09, 5.84043e-33, 1.41421, -7.34829e-09, 5.84043e-33, 0, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 5.84043e-33, 3.19119e-11, 5.84043e-33, 5.84043e-33, 2.31952e-13, 7.24427e-10, 5.84043e-33, 6.59172e-09, 5.84043e-33, 5.84043e-33
0.390555, 0, 1.06393e-08, 3.62967e-32, 1.41421, -1.06393e-08, 3.62967e-32, 0, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 3.62967e-32, 4.58989e-11, 3.62967e-32, 3.62967e-32, 3.65303e-13, 1.13738e-09, 3.62967e-32, 9.45567e-09, 3.62967e-32, 3.62967e-32
0.398417, 0, 1.53277e-08, 2.10902e-31, 1.41421, -1.53277e-08, 2.10902e-31, 0, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 2.10902e-31, 6.56284e-11, 2.10902e-31, 2.10902e-31, 5.7535e-13, 1.78307e-09, 2.10902e-31, 1.34785e-08, 2.10902e-31, 2.10902e-31
0.406279, 0, 2.19779e-08, 1.14681e-30, 1.41421, -2.19779e-08, 1.14681e-30, 0, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 1.14681e-30, 9.3296e-11, 1.14681e-30, 1.14681e-30, 9.06158e-13, 2.79125e-09, 1.14681e-30, 1.90925e-08, 1.14681e-30, 1.14681e-30
0.41414, 0, 3.13733e-08, 5.85145e-30, 1.41421, -3.13733e-08, 5.85145e-30, 0, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 5.85145e-30, 1.31874e-10, 5.85145e-30, 5.85145e-30, 1.4269e-12, 4.36302e-09, 5.85145e-30, 2.6877e-08, 5.85145e-30, 5.85145e-30
