   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_684.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0031996, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00465986, 0, 1.40694e-21, 0, 1.41421, -1.40694e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71977e-24, 0, 0, 0, 2.24098e-22, 0, 1.17413e-21, 0, 0, 0
0.0125193, 0, 3.21327e-21, 0, 1.41421, -3.21327e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98534e-23, 0, 0, 0, 5.20141e-22, 0, 2.67328e-21, 0, 0, 0
0.0203788, 0, 7.23175e-21, 0, 1.41421, -7.23175e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45437e-23, 0, 0, 0, 1.18935e-21, 0, 5.99785e-21, 0, 0, 0
0.0282382, 0, 1.60501e-20, 0, 1.41421, -1.60501e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.85534e-23, 0, 0, 0, 2.68128e-21, 0, 1.32703e-20, 0, 0, 0
0.0360977, 0, 3.51504e-20, 0, 1.41421, -3.51504e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1516e-22, 0, 0, 0, 5.96369e-21, 0, 2.89716e-20, 0, 0, 0
0.0439572, 0, 7.60053e-20, 0, 1.41421, -7.60053e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63768e-22, 0, 0, 0, 1.30947e-20, 0, 6.24468e-20, 0, 0, 0
0.0518166, 0, 1.62345e-19, 0, 1.41421, -1.62345e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87421e-22, 0, 0, 0, 2.84e-20, 0, 1.32957e-19, 0, 0, 0
0.0596761, 0, 3.42693e-19, 0, 1.41421, -3.42693e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07757e-21, 0, 0, 0, 6.0869e-20, 0, 2.79747e-19, 0, 0, 0
0.0675355, 0, 7.15194e-19, 0, 1.41421, -7.15194e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32149e-21, 0, 0, 0, 1.28979e-19, 0, 5.81893e-19, 0, 0, 0
0.075395, 0, 1.47622e-18, 0, 1.41421, -1.47622e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88978e-21, 0, 0, 0, 2.7031e-19, 0, 1.19702e-18, 0, 0, 0
0.0832545, 0, 3.01458e-18, 0, 1.41421, -3.01458e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80911e-20, 0, 0, 0, 5.60504e-19, 0, 2.43598e-18, 0, 0, 0
0.0911139, 0, 6.09232e-18, 0, 1.41421, -6.09232e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64318e-20, 0, 0, 0, 1.15031e-18, 0, 4.90558e-18, 0, 0, 0
0.0989734, 0, 1.21882e-17, 0, 1.41421, -1.21882e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26197e-20, 0, 0, 0, 2.33724e-18, 0, 9.77831e-18, 0, 0, 0
0.106833, 0, 2.41435e-17, 0, 1.41421, -2.41435e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43314e-19, 0, 0, 0, 4.70287e-18, 0, 1.92974e-17, 0, 0, 0
0.114692, 0, 4.73664e-17, 0, 1.41421, -4.73664e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80077e-19, 0, 0, 0, 9.37363e-18, 0, 3.77126e-17, 0, 0, 0
0.122552, 0, 9.20527e-17, 0, 1.41421, -9.20527e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42136e-19, 0, 0, 0, 1.85115e-17, 0, 7.29991e-17, 0, 0, 0
0.130411, 0, 1.7725e-16, 0, 1.41421, -1.7725e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03958e-18, 0, 0, 0, 3.62294e-17, 0, 1.39981e-16, 0, 0, 0
