   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_35.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0348843, 70, 0, 0, 8.48528, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0269741, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.019064, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0111539, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00324378, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00466634, 0, 9.59534e-21, 0, 1.41421, -9.59534e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29922e-24, 0, 0, 2.54034e-25, 2.83334e-25, 0, 9.5875e-21, 0, 0, 0
0.0125765, 0, 2.15498e-20, 0, 1.41421, -2.15498e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6393e-23, 0, 0, 5.7941e-25, 6.48624e-25, 0, 2.15321e-20, 0, 0, 0
0.0204866, 0, 4.77203e-20, 0, 1.41421, -4.77203e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6301e-23, 0, 0, 1.30316e-24, 1.46344e-24, 0, 4.76812e-20, 0, 0, 0
0.0283967, 0, 1.04261e-19, 0, 1.41421, -1.04261e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93113e-23, 0, 0, 2.89207e-24, 3.25661e-24, 0, 1.04175e-19, 0, 0, 0
0.0363068, 0, 2.24874e-19, 0, 1.41421, -2.24874e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71062e-22, 0, 0, 6.33681e-24, 7.15237e-24, 0, 2.24689e-19, 0, 0, 0
0.044217, 0, 4.7905e-19, 0, 1.41421, -4.7905e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64414e-22, 0, 0, 1.37154e-23, 1.55125e-23, 0, 4.78656e-19, 0, 0, 0
0.0521271, 0, 1.00842e-18, 0, 1.41421, -1.00842e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67102e-22, 0, 0, 2.93375e-23, 3.3242e-23, 0, 1.00759e-18, 0, 0, 0
0.0600372, 0, 2.09842e-18, 0, 1.41421, -2.09842e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59627e-21, 0, 0, 6.20435e-23, 7.04162e-23, 0, 2.09669e-18, 0, 0, 0
0.0679473, 0, 4.31815e-18, 0, 1.41421, -4.31815e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28481e-21, 0, 0, 1.29774e-22, 1.47509e-22, 0, 4.31459e-18, 0, 0, 0
