   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_332.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.212103, 0, 1.89859e-14, 0, 1.41421, -1.89859e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.77726e-17, 0, 0, 0, 1.89081e-14, 0, 0, 0
0.219987, 0, 3.54531e-14, 0, 1.41421, -3.54531e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45228e-16, 0, 0, 0, 3.53078e-14, 0, 0, 0
0.22787, 0, 6.55822e-14, 0, 1.41421, -6.55822e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68646e-16, 0, 0, 0, 6.53135e-14, 0, 0, 0
0.235754, 0, 1.20502e-13, 0, 1.41421, -1.20502e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93614e-16, 0, 0, 0, 1.20008e-13, 0, 0, 0
0.243638, 0, 2.18735e-13, 0, 1.41421, -2.18735e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96009e-16, 0, 0, 0, 2.17839e-13, 0, 0, 0
0.251521, 0, 3.9346e-13, 0, 1.41421, -3.9346e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61175e-15, 0, 0, 0, 3.91848e-13, 0, 0, 0
0.259405, 0, 7.01415e-13, 0, 1.41421, -7.01415e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87325e-15, 0, 0, 0, 6.98541e-13, 0, 0, 0
0.267289, 0, 1.23928e-12, 0, 1.41421, -1.23928e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0766e-15, 0, 0, 0, 1.2342e-12, 0, 0, 0
0.275172, 0, 2.17029e-12, 0, 1.41421, -2.17029e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89058e-15, 0, 0, 0, 2.1614e-12, 0, 0, 0
0.283056, 0, 3.76742e-12, 0, 1.41421, -3.76742e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54337e-14, 0, 0, 0, 3.75198e-12, 0, 0, 0
0.29094, 0, 6.48302e-12, 0, 1.41421, -6.48302e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65596e-14, 0, 0, 0, 6.45647e-12, 0, 0, 0
0.298823, 0, 1.10596e-11, 0, 1.41421, -1.10596e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53117e-14, 0, 0, 0, 1.10143e-11, 0, 0, 0
0.306707, 0, 1.8705e-11, 0, 1.41421, -1.8705e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66415e-14, 0, 0, 0, 1.86284e-11, 0, 0, 0
0.314591, 0, 3.13655e-11, 0, 1.41421, -3.13655e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2853e-13, 0, 0, 0, 3.1237e-11, 0, 0, 0
