   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_340.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0311552, 680, 0, 0, 26.1151, 680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232729, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153907, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00750845, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000373799, 0, 1.45784e-22, 0, 1.41421, -1.45784e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79623e-24, 0, 0, 0, 0, 1.43988e-22, 0, 0, 0
0.00825604, 2, 3.65167e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49929e-24, 0, 0, 0, 0, 3.60668e-22, 0, 0, 0
0.0161383, 4, 8.96045e-22, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10403e-23, 0, 0, 0, 0, 8.85004e-22, 0, 0, 0
0.0240205, 4, 2.15726e-21, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.658e-23, 0, 0, 0, 0, 2.13068e-21, 0, 0, 0
0.0319028, 0, 5.10246e-21, 0, 1.41421, -5.10246e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28684e-23, 0, 0, 0, 0, 5.03959e-21, 0, 0, 0
0.039785, 4, 1.18697e-20, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46249e-22, 0, 0, 0, 0, 1.17235e-20, 0, 0, 0
