   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_223.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0295911, 446, 0, 0, 21.166, 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0217087, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0138263, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00594391, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0019385, 0, 2.96821e-25, 0, 1.41421, -2.96821e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38572e-28, 0, 0, 1.74592e-29, 0, 2.96665e-25, 0, 0, 0
0.00982091, 0, 1.00415e-24, 0, 1.41421, -1.00415e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68792e-28, 0, 0, 6.29262e-29, 0, 1.00362e-24, 0, 0, 0
0.0177033, 0, 3.28568e-24, 0, 1.41421, -3.28568e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53393e-27, 0, 0, 2.18553e-28, 0, 3.28393e-24, 0, 0, 0
0.0255857, 0, 1.01784e-23, 0, 1.41421, -1.01784e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75177e-27, 0, 0, 7.08631e-28, 0, 1.01729e-23, 0, 0, 0
0.0334681, 0, 3.0177e-23, 0, 1.41421, -3.0177e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40881e-26, 0, 0, 2.18047e-27, 0, 3.01608e-23, 0, 0, 0
0.0413505, 0, 9.80296e-23, 0, 1.41421, -9.80296e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57648e-26, 0, 0, 7.44693e-27, 0, 9.79764e-23, 0, 0, 0
0.0492329, 0, 2.6686e-22, 0, 1.41421, -2.6686e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24583e-25, 0, 0, 2.07819e-26, 0, 2.66715e-22, 0, 0, 0
0.0571154, 0, 7.08257e-22, 0, 1.41421, -7.08257e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30647e-25, 0, 0, 5.64191e-26, 0, 7.0787e-22, 0, 0, 0
0.0649978, 0, 1.83665e-21, 0, 1.41421, -1.83665e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57431e-25, 0, 0, 1.49406e-25, 0, 1.83565e-21, 0, 0, 0
0.0728802, 0, 4.66194e-21, 0, 1.41421, -4.66194e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1764e-24, 0, 0, 3.8676e-25, 0, 4.65938e-21, 0, 0, 0
0.0807626, 0, 1.15998e-20, 0, 1.41421, -1.15998e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41531e-24, 0, 0, 9.80403e-25, 0, 1.15934e-20, 0, 0, 0
0.088645, 0, 2.8329e-20, 0, 1.41421, -2.8329e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32252e-23, 0, 0, 2.43724e-24, 0, 2.83133e-20, 0, 0, 0
0.0965274, 0, 6.79784e-20, 0, 1.41421, -6.79784e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17352e-23, 0, 0, 5.94927e-24, 0, 6.79407e-20, 0, 0, 0
0.10441, 0, 1.60427e-19, 0, 1.41421, -1.60427e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48939e-23, 0, 0, 1.42747e-23, 0, 1.60338e-19, 0, 0, 0
0.112292, 0, 3.72653e-19, 0, 1.41421, -3.72653e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73969e-22, 0, 0, 3.36986e-23, 0, 3.72445e-19, 0, 0, 0
0.120175, 0, 8.52637e-19, 0, 1.41421, -8.52637e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98045e-22, 0, 0, 7.83347e-23, 0, 8.5216e-19, 0, 0, 0
0.128057, 0, 1.9228e-18, 0, 1.41421, -1.9228e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97636e-22, 0, 0, 1.79436e-22, 0, 1.92172e-18, 0, 0, 0
0.135939, 0, 4.27616e-18, 0, 1.41421, -4.27616e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99628e-21, 0, 0, 4.0528e-22, 0, 4.27376e-18, 0, 0, 0
0.143822, 0, 9.38306e-18, 0, 1.41421, -9.38306e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38036e-21, 0, 0, 9.03098e-22, 0, 9.37777e-18, 0, 0, 0
0.151704, 0, 2.03234e-17, 0, 1.41421, -2.03234e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48771e-21, 0, 0, 1.98642e-21, 0, 2.03119e-17, 0, 0, 0
0.159587, 0, 4.34692e-17, 0, 1.41421, -4.34692e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0293e-20, 0, 0, 4.31477e-21, 0, 4.34446e-17, 0, 0, 0
0.167469, 0, 9.18447e-17, 0, 1.41421, -9.18447e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28764e-20, 0, 0, 9.25926e-21, 0, 9.17926e-17, 0, 0, 0
0.175352, 0, 1.91757e-16, 0, 1.41421, -1.91757e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95187e-20, 0, 0, 1.96374e-20, 0, 1.91648e-16, 0, 0, 0
0.183234, 0, 3.95726e-16, 0, 1.41421, -3.95726e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84738e-19, 0, 0, 4.11745e-20, 0, 3.955e-16, 0, 0, 0
0.191116, 0, 8.07414e-16, 0, 1.41421, -8.07414e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76927e-19, 0, 0, 8.5377e-20, 0, 8.06952e-16, 0, 0, 0
0.198999, 0, 1.62913e-15, 0, 1.41421, -1.62913e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60526e-19, 0, 0, 1.75123e-19, 0, 1.62819e-15, 0, 0, 0
0.206881, 0, 3.25133e-15, 0, 1.41421, -3.25133e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51781e-18, 0, 0, 3.55425e-19, 0, 3.24945e-15, 0, 0, 0
0.214764, 0, 6.4194e-15, 0, 1.41421, -6.4194e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99675e-18, 0, 0, 7.13937e-19, 0, 6.41569e-15, 0, 0, 0
0.222646, 0, 1.2541e-14, 0, 1.41421, -1.2541e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85444e-18, 0, 0, 1.41963e-18, 0, 1.25337e-14, 0, 0, 0
0.230528, 0, 2.42458e-14, 0, 1.41421, -2.42458e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13185e-17, 0, 0, 2.79504e-18, 0, 2.42317e-14, 0, 0, 0
0.238411, 0, 4.63954e-14, 0, 1.41421, -4.63954e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16583e-17, 0, 0, 5.44982e-18, 0, 4.63683e-14, 0, 0, 0
0.246293, 0, 8.7882e-14, 0, 1.41421, -8.7882e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10247e-17, 0, 0, 1.05255e-17, 0, 8.78305e-14, 0, 0, 0
0.254176, 0, 1.64803e-13, 0, 1.41421, -1.64803e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69321e-17, 0, 0, 2.01394e-17, 0, 1.64706e-13, 0, 0, 0
0.262058, 0, 3.05997e-13, 0, 1.41421, -3.05997e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42843e-16, 0, 0, 3.81834e-17, 0, 3.05816e-13, 0, 0, 0
0.26994, 0, 5.62598e-13, 0, 1.41421, -5.62598e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62626e-16, 0, 0, 7.17454e-17, 0, 5.62264e-13, 0, 0, 0
0.277823, 0, 1.02436e-12, 0, 1.41421, -1.02436e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7818e-16, 0, 0, 1.33623e-16, 0, 1.02375e-12, 0, 0, 0
0.285705, 0, 1.8472e-12, 0, 1.41421, -1.8472e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62294e-16, 0, 0, 2.46741e-16, 0, 1.84609e-12, 0, 0, 0
0.293588, 0, 3.30288e-12, 0, 1.41421, -3.30288e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54185e-15, 0, 0, 4.52902e-16, 0, 3.30089e-12, 0, 0, 0
0.30147, 0, 5.8426e-12, 0, 1.41421, -5.8426e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72749e-15, 0, 0, 8.22307e-16, 0, 5.83905e-12, 0, 0, 0
0.309352, 0, 1.02385e-11, 0, 1.41421, -1.02385e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77978e-15, 0, 0, 1.48111e-15, 0, 1.02323e-11, 0, 0, 0
0.317235, 0, 1.77753e-11, 0, 1.41421, -1.77753e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29867e-15, 0, 0, 2.64704e-15, 0, 1.77644e-11, 0, 0, 0
0.325117, 0, 3.05752e-11, 0, 1.41421, -3.05752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42755e-14, 0, 0, 4.69529e-15, 0, 3.05563e-11, 0, 0, 0
0.333, 0, 5.21103e-11, 1.70958e-43, 1.41421, -5.21103e-11, 0, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 2.43326e-14, 1.70958e-43, 1.70958e-43, 8.26815e-15, 1.70958e-43, 5.20777e-11, 1.70958e-43, 1.70958e-43, 1.70958e-43
0.340882, 0, 8.80042e-11, 3.0212e-42, 1.41421, -8.80042e-11, 0, 3.0212e-42, 3.0212e-42, 3.0212e-42, 3.0212e-42, 3.0212e-42, 3.0212e-42, 3.0212e-42, 3.0212e-42, 4.10986e-14, 3.0212e-42, 3.0212e-42, 1.44588e-14, 3.0212e-42, 8.79486e-11, 3.0212e-42, 3.0212e-42, 3.0212e-42
0.348765, 0, 1.47276e-10, 4.36392e-41, 1.41421, -1.47276e-10, 0, 4.36392e-41, 4.36392e-41, 4.36392e-41, 4.36392e-41, 4.36392e-41, 4.36392e-41, 4.36392e-41, 4.36392e-41, 6.87915e-14, 4.36392e-41, 4.36392e-41, 2.51175e-14, 4.36392e-41, 1.47182e-10, 4.36392e-41, 4.36392e-41, 4.36392e-41
0.356647, 0, 2.44249e-10, 5.5816e-40, 1.41421, -2.44249e-10, 0, 5.5816e-40, 5.5816e-40, 5.5816e-40, 5.5816e-40, 5.5816e-40, 5.5816e-40, 5.5816e-40, 5.5816e-40, 1.14114e-13, 5.5816e-40, 5.5816e-40, 4.33621e-14, 5.5816e-40, 2.44092e-10, 5.5816e-40, 5.5816e-40, 5.5816e-40
0.364529, 0, 4.0145e-10, 6.38439e-39, 1.41421, -4.0145e-10, 0, 6.38439e-39, 6.38439e-39, 6.38439e-39, 6.38439e-39, 6.38439e-39, 6.38439e-39, 6.38439e-39, 6.38439e-39, 1.87618e-13, 6.38439e-39, 6.38439e-39, 7.44246e-14, 6.38439e-39, 4.01188e-10, 6.38439e-39, 6.38439e-39, 6.38439e-39
0.372412, 0, 6.53961e-10, 6.60104e-38, 1.41421, -6.53961e-10, 0, 6.60104e-38, 6.60104e-38, 6.60104e-38, 6.60104e-38, 6.60104e-38, 6.60104e-38, 6.60104e-38, 6.60104e-38, 3.05751e-13, 6.60104e-38, 6.60104e-38, 1.27058e-13, 6.60104e-38, 6.53528e-10, 6.60104e-38, 6.60104e-38, 6.60104e-38
0.380294, 0, 1.05589e-09, 6.20073e-37, 1.41421, -1.05589e-09, 0, 6.20073e-37, 6.20073e-37, 6.20073e-37, 6.20073e-37, 6.20073e-37, 6.20073e-37, 6.20073e-37, 6.20073e-37, 4.93918e-13, 6.20073e-37, 6.20073e-37, 2.15869e-13, 6.20073e-37, 1.05518e-09, 6.20073e-37, 6.20073e-37, 6.20073e-37
0.388177, 0, 1.68986e-09, 5.32701e-36, 1.41421, -1.68986e-09, 0, 5.32701e-36, 5.32701e-36, 5.32701e-36, 5.32701e-36, 5.32701e-36, 5.32701e-36, 5.32701e-36, 5.32701e-36, 7.90984e-13, 5.32701e-36, 5.32701e-36, 3.65193e-13, 5.32701e-36, 1.6887e-09, 5.32701e-36, 5.32701e-36, 5.32701e-36
