   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_234.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0307889, 468, 0, 0, 21.6795, 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229059, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150229, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00713993, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000743051, 0, 2.93506e-25, 0, 1.41421, -2.93506e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24537e-27, 0, 0, 0, 6.56896e-29, 0, 2.92195e-25, 0, 0, 0
0.00862603, 0, 9.95649e-25, 0, 1.41421, -9.95649e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22454e-27, 0, 0, 0, 2.37851e-28, 0, 9.91187e-25, 0, 0, 0
0.016509, 0, 3.26491e-24, 0, 1.41421, -3.26491e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38528e-26, 0, 0, 0, 8.29148e-28, 0, 3.25023e-24, 0, 0, 0
0.024392, 0, 1.01352e-23, 0, 1.41421, -1.01352e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30025e-26, 0, 0, 0, 2.69722e-27, 0, 1.00895e-23, 0, 0, 0
0.032275, 0, 3.01095e-23, 0, 1.41421, -3.01095e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2775e-25, 0, 0, 0, 8.3243e-27, 0, 2.99735e-23, 0, 0, 0
0.0401579, 0, 8.62125e-23, 0, 1.41421, -8.62125e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65782e-25, 0, 0, 0, 2.46208e-26, 0, 8.58221e-23, 0, 0, 0
0.0480409, 0, 2.66991e-22, 0, 1.41421, -2.66991e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13277e-24, 0, 0, 0, 7.9724e-26, 0, 2.65778e-22, 0, 0, 0
