   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_40.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.297477, 0, 5.67932e-11, 0, 1.41421, -5.67932e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67932e-11, 0, 0
0.305384, 0, 9.13094e-11, 6.16571e-44, 1.41421, -9.13094e-11, 6.16571e-44, 0, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 9.13094e-11, 6.16571e-44, 6.16571e-44
0.31329, 0, 1.45686e-10, 1.12664e-42, 1.41421, -1.45686e-10, 1.12664e-42, 0, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.12664e-42, 1.45686e-10, 1.12664e-42, 1.12664e-42
0.321197, 0, 2.30687e-10, 1.70538e-41, 1.41421, -2.30687e-10, 1.70538e-41, 0, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 1.70538e-41, 2.30687e-10, 1.70538e-41, 1.70538e-41
0.329104, 0, 3.62531e-10, 2.269e-40, 1.41421, -3.62531e-10, 2.269e-40, 0, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 2.269e-40, 3.62531e-10, 2.269e-40, 2.269e-40
0.337011, 0, 5.65465e-10, 2.69966e-39, 1.41421, -5.65465e-10, 2.69966e-39, 0, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 2.69966e-39, 5.65465e-10, 2.69966e-39, 2.69966e-39
0.344917, 0, 8.75427e-10, 2.8957e-38, 1.41421, -8.75427e-10, 2.8957e-38, 0, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 2.8957e-38, 8.75427e-10, 2.8957e-38, 2.8957e-38
0.352824, 0, 1.34527e-09, 2.81265e-37, 1.41421, -1.34527e-09, 2.81265e-37, 0, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 2.81265e-37, 1.34527e-09, 2.81265e-37, 2.81265e-37
0.360731, 0, 2.05205e-09, 2.49195e-36, 1.41421, -2.05205e-09, 2.49195e-36, 0, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.49195e-36, 2.05205e-09, 2.49195e-36, 2.49195e-36
0.368638, 0, 3.10727e-09, 2.02228e-35, 1.41421, -3.10727e-09, 2.02228e-35, 0, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 2.02228e-35, 3.10727e-09, 2.02228e-35, 2.02228e-35
0.376544, 0, 4.67091e-09, 1.50979e-34, 1.41421, -4.67091e-09, 1.50979e-34, 0, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 1.50979e-34, 4.67091e-09, 1.50979e-34, 1.50979e-34
0.384451, 0, 6.9707e-09, 1.04842e-33, 1.41421, -6.9707e-09, 1.04842e-33, 0, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 1.04842e-33, 6.9707e-09, 1.04842e-33, 1.04842e-33
0.392358, 0, 1.03282e-08, 6.20846e-33, 1.41421, -1.03282e-08, 6.20846e-33, 0, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 6.20846e-33, 1.03282e-08, 6.20846e-33, 6.20846e-33
0.400265, 0, 1.51939e-08, 3.76062e-32, 1.41421, -1.51939e-08, 3.76062e-32, 0, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 3.76062e-32, 1.51939e-08, 3.76062e-32, 3.76062e-32
0.408171, 0, 2.2194e-08, 2.02738e-31, 1.41421, -2.2194e-08, 2.02738e-31, 0, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.02738e-31, 2.2194e-08, 2.02738e-31, 2.02738e-31
0.416078, 0, 3.21917e-08, 1.07364e-30, 1.41421, -3.21917e-08, 1.07364e-30, 0, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 1.07364e-30, 3.21917e-08, 1.07364e-30, 1.07364e-30
0.423985, 0, 4.63684e-08, 5.42673e-30, 1.41421, -4.63684e-08, 5.42673e-30, 0, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 5.42673e-30, 4.63684e-08, 5.42673e-30, 5.42673e-30
0.431892, 0, 6.63284e-08, 2.59358e-29, 1.41421, -6.63284e-08, 2.59358e-29, 0, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 2.59358e-29, 6.63284e-08, 2.59358e-29, 2.59358e-29
0.439798, 0, 9.42325e-08, 1.19397e-28, 1.41421, -9.42325e-08, 1.19397e-28, 0, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 1.19397e-28, 9.42325e-08, 1.19397e-28, 1.19397e-28
0.447705, 0, 1.32971e-07, 5.27682e-28, 1.41421, -1.32971e-07, 5.27682e-28, 0, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 5.27682e-28, 1.32971e-07, 5.27682e-28, 5.27682e-28
0.455612, 0, 1.86378e-07, 2.22537e-27, 1.41421, -1.86378e-07, 2.22537e-27, 0, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 2.22537e-27, 1.86378e-07, 2.22537e-27, 2.22537e-27
0.463519, 0, 2.59506e-07, 8.95348e-27, 1.41421, -2.59506e-07, 8.95348e-27, 0, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 8.95348e-27, 2.59506e-07, 8.95348e-27, 8.95348e-27
0.471425, 0, 3.58962e-07, 3.43943e-26, 1.41421, -3.58962e-07, 3.43943e-26, 0, 3.43943e-26, 3.43943e-26, 3.43943e-26, 1.07311e-12, 3.43943e-26, 3.43943e-26, 3.43943e-26, 3.43943e-26, 3.43943e-26, 3.43943e-26, 3.58961e-07, 3.43943e-26, 3.43943e-26
0.479332, 0, 4.9332e-07, 1.26359e-25, 1.41421, -4.9332e-07, 1.26359e-25, 0, 1.26359e-25, 1.26359e-25, 1.26359e-25, 3.60674e-12, 1.26359e-25, 1.26359e-25, 1.26359e-25, 1.26359e-25, 1.26359e-25, 1.26359e-25, 4.93317e-07, 1.26359e-25, 1.26359e-25
0.487239, 0, 6.73628e-07, 4.47288e-25, 1.41421, -6.73628e-07, 4.47288e-25, 0, 4.47288e-25, 4.47288e-25, 4.47288e-25, 9.40666e-12, 4.47288e-25, 4.47288e-25, 4.47288e-25, 4.47288e-25, 4.47288e-25, 4.47288e-25, 6.73619e-07, 4.47288e-25, 4.47288e-25
0.495146, 0, 9.16927e-07, 1.92728e-10, 1.41421, -9.16927e-07, 2.49073e-10, 1.92728e-10, 1.11552e-09, 2.18797e-10, 2.11683e-10, 2.65359e-10, 5.44017e-10, 1.97621e-10, 1.3352e-09, 1.97076e-10, 1.92728e-10, 1.9273e-10, 9.14328e-07, 1.92728e-10, 1.92728e-10
0.503052, 0, 1.24217e-06, 6.43734e-10, 1.41421, -1.24217e-06, 8.32104e-10, 6.43734e-10, 3.72879e-09, 7.30887e-10, 7.07104e-10, 8.6235e-10, 1.81816e-09, 6.60089e-10, 4.46323e-09, 6.5827e-10, 6.43734e-10, 6.43738e-10, 1.2335e-06, 6.43734e-10, 6.43734e-10
0.510959, 0, 1.67711e-06, 1.6703e-09, 1.41421, -1.67711e-06, 2.15928e-09, 1.6703e-09, 9.67866e-09, 1.89654e-09, 1.8348e-09, 2.21705e-09, 4.71894e-09, 1.71276e-09, 1.15852e-08, 1.70803e-09, 1.6703e-09, 1.67031e-09, 1.65463e-06, 1.6703e-09, 1.6703e-09
0.518866, 0, 2.26043e-06, 3.95077e-09, 1.41421, -2.26043e-06, 5.10709e-09, 3.95077e-09, 2.28886e-08, 4.48576e-09, 4.33977e-09, 5.21742e-09, 1.11601e-08, 4.05117e-09, 2.7397e-08, 4.04e-09, 3.95077e-09, 3.9508e-09, 2.2073e-06, 3.95077e-09, 3.95077e-09
0.526773, 0, 3.0492e-06, 8.89662e-09, 1.41421, -3.0492e-06, 1.14994e-08, 8.89662e-09, 5.15245e-08, 1.01009e-08, 9.77224e-09, 1.17053e-08, 2.51243e-08, 9.12261e-09, 6.16727e-08, 9.09747e-09, 8.89662e-09, 8.89668e-09, 2.92965e-06, 8.89662e-09, 8.89662e-09
0.534679, 0, 4.13342e-06, 1.9474e-08, 1.41421, -4.13342e-06, 2.51675e-08, 1.9474e-08, 1.12719e-07, 2.21082e-08, 2.13894e-08, 2.61224e-08, 5.49709e-08, 1.99684e-08, 1.34918e-07, 1.99134e-08, 1.9474e-08, 1.94742e-08, 3.87141e-06, 1.9474e-08, 1.9474e-08
0.542586, 0, 5.65552e-06, 4.11758e-08, 1.41421, -5.65552e-06, 5.32107e-08, 4.11758e-08, 2.38278e-07, 4.67439e-08, 4.52245e-08, 5.97782e-08, 1.16209e-07, 4.22208e-08, 2.85201e-07, 4.21045e-08, 4.11758e-08, 4.11761e-08, 5.09713e-06, 4.11758e-08, 4.11758e-08
0.550493, 0, 7.85502e-06, 8.50968e-08, 1.41421, -7.85502e-06, 1.09963e-07, 8.50968e-08, 4.92339e-07, 9.66014e-08, 9.3462e-08, 1.296e-07, 2.40127e-07, 8.72558e-08, 5.89288e-07, 8.70156e-08, 8.50968e-08, 8.50974e-08, 6.69524e-06, 8.50968e-08, 8.50968e-08
0.5584, 0, 1.11418e-05, 1.72008e-07, 1.41421, -1.11418e-05, 2.22257e-07, 1.72008e-07, 9.94971e-07, 1.95256e-07, 1.88912e-07, 2.71576e-07, 4.85295e-07, 1.76371e-07, 1.19089e-06, 1.75885e-07, 1.72008e-07, 1.72009e-07, 8.78846e-06, 1.72008e-07, 1.72008e-07
0.566306, 0, 1.62236e-05, 3.40179e-07, 1.41421, -1.62236e-05, 4.39533e-07, 3.40179e-07, 1.96735e-06, 3.86147e-07, 3.73603e-07, 5.54235e-07, 9.59615e-07, 3.48806e-07, 2.35472e-06, 3.47846e-07, 3.40179e-07, 3.40182e-07, 1.15533e-05, 3.40179e-07, 3.40179e-07
0.574213, 0, 2.43239e-05, 6.58418e-07, 1.41421, -2.43239e-05, 8.50667e-07, 6.58418e-07, 3.807e-06, 7.47366e-07, 7.23094e-07, 1.10741e-06, 1.85703e-06, 6.75111e-07, 4.55656e-06, 6.73254e-07, 6.58418e-07, 6.58423e-07, 1.52521e-05, 6.58418e-07, 6.58418e-07
0.58212, 0, 3.75342e-05, 1.24743e-06, 1.41421, -3.75342e-05, 1.61155e-06, 1.24743e-06, 7.21098e-06, 1.4159e-06, 1.36992e-06, 2.16565e-06, 3.51765e-06, 1.27904e-06, 8.63068e-06, 1.27552e-06, 1.24743e-06, 1.24743e-06, 2.02841e-05, 1.24743e-06, 1.24743e-06
0.590027, 0, 5.93972e-05, 2.31375e-06, 1.41421, -5.93972e-05, 2.98894e-06, 2.31375e-06, 1.33717e-05, 2.62614e-06, 2.54089e-06, 4.16084e-06, 6.5233e-06, 2.37238e-06, 1.60041e-05, 2.36585e-06, 2.31375e-06, 2.31377e-06, 2.72668e-05, 2.31375e-06, 2.31375e-06
0.597933, 0, 9.5799e-05, 4.20222e-06, 1.41421, -9.5799e-05, 5.42807e-06, 4.20222e-06, 2.42786e-05, 4.76938e-06, 4.61462e-06, 7.85637e-06, 1.1845e-05, 4.30866e-06, 2.90581e-05, 4.29682e-06, 4.20222e-06, 4.20225e-06, 3.71633e-05, 4.20222e-06, 4.20222e-06
0.60584, 0, 0.000156341, 7.47432e-06, 1.41421, -0.000156341, 9.65385e-06, 7.47432e-06, 4.31698e-05, 8.48272e-06, 8.20755e-06, 1.45824e-05, 2.10629e-05, 7.66356e-06, 5.16676e-05, 7.64251e-06, 7.47432e-06, 7.47437e-06, 5.14773e-05, 7.47432e-06, 7.47432e-06
0.613747, 0, 0.000256352, 1.30215e-05, 1.41421, -0.000256352, 1.6817e-05, 1.30215e-05, 7.51823e-05, 1.47775e-05, 1.42984e-05, 2.66139e-05, 3.6685e-05, 1.33511e-05, 8.99805e-05, 1.33144e-05, 1.30215e-05, 1.30216e-05, 7.25251e-05, 1.30215e-05, 1.30215e-05
0.621654, 0, 0.000419789, 2.22237e-05, 1.41421, -0.000419789, 2.86984e-05, 2.22237e-05, 0.000128262, 2.52193e-05, 2.44019e-05, 4.77688e-05, 6.25908e-05, 2.27859e-05, 0.000153506, 2.27234e-05, 2.22237e-05, 2.22239e-05, 0.000103845, 2.22237e-05, 2.22237e-05
0.62956, 0, 0.000683273, 3.71633e-05, 1.41421, -0.000683273, 4.79845e-05, 3.71633e-05, 0.000214389, 4.21699e-05, 4.08037e-05, 8.43355e-05, 0.00010463, 3.81028e-05, 0.000256581, 3.79983e-05, 3.71633e-05, 3.71635e-05, 0.000150747, 3.71633e-05, 3.71633e-05
0.637467, 0, 0.00110151, 6.09009e-05, 1.41421, -0.00110151, 7.86234e-05, 6.09009e-05, 0.000351154, 6.91006e-05, 6.6863e-05, 0.000146472, 0.000171395, 6.24397e-05, 0.000420252, 6.22686e-05, 6.09009e-05, 6.09013e-05, 0.000221052, 6.09009e-05, 6.09009e-05
0.645374, 0, 0.00175438, 9.78192e-05, 1.41421, -0.00175438, 0.000126266, 9.78192e-05, 0.000563708, 0.000110981, 0.000107389, 0.000250271, 0.000275175, 0.000100289, 0.00067462, 0.000100014, 9.78192e-05, 9.78198e-05, 0.000326037, 9.78192e-05, 9.78192e-05
0.653281, 0, 0.00275581, 0.000154028, 1.41421, -0.00275581, 0.000198787, 0.000154028, 0.000887068, 0.000174736, 0.000169085, 0.00042072, 0.000433083, 0.000157914, 0.00106158, 0.000157482, 0.000154028, 0.000154029, 0.000481604, 0.000154028, 0.000154028
0.661187, 0, 0.00426451, 0.000237811, 1.41421, -0.00426451, 0.000306857, 0.000237811, 0.00136862, 0.000269756, 0.000261039, 0.000695818, 0.000668287, 0.000243806, 0.00163782, 0.00024314, 0.000237811, 0.000237812, 0.000709662, 0.000237811, 0.000237811
0.669094, 0, 0.00649638, 0.000360088, 1.41421, -0.00649638, 0.000464535, 0.000360088, 0.00207069, 0.000408413, 0.000395226, 0.00113213, 0.00101128, 0.000369157, 0.00247792, 0.00036815, 0.000360088, 0.00036009, 0.00103967, 0.000360088, 0.000360088
0.677001, 0, 0.00973819, 0.000534843, 1.41421, -0.00973819, 0.000689812, 0.000534843, 0.00307287, 0.000606542, 0.000586977, 0.00181202, 0.00150102, 0.000548299, 0.00367708, 0.000546806, 0.000534843, 0.000534847, 0.00151036, 0.000534843, 0.000534843
0.684908, 0, 0.0143616, 0.000779443, 1.41421, -0.0143616, 0.00100501, 0.000779443, 0.00447368, 0.000883805, 0.000855327, 0.00285264, 0.00218576, 0.000799028, 0.00535314, 0.000796858, 0.000779443, 0.000779448, 0.00217135, 0.000779443, 0.000779443
0.692814, 0, 0.0208363, 0.00111477, 1.41421, -0.0208363, 0.00143693, 0.00111477, 0.00639105, 0.00126382, 0.00122315, 0.00441663, 0.00312333, 0.00114274, 0.00764714, 0.00113965, 0.00111477, 0.00111478, 0.00308482, 0.00111477, 0.00111477
0.700721, 0, 0.0297413, 0.00156509, 1.41421, -0.0297413, 0.0020167, 0.00156509, 0.00896133, 0.00177404, 0.00171702, 0.00672407, 0.00438066, 0.00160431, 0.0107221, 0.00159998, 0.00156509, 0.0015651, 0.00432695, 0.00156509, 0.00156509
0.708628, 0, 0.0417713, 0.0021576, 1.41421, -0.0417713, 0.00277909, 0.0021576, 0.0123361, 0.00244515, 0.00236668, 0.0100648, 0.00603228, 0.00221156, 0.0147592, 0.00220564, 0.0021576, 0.00215762, 0.00598929, 0.0021576, 0.0021576
0.716535, 0, 0.057737, 0.00292148, 1.41421, -0.057737, 0.00376134, 0.00292148, 0.0166764, 0.00331005, 0.00320402, 0.0148094, 0.00815757, 0.0029944, 0.0199509, 0.00298644, 0.00292148, 0.0029215, 0.00817985, 0.00292148, 0.00292148
0.724441, 2, 0.0785574, 0.00388661, 2, 1.92144, 0.00500143, 0.00388661, 0.0221448, 0.0044024, 0.00426165, 0.0214172, 0.0108369, 0.00398341, 0.0264914, 0.00397292, 0.00388661, 0.00388663, 0.0110247, 0.00388661, 0.00388661
0.732348, 0, 0.105241, 0.00508187, 1.41421, -0.105241, 0.00653587, 0.00508187, 0.0288951, 0.00575459, 0.00557102, 0.030438, 0.0141467, 0.00520811, 0.0345641, 0.00519461, 0.00508187, 0.0050819, 0.0146702, 0.00508187, 0.00508187
0.740255, 0, 0.138857, 0.00653304, 1.41421, -0.138857, 0.00839695, 0.00653304, 0.0370594, 0.00739541, 0.00716009, 0.0425041, 0.0181532, 0.00669488, 0.0443267, 0.00667787, 0.00653304, 0.00653308, 0.0192861, 0.00653304, 0.00653304
0.748162, 0, 0.180492, 0.00826069, 1.41421, -0.180492, 0.0106099, 0.00826069, 0.046736, 0.00934761, 0.00905101, 0.0583112, 0.0229064, 0.00846466, 0.0558956, 0.00844377, 0.00826069, 0.00826074, 0.0250715, 0.00826069, 0.00826069
0.756068, 0, 0.231196, 0.010278, 1.41421, -0.231196, 0.0131904, 0.010278, 0.0579763, 0.0116255, 0.0112578, 0.078583, 0.028434, 0.0105309, 0.0693315, 0.010506, 0.010278, 0.0102781, 0.0322632, 0.010278, 0.010278
0.763975, 6, 0.291926, 0.0125891, 2.82843, 5.70807, 0.0161417, 0.0125891, 0.0707738, 0.0142328, 0.0137842, 0.104019, 0.0347359, 0.0128975, 0.0846254, 0.0128688, 0.0125891, 0.0125891, 0.0411475, 0.0125891, 0.0125891
0.771882, 0, 0.363468, 0.0151872, 1.41421, -0.363468, 0.0194533, 0.0151872, 0.0850568, 0.017161, 0.0166224, 0.135229, 0.0417807, 0.0155576, 0.10169, 0.0155259, 0.0151872, 0.0151873, 0.0520757, 0.0151872, 0.0151872
0.779789, 0, 0.446379, 0.0180547, 1.41421, -0.446379, 0.0231, 0.0180547, 0.100686, 0.020389, 0.019752, 0.172649, 0.0495039, 0.0184927, 0.120357, 0.0184601, 0.0180547, 0.0180548, 0.0654818, 0.0180547, 0.0180547
