   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_176.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0316446, 352, 0, 0, 18.8149, 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0237585, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0158724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00798629, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000100183, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00778592, 0, 2.22254e-23, 0, 1.41421, -2.22254e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.46872e-29, 0, 1.28063e-27, 0, 2.22241e-23, 0, 0, 0
0.015672, 0, 5.75439e-23, 0, 1.41421, -5.75439e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69814e-28, 0, 3.39844e-27, 0, 5.75403e-23, 0, 0, 0
0.0235581, 0, 1.45814e-22, 0, 1.41421, -1.45814e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36326e-28, 0, 8.8118e-27, 0, 1.45805e-22, 0, 0, 0
0.0314443, 0, 3.62186e-22, 0, 1.41421, -3.62186e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09906e-27, 0, 2.23666e-26, 0, 3.62163e-22, 0, 0, 0
0.0393304, 0, 8.83037e-22, 0, 1.41421, -8.83037e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71762e-27, 0, 5.56646e-26, 0, 8.82978e-22, 0, 0, 0
0.0472165, 0, 2.11559e-21, 0, 1.41421, -2.11559e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60405e-27, 0, 1.36014e-25, 0, 2.11545e-21, 0, 0, 0
0.0551026, 0, 4.98557e-21, 0, 1.41421, -4.98557e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57875e-26, 0, 3.26669e-25, 0, 4.98522e-21, 0, 0, 0
