   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_308.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0300879, 616, 0, 0, 24.8596, 616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0222072, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143265, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0064458, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00143489, 0, 5.96687e-24, 0, 1.41421, -5.96687e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43685e-29, 0, 5.9668e-24, 0, 0, 0
0.00931558, 0, 1.72026e-23, 0, 1.41421, -1.72026e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17652e-28, 0, 1.72024e-23, 0, 0, 0
0.0171963, 0, 4.79971e-23, 0, 1.41421, -4.79971e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16547e-28, 0, 4.79965e-23, 0, 0, 0
0.0250769, 0, 1.47532e-22, 0, 1.41421, -1.47532e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95245e-27, 0, 1.4753e-22, 0, 0, 0
0.0329576, 0, 3.85446e-22, 0, 1.41421, -3.85446e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18267e-27, 0, 3.85441e-22, 0, 0, 0
0.0408383, 0, 9.84425e-22, 0, 1.41421, -9.84425e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34451e-26, 0, 9.84411e-22, 0, 0, 0
0.048719, 0, 2.46224e-21, 0, 1.41421, -2.46224e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4153e-26, 0, 2.4622e-21, 0, 0, 0
0.0565997, 0, 6.04013e-21, 0, 1.41421, -6.04013e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50782e-26, 0, 6.04005e-21, 0, 0, 0
0.0644804, 0, 1.45502e-20, 0, 1.41421, -1.45502e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08109e-25, 0, 1.455e-20, 0, 0, 0
0.0723611, 0, 3.44551e-20, 0, 1.41421, -3.44551e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00403e-25, 0, 3.44546e-20, 0, 0, 0
0.0802418, 0, 8.02768e-20, 0, 1.41421, -8.02768e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18388e-24, 0, 8.02756e-20, 0, 0, 0
0.0881224, 0, 1.84172e-19, 0, 1.41421, -1.84172e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75815e-24, 0, 1.84169e-19, 0, 0, 0
0.0960031, 0, 4.16342e-19, 0, 1.41421, -4.16342e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33224e-24, 0, 4.16336e-19, 0, 0, 0
0.103884, 0, 9.27979e-19, 0, 1.41421, -9.27979e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43352e-23, 0, 9.27965e-19, 0, 0, 0
0.111765, 0, 2.04045e-18, 0, 1.41421, -2.04045e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20189e-23, 0, 2.04042e-18, 0, 0, 0
0.119645, 0, 4.42819e-18, 0, 1.41421, -4.42819e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05976e-23, 0, 4.42812e-18, 0, 0, 0
0.127526, 0, 9.48924e-18, 0, 1.41421, -9.48924e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5373e-22, 0, 9.48908e-18, 0, 0, 0
0.135407, 0, 2.0087e-17, 0, 1.41421, -2.0087e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30744e-22, 0, 2.00867e-17, 0, 0, 0
0.143287, 0, 4.2018e-17, 0, 1.41421, -4.2018e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03331e-22, 0, 4.20173e-17, 0, 0, 0
0.151168, 0, 8.68828e-17, 0, 1.41421, -8.68828e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4788e-21, 0, 8.68813e-17, 0, 0, 0
0.159049, 0, 1.77641e-16, 0, 1.41421, -1.77641e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07528e-21, 0, 1.77638e-16, 0, 0, 0
0.166929, 0, 3.59233e-16, 0, 1.41421, -3.59233e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32713e-21, 0, 3.59227e-16, 0, 0, 0
0.17481, 0, 7.18695e-16, 0, 1.41421, -7.18695e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28822e-20, 0, 7.18682e-16, 0, 0, 0
0.182691, 0, 1.42279e-15, 0, 1.41421, -1.42279e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59618e-20, 0, 1.42276e-15, 0, 0, 0
0.190571, 0, 2.78775e-15, 0, 1.41421, -2.78775e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18011e-20, 0, 2.7877e-15, 0, 0, 0
0.198452, 0, 5.40708e-15, 0, 1.41421, -5.40708e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02349e-19, 0, 5.40698e-15, 0, 0, 0
