   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_218.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313487, 436, 0, 0, 20.9284, 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234641, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155795, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0076949, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000189685, 0, 4.27561e-22, 0, 1.41421, -4.27561e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.23639e-25, 0, 0, 6.94468e-27, 0, 7.68244e-27, 0, 4.26723e-22, 0, 0, 0
0.00807427, 0, 1.04195e-21, 0, 1.41421, -1.04195e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00717e-24, 0, 0, 1.7176e-26, 0, 1.91263e-26, 0, 1.03991e-21, 0, 0, 0
0.0159589, 0, 2.49373e-21, 0, 1.41421, -2.49373e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80382e-24, 0, 0, 4.17223e-26, 0, 4.67155e-26, 0, 2.48884e-21, 0, 0, 0
0.0238434, 0, 5.86801e-21, 0, 1.41421, -5.86801e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13039e-23, 0, 0, 9.96512e-26, 0, 1.12088e-25, 0, 5.8565e-21, 0, 0, 0
0.031728, 0, 1.35891e-20, 0, 1.41421, -1.35891e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61775e-23, 0, 0, 2.34255e-25, 0, 2.64495e-25, 0, 1.35624e-20, 0, 0, 0
0.0396126, 0, 3.09966e-20, 0, 1.41421, -3.09966e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97106e-23, 0, 0, 5.42446e-25, 0, 6.14404e-25, 0, 3.09357e-20, 0, 0, 0
0.0474972, 0, 6.96912e-20, 0, 1.41421, -6.96912e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3425e-22, 0, 0, 1.23826e-24, 0, 1.40616e-24, 0, 6.95543e-20, 0, 0, 0
0.0553818, 0, 1.54547e-19, 0, 1.41421, -1.54547e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97713e-22, 0, 0, 2.78827e-24, 0, 3.17311e-24, 0, 1.54244e-19, 0, 0, 0
0.0632664, 0, 3.38232e-19, 0, 1.41421, -3.38232e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51554e-22, 0, 0, 6.19704e-24, 0, 7.06459e-24, 0, 3.37567e-19, 0, 0, 0
0.071151, 0, 7.30896e-19, 0, 1.41421, -7.30896e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40796e-21, 0, 0, 1.36014e-23, 0, 1.55273e-23, 0, 7.29459e-19, 0, 0, 0
0.0790356, 0, 1.56021e-18, 0, 1.41421, -1.56021e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00551e-21, 0, 0, 2.94938e-23, 0, 3.37084e-23, 0, 1.55714e-18, 0, 0, 0
0.0869202, 0, 3.29133e-18, 0, 1.41421, -3.29133e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34026e-21, 0, 0, 6.32143e-23, 0, 7.23135e-23, 0, 3.28486e-18, 0, 0, 0
