   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_245.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0306639, 490, 0, 0, 22.1811, 490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0227814, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0148989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00701632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000866208, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00874874, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0166313, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0245138, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0323963, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0402789, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0481614, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0560439, 0, 6.82145e-29, 0, 1.41421, -6.82145e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02915e-31, 0, 0, 3.38673e-34, 0, 0, 6.80112e-29, 0, 0, 0
0.0639264, 0, 7.27126e-28, 0, 1.41421, -7.27126e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16296e-30, 0, 0, 3.61005e-33, 0, 0, 7.24959e-28, 0, 0, 0
0.071809, 0, 4.85891e-27, 0, 1.41421, -4.85891e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44536e-29, 0, 0, 2.41236e-32, 0, 0, 4.84443e-27, 0, 0, 0
0.0796915, 0, 2.59332e-26, 0, 1.41421, -2.59332e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71427e-29, 0, 0, 1.2898e-31, 0, 0, 2.58559e-26, 0, 0, 0
0.087574, 0, 1.20503e-25, 0, 1.41421, -1.20503e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58456e-28, 0, 0, 6.02003e-31, 0, 0, 1.20144e-25, 0, 0, 0
0.0954566, 0, 5.08107e-25, 0, 1.41421, -5.08107e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51145e-27, 0, 0, 2.55491e-30, 0, 0, 5.06593e-25, 0, 0, 0
0.103339, 0, 1.98998e-24, 0, 1.41421, -1.98998e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91952e-27, 0, 0, 1.00844e-29, 0, 0, 1.98405e-24, 0, 0, 0
