   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299219, 538, 0, 0, 23.2379, 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0220404, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0141588, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00627731, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00160422, 0, 6.1455e-26, 0, 1.41421, -6.1455e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6825e-28, 0, 0, 3.45681e-31, 0, 6.11864e-26, 0, 0, 0
0.00948574, 0, 2.15456e-25, 0, 1.41421, -2.15456e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40458e-28, 0, 0, 1.22581e-30, 0, 2.14514e-25, 0, 0, 0
0.0173673, 0, 7.14663e-25, 0, 1.41421, -7.14663e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11949e-27, 0, 0, 4.11645e-30, 0, 7.11539e-25, 0, 0, 0
0.0252488, 0, 2.26454e-24, 0, 1.41421, -2.26454e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88467e-27, 0, 0, 1.32122e-29, 0, 2.25464e-24, 0, 0, 0
0.0331303, 0, 6.90142e-24, 0, 1.41421, -6.90142e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01245e-26, 0, 0, 4.07969e-29, 0, 6.87126e-24, 0, 0, 0
0.0410118, 0, 2.03299e-23, 0, 1.41421, -2.03299e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87397e-26, 0, 0, 1.21783e-28, 0, 2.02411e-23, 0, 0, 0
0.0488934, 0, 5.81055e-23, 0, 1.41421, -5.81055e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53629e-25, 0, 0, 3.52759e-28, 0, 5.78515e-23, 0, 0, 0
0.0567749, 0, 1.61609e-22, 0, 1.41421, -1.61609e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05418e-25, 0, 0, 9.9445e-28, 0, 1.60902e-22, 0, 0, 0
0.0646564, 0, 4.3844e-22, 0, 1.41421, -4.3844e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91378e-24, 0, 0, 2.73483e-27, 0, 4.36523e-22, 0, 0, 0
