   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_279.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.173629, 0, 2.05957e-16, 0, 1.41421, -2.05957e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10294e-18, 0, 0, 9.40121e-21, 0, 0, 2.04844e-16, 0, 0, 0
0.181511, 0, 4.06548e-16, 0, 1.41421, -4.06548e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17715e-18, 0, 0, 1.88813e-20, 0, 0, 4.04352e-16, 0, 0, 0
0.189393, 0, 7.94302e-16, 0, 1.41421, -7.94302e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25365e-18, 0, 0, 3.75466e-20, 0, 0, 7.90011e-16, 0, 0, 0
0.197276, 0, 1.53629e-15, 0, 1.41421, -1.53629e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22714e-18, 0, 0, 7.39401e-20, 0, 0, 1.52799e-15, 0, 0, 0
0.205158, 0, 2.94202e-15, 0, 1.41421, -2.94202e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5755e-17, 0, 0, 1.44224e-19, 0, 0, 2.92612e-15, 0, 0, 0
0.213041, 0, 5.57906e-15, 0, 1.41421, -5.57906e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98767e-17, 0, 0, 2.78679e-19, 0, 0, 5.5489e-15, 0, 0, 0
0.220923, 0, 1.04779e-14, 0, 1.41421, -1.04779e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61107e-17, 0, 0, 5.33521e-19, 0, 0, 1.04213e-14, 0, 0, 0
0.228805, 0, 1.94914e-14, 0, 1.41421, -1.94914e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04379e-16, 0, 0, 1.01219e-18, 0, 0, 1.9386e-14, 0, 0, 0
0.236688, 0, 3.59178e-14, 0, 1.41421, -3.59178e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92343e-16, 0, 0, 1.90324e-18, 0, 0, 3.57236e-14, 0, 0, 0
0.24457, 0, 6.55721e-14, 0, 1.41421, -6.55721e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51144e-16, 0, 0, 3.54741e-18, 0, 0, 6.52175e-14, 0, 0, 0
