   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_34.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0333706, 68, 0, 0, 8.3666, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0254628, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175551, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00964727, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00173948, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00616831, 0, 1.69248e-20, 0, 1.41421, -1.69248e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98831e-24, 0, 0, 3.65985e-25, 0, 1.69155e-20, 0, 0, 0
0.0140761, 0, 3.72267e-20, 0, 1.41421, -3.72267e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.977e-23, 0, 0, 8.18963e-25, 0, 3.72061e-20, 0, 0, 0
0.0219839, 0, 8.07893e-20, 0, 1.41421, -8.07893e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29049e-23, 0, 0, 1.80806e-24, 0, 8.07446e-20, 0, 0, 0
0.0298917, 0, 1.73091e-19, 0, 1.41421, -1.73091e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19239e-23, 0, 0, 3.9407e-24, 0, 1.72996e-19, 0, 0, 0
0.0377995, 0, 3.66305e-19, 0, 1.41421, -3.66305e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94534e-22, 0, 0, 8.48352e-24, 0, 3.66102e-19, 0, 0, 0
