   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.173518, 0, 1.43098e-15, 0, 1.41421, -1.43098e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60924e-17, 0, 2.51814e-20, 1.40217e-19, 0, 1.41472e-15, 0, 0, 0
0.181404, 0, 2.77907e-15, 0, 1.41421, -2.77907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12524e-17, 0, 4.97807e-20, 2.77376e-19, 0, 2.74749e-15, 0, 0, 0
0.189291, 0, 5.34475e-15, 0, 1.41421, -5.34475e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0105e-17, 0, 9.74889e-20, 5.4363e-19, 0, 5.28401e-15, 0, 0, 0
0.197177, 0, 1.01807e-14, 0, 1.41421, -1.01807e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14488e-16, 0, 1.8916e-19, 1.0558e-18, 0, 1.0065e-14, 0, 0, 0
0.205063, 0, 1.92092e-14, 0, 1.41421, -1.92092e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16017e-16, 0, 3.63699e-19, 2.03229e-18, 0, 1.89908e-14, 0, 0, 0
0.21295, 0, 3.5906e-14, 0, 1.41421, -3.5906e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03779e-16, 0, 6.93059e-19, 3.87779e-18, 0, 3.54977e-14, 0, 0, 0
0.220836, 0, 6.64963e-14, 0, 1.41421, -6.64963e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47778e-16, 0, 1.30909e-18, 7.33578e-18, 0, 6.57399e-14, 0, 0, 0
0.228722, 0, 1.22024e-13, 0, 1.41421, -1.22024e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3722e-15, 0, 2.4513e-18, 1.37607e-17, 0, 1.20635e-13, 0, 0, 0
0.236608, 0, 2.21894e-13, 0, 1.41421, -2.21894e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49527e-15, 0, 4.55104e-18, 2.55992e-17, 0, 2.19369e-13, 0, 0, 0
0.244495, 0, 3.99888e-13, 0, 1.41421, -3.99888e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49687e-15, 0, 8.3786e-18, 4.72356e-17, 0, 3.95335e-13, 0, 0, 0
0.252381, 0, 7.14261e-13, 0, 1.41421, -7.14261e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03211e-15, 0, 1.52983e-17, 8.64634e-17, 0, 7.06127e-13, 0, 0, 0
0.260267, 0, 1.26454e-12, 0, 1.41421, -1.26454e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42203e-14, 0, 2.77072e-17, 1.57035e-16, 0, 1.25013e-12, 0, 0, 0
0.268154, 0, 2.21918e-12, 0, 1.41421, -2.21918e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49559e-14, 0, 4.97841e-17, 2.83021e-16, 0, 2.19389e-12, 0, 0, 0
0.27604, 0, 3.86072e-12, 0, 1.41421, -3.86072e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34166e-14, 0, 8.87604e-17, 5.06252e-16, 0, 3.8167e-12, 0, 0, 0
0.283926, 0, 6.65856e-12, 0, 1.41421, -6.65856e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48827e-14, 0, 1.57059e-16, 8.98897e-16, 0, 6.58262e-12, 0, 0, 0
0.291812, 0, 1.13856e-11, 0, 1.41421, -1.13856e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28049e-13, 0, 2.75882e-16, 1.58463e-15, 0, 1.12557e-11, 0, 0, 0
0.299699, 0, 1.93029e-11, 0, 1.41421, -1.93029e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17105e-13, 0, 4.81192e-16, 2.77401e-15, 0, 1.90825e-11, 0, 0, 0
0.307585, 0, 3.24485e-11, 0, 1.41421, -3.24485e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64988e-13, 0, 8.3362e-16, 4.82324e-15, 0, 3.20778e-11, 0, 0, 0
0.315471, 0, 5.40877e-11, 0, 1.41421, -5.40877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0846e-13, 0, 1.43488e-15, 8.33157e-15, 0, 5.34694e-11, 0, 0, 0
