   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_42.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0351004, 84, 0, 0, 9.27362, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0271932, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.019286, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0113788, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00347166, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00443552, 0, 4.7352e-20, 0, 1.41421, -4.7352e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64692e-22, 0, 0, 2.23176e-24, 0, 1.93293e-23, 0, 4.71658e-20, 0, 0, 0
0.0123427, 0, 9.94846e-20, 0, 1.41421, -9.94846e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46008e-22, 0, 0, 4.76232e-24, 0, 4.13537e-23, 0, 9.90925e-20, 0, 0, 0
0.0202499, 0, 2.06644e-19, 0, 1.41421, -2.06644e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18702e-22, 0, 0, 1.00481e-23, 0, 8.74602e-23, 0, 2.05827e-19, 0, 0, 0
0.0281571, 0, 4.24532e-19, 0, 1.41421, -4.24532e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4765e-21, 0, 0, 2.09713e-23, 0, 1.82938e-22, 0, 4.22852e-19, 0, 0, 0
0.0360643, 0, 8.63005e-19, 0, 1.41421, -8.63005e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00146e-21, 0, 0, 4.33203e-23, 0, 3.78693e-22, 0, 8.59581e-19, 0, 0, 0
