   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_306.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0300711, 612, 0, 0, 24.779, 612, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0221905, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143099, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00642933, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00145127, 0, 1.00139e-23, 0, 1.41421, -1.00139e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01515e-28, 0, 1.34087e-27, 0, 1.00124e-23, 0, 0, 0
0.00933186, 0, 2.78484e-23, 0, 1.41421, -2.78484e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68569e-28, 0, 3.83607e-27, 0, 2.7844e-23, 0, 0, 0
0.0172125, 0, 7.52036e-23, 0, 1.41421, -7.52036e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55741e-27, 0, 1.06261e-26, 0, 7.51914e-23, 0, 0, 0
0.0250931, 0, 1.97839e-22, 0, 1.41421, -1.97839e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15529e-27, 0, 2.86121e-26, 0, 1.97806e-22, 0, 0, 0
0.0329736, 0, 5.08285e-22, 0, 1.41421, -5.08285e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08267e-26, 0, 7.51133e-26, 0, 5.08199e-22, 0, 0, 0
0.0408542, 0, 1.2779e-21, 0, 1.41421, -1.2779e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76047e-26, 0, 1.92714e-25, 0, 1.27768e-21, 0, 0, 0
0.0487348, 0, 3.14918e-21, 0, 1.41421, -3.14918e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89926e-26, 0, 4.84144e-25, 0, 3.14863e-21, 0, 0, 0
0.0566154, 0, 7.61744e-21, 0, 1.41421, -7.61744e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69265e-25, 0, 1.19286e-24, 0, 7.61608e-21, 0, 0, 0
0.064496, 0, 1.81069e-20, 0, 1.41421, -1.81069e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0813e-25, 0, 2.88626e-24, 0, 1.81036e-20, 0, 0, 0
0.0723766, 0, 4.23382e-20, 0, 1.41421, -4.23382e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68148e-25, 0, 6.86606e-24, 0, 4.23303e-20, 0, 0, 0
0.0802572, 0, 9.74658e-20, 0, 1.41421, -9.74658e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26142e-24, 0, 1.60741e-23, 0, 9.74475e-20, 0, 0, 0
0.0881378, 0, 2.21073e-19, 0, 1.41421, -2.21073e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20539e-24, 0, 3.70654e-23, 0, 2.2103e-19, 0, 0, 0
0.0960184, 0, 4.94383e-19, 0, 1.41421, -4.94383e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18154e-23, 0, 8.4246e-23, 0, 4.94287e-19, 0, 0, 0
0.103899, 0, 1.09066e-18, 0, 1.41421, -1.09066e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64624e-23, 0, 1.88866e-22, 0, 1.09045e-18, 0, 0, 0
0.11178, 0, 2.37487e-18, 0, 1.41421, -2.37487e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85087e-23, 0, 4.17865e-22, 0, 2.37439e-18, 0, 0, 0
0.11966, 0, 5.10631e-18, 0, 1.41421, -5.10631e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27769e-22, 0, 9.12888e-22, 0, 5.10527e-18, 0, 0, 0
0.127541, 0, 1.0846e-17, 0, 1.41421, -1.0846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75695e-22, 0, 1.97015e-21, 0, 1.08438e-17, 0, 0, 0
0.135421, 0, 2.27659e-17, 0, 1.41421, -2.27659e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88017e-22, 0, 4.20206e-21, 0, 2.27611e-17, 0, 0, 0
0.143302, 0, 4.72376e-17, 0, 1.41421, -4.72376e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24009e-21, 0, 8.86067e-21, 0, 4.72275e-17, 0, 0, 0
0.151183, 0, 9.6919e-17, 0, 1.41421, -9.6919e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58675e-21, 0, 1.84783e-20, 0, 9.68979e-17, 0, 0, 0
0.159063, 0, 1.9668e-16, 0, 1.41421, -1.9668e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33838e-21, 0, 3.81227e-20, 0, 1.96637e-16, 0, 0, 0
0.166944, 0, 3.94861e-16, 0, 1.41421, -3.94861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09026e-20, 0, 7.78316e-20, 0, 3.94773e-16, 0, 0, 0
0.174824, 0, 7.84434e-16, 0, 1.41421, -7.84434e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.204e-20, 0, 1.57287e-19, 0, 7.84255e-16, 0, 0, 0
0.182705, 0, 1.54233e-15, 0, 1.41421, -1.54233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4111e-20, 0, 3.14703e-19, 0, 1.54198e-15, 0, 0, 0
0.190586, 0, 3.00185e-15, 0, 1.41421, -3.00185e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74219e-20, 0, 6.23562e-19, 0, 3.00114e-15, 0, 0, 0
0.198466, 0, 5.78441e-15, 0, 1.41421, -5.78441e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71596e-19, 0, 1.22383e-18, 0, 5.78302e-15, 0, 0, 0
0.206347, 0, 1.10371e-14, 0, 1.41421, -1.10371e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33641e-19, 0, 2.37966e-18, 0, 1.10344e-14, 0, 0, 0
0.214227, 0, 2.08561e-14, 0, 1.41421, -2.08561e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42689e-19, 0, 4.58501e-18, 0, 2.08509e-14, 0, 0, 0
0.222108, 0, 3.90346e-14, 0, 1.41421, -3.90346e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22669e-18, 0, 8.75542e-18, 0, 3.90246e-14, 0, 0, 0
0.229989, 0, 7.23693e-14, 0, 1.41421, -7.23693e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32042e-18, 0, 1.6573e-17, 0, 7.23504e-14, 0, 0, 0
0.237869, 0, 1.32921e-13, 0, 1.41421, -1.32921e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35067e-18, 0, 3.11017e-17, 0, 1.32886e-13, 0, 0, 0
0.24575, 0, 2.41887e-13, 0, 1.41421, -2.41887e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08661e-18, 0, 5.78755e-17, 0, 2.41821e-13, 0, 0, 0
0.25363, 0, 4.36976e-13, 0, 1.41421, -4.36976e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49535e-17, 0, 1.0719e-16, 0, 4.36854e-13, 0, 0, 0
0.261511, 0, 7.80598e-13, 0, 1.41421, -7.80598e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73186e-17, 0, 1.9615e-16, 0, 7.80374e-13, 0, 0, 0
0.269391, 0, 1.38198e-12, 0, 1.41421, -1.38198e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9503e-17, 0, 3.56111e-16, 0, 1.38157e-12, 0, 0, 0
0.277272, 0, 2.42499e-12, 0, 1.41421, -2.42499e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89894e-17, 0, 6.4153e-16, 0, 2.42426e-12, 0, 0, 0
0.285153, 0, 4.21772e-12, 0, 1.41421, -4.21772e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58732e-16, 0, 1.14697e-15, 0, 4.21641e-12, 0, 0, 0
0.293033, 0, 7.27169e-12, 0, 1.41421, -7.27169e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81006e-16, 0, 2.03553e-15, 0, 7.26938e-12, 0, 0, 0
0.300914, 0, 1.24281e-11, 0, 1.41421, -1.24281e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9386e-16, 0, 3.58654e-15, 0, 1.24241e-11, 0, 0, 0
0.308794, 0, 2.10578e-11, 0, 1.41421, -2.10578e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61886e-16, 0, 6.27535e-15, 0, 2.10507e-11, 0, 0, 0
0.316675, 0, 3.53737e-11, 0, 1.41421, -3.53737e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49416e-15, 0, 1.09061e-14, 0, 3.53613e-11, 0, 0, 0
0.324556, 0, 5.89154e-11, 1.4013e-43, 1.41421, -5.89154e-11, 1.4013e-43, 0, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 2.57398e-15, 1.4013e-43, 1.88316e-14, 1.4013e-43, 5.8894e-11, 1.4013e-43, 1.4013e-43, 1.4013e-43
