   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_65.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.100431, 0, 1.52147e-17, 0, 1.41421, -1.52147e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27162e-19, 0, 0, 0, 1.50875e-17, 0, 0, 0
0.108329, 0, 3.02832e-17, 0, 1.41421, -3.02832e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53102e-19, 0, 0, 0, 3.00301e-17, 0, 0, 0
0.116227, 0, 5.96734e-17, 0, 1.41421, -5.96734e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98741e-19, 0, 0, 0, 5.91747e-17, 0, 0, 0
0.124125, 0, 1.16439e-16, 0, 1.41421, -1.16439e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73181e-19, 0, 0, 0, 1.15466e-16, 0, 0, 0
0.132024, 0, 2.25034e-16, 0, 1.41421, -2.25034e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8808e-18, 0, 0, 0, 2.23153e-16, 0, 0, 0
0.139922, 0, 4.30832e-16, 0, 1.41421, -4.30832e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60083e-18, 0, 0, 0, 4.27231e-16, 0, 0, 0
0.14782, 0, 8.17246e-16, 0, 1.41421, -8.17246e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8304e-18, 0, 0, 0, 8.10415e-16, 0, 0, 0
0.155718, 0, 1.53621e-15, 0, 1.41421, -1.53621e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28393e-17, 0, 0, 0, 1.52337e-15, 0, 0, 0
0.163616, 0, 2.86194e-15, 0, 1.41421, -2.86194e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39195e-17, 0, 0, 0, 2.83802e-15, 0, 0, 0
0.171514, 0, 5.28495e-15, 0, 1.41421, -5.28495e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41705e-17, 0, 0, 0, 5.24078e-15, 0, 0, 0
0.179412, 0, 9.67481e-15, 0, 1.41421, -9.67481e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.086e-17, 0, 0, 0, 9.59395e-15, 0, 0, 0
0.18731, 0, 1.75595e-14, 0, 1.41421, -1.75595e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46758e-16, 0, 0, 0, 1.74127e-14, 0, 0, 0
0.195208, 0, 3.16003e-14, 0, 1.41421, -3.16003e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64108e-16, 0, 0, 0, 3.13362e-14, 0, 0, 0
0.203106, 0, 5.63927e-14, 0, 1.41421, -5.63927e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71317e-16, 0, 0, 0, 5.59214e-14, 0, 0, 0
0.211004, 0, 9.98026e-14, 0, 1.41421, -9.98026e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34126e-16, 0, 0, 0, 9.89685e-14, 0, 0, 0
0.218902, 0, 1.75179e-13, 0, 1.41421, -1.75179e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46411e-15, 0, 0, 0, 1.73715e-13, 0, 0, 0
0.2268, 0, 3.04982e-13, 0, 1.41421, -3.04982e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54899e-15, 0, 0, 0, 3.02433e-13, 0, 0, 0
0.234699, 0, 5.26682e-13, 0, 1.41421, -5.26682e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40196e-15, 0, 0, 0, 5.22281e-13, 0, 0, 0
0.242597, 0, 9.0226e-13, 0, 1.41421, -9.0226e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54111e-15, 0, 0, 0, 8.94718e-13, 0, 0, 0
0.250495, 0, 1.53494e-12, 0, 1.41421, -1.53494e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28295e-14, 0, 0, 0, 1.52211e-12, 0, 0, 0
0.258393, 0, 2.58764e-12, 0, 1.41421, -2.58764e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1629e-14, 0, 0, 0, 2.56601e-12, 0, 0, 0
0.266291, 0, 4.32818e-12, 0, 1.41421, -4.32818e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6179e-14, 0, 0, 0, 4.292e-12, 0, 0, 0
0.274189, 0, 7.18316e-12, 0, 1.41421, -7.18316e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00475e-14, 0, 0, 0, 7.12311e-12, 0, 0, 0
