   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_228.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0662885, 0, 1.79079e-23, 0, 1.41421, -1.79079e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19691e-25, 0, 0, 0, 1.77883e-23, 0, 0, 0
0.0741785, 0, 5.55042e-23, 0, 1.41421, -5.55042e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70973e-25, 0, 0, 0, 5.51333e-23, 0, 0, 0
0.0820685, 0, 1.86687e-22, 0, 1.41421, -1.86687e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24776e-24, 0, 0, 0, 1.8544e-22, 0, 0, 0
0.0899585, 0, 5.3075e-22, 0, 1.41421, -5.3075e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54737e-24, 0, 0, 0, 5.27202e-22, 0, 0, 0
0.0978485, 0, 1.46927e-21, 0, 1.41421, -1.46927e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82015e-24, 0, 0, 0, 1.45945e-21, 0, 0, 0
0.105738, 0, 3.96919e-21, 0, 1.41421, -3.96919e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65288e-23, 0, 0, 0, 3.94266e-21, 0, 0, 0
0.113628, 0, 1.04826e-20, 0, 1.41421, -1.04826e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00625e-23, 0, 0, 0, 1.04125e-20, 0, 0, 0
0.121518, 0, 2.71057e-20, 0, 1.41421, -2.71057e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81166e-22, 0, 0, 0, 2.69245e-20, 0, 0, 0
0.129408, 0, 6.87122e-20, 0, 1.41421, -6.87122e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59251e-22, 0, 0, 0, 6.82529e-20, 0, 0, 0
0.137298, 0, 1.7095e-19, 0, 1.41421, -1.7095e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14258e-21, 0, 0, 0, 1.69807e-19, 0, 0, 0
0.145188, 0, 4.1781e-19, 0, 1.41421, -4.1781e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79252e-21, 0, 0, 0, 4.15018e-19, 0, 0, 0
0.153078, 0, 1.004e-18, 0, 1.41421, -1.004e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71042e-21, 0, 0, 0, 9.97288e-19, 0, 0, 0
0.160968, 0, 2.3738e-18, 0, 1.41421, -2.3738e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58658e-20, 0, 0, 0, 2.35794e-18, 0, 0, 0
0.168858, 0, 5.52582e-18, 0, 1.41421, -5.52582e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69329e-20, 0, 0, 0, 5.48888e-18, 0, 0, 0
0.176748, 0, 1.26716e-17, 0, 1.41421, -1.26716e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46931e-20, 0, 0, 0, 1.25869e-17, 0, 0, 0
0.184638, 0, 2.86399e-17, 0, 1.41421, -2.86399e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9142e-19, 0, 0, 0, 2.84485e-17, 0, 0, 0
0.192528, 0, 6.38271e-17, 0, 1.41421, -6.38271e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26601e-19, 0, 0, 0, 6.34005e-17, 0, 0, 0
0.200418, 0, 1.40316e-16, 0, 1.41421, -1.40316e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37829e-19, 0, 0, 0, 1.39378e-16, 0, 0, 0
0.208308, 0, 3.04388e-16, 0, 1.41421, -3.04388e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03444e-18, 0, 0, 0, 3.02354e-16, 0, 0, 0
0.216198, 0, 6.51781e-16, 0, 1.41421, -6.51781e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3563e-18, 0, 0, 0, 6.47425e-16, 0, 0, 0
0.224088, 0, 1.37801e-15, 0, 1.41421, -1.37801e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.21021e-18, 0, 0, 0, 1.3688e-15, 0, 0, 0
0.231978, 0, 2.87734e-15, 0, 1.41421, -2.87734e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92312e-17, 0, 0, 0, 2.85811e-15, 0, 0, 0
0.239868, 0, 5.9349e-15, 0, 1.41421, -5.9349e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96669e-17, 0, 0, 0, 5.89523e-15, 0, 0, 0
0.247758, 0, 1.20951e-14, 0, 1.41421, -1.20951e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08396e-17, 0, 0, 0, 1.20143e-14, 0, 0, 0
