   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_187.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.261424, 0, 3.47795e-13, 0, 1.41421, -3.47795e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47795e-13, 0, 0
0.269307, 0, 6.18696e-13, 0, 1.41421, -6.18696e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18696e-13, 0, 0
0.277191, 0, 1.09073e-12, 0, 1.41421, -1.09073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09073e-12, 0, 0
0.285075, 0, 1.90575e-12, 0, 1.41421, -1.90575e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90575e-12, 0, 0
0.292959, 0, 3.30034e-12, 0, 1.41421, -3.30034e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30034e-12, 0, 0
0.300843, 0, 5.66907e-12, 0, 1.41421, -5.66907e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66907e-12, 0, 0
0.308727, 0, 9.64537e-12, 0, 1.41421, -9.64537e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64537e-12, 0, 0
0.316611, 0, 1.62686e-11, 0, 1.41421, -1.62686e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62686e-11, 0, 0
0.324495, 0, 2.72036e-11, 1.16308e-43, 1.41421, -2.72036e-11, 1.16308e-43, 0, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 2.72036e-11, 1.16308e-43, 1.16308e-43
0.332379, 0, 4.50995e-11, 2.06411e-42, 1.41421, -4.50995e-11, 2.06411e-42, 0, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 2.06411e-42, 4.50995e-11, 2.06411e-42, 2.06411e-42
0.340263, 0, 7.4132e-11, 2.99556e-41, 1.41421, -7.4132e-11, 2.99556e-41, 0, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 2.99556e-41, 7.4132e-11, 2.99556e-41, 2.99556e-41
0.348146, 0, 1.20823e-10, 3.85017e-40, 1.41421, -1.20823e-10, 3.85017e-40, 0, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 3.85017e-40, 1.20823e-10, 3.85017e-40, 3.85017e-40
0.35603, 0, 1.95264e-10, 4.42477e-39, 1.41421, -1.95264e-10, 4.42477e-39, 0, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 4.42477e-39, 1.95264e-10, 4.42477e-39, 4.42477e-39
0.363914, 0, 3.12929e-10, 4.5932e-38, 1.41421, -3.12929e-10, 4.5932e-38, 0, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 4.5932e-38, 3.12929e-10, 4.5932e-38, 4.5932e-38
0.371798, 0, 4.97329e-10, 4.32935e-37, 1.41421, -4.97329e-10, 4.32935e-37, 0, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.32935e-37, 4.97329e-10, 4.32935e-37, 4.32935e-37
0.379682, 0, 7.83853e-10, 3.7297e-36, 1.41421, -7.83853e-10, 3.7297e-36, 0, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 3.7297e-36, 7.83853e-10, 3.7297e-36, 3.7297e-36
0.387566, 0, 1.22529e-09, 2.94869e-35, 1.41421, -1.22529e-09, 2.94869e-35, 0, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 2.94869e-35, 1.22529e-09, 2.94869e-35, 2.94869e-35
0.39545, 0, 1.8997e-09, 2.14879e-34, 1.41421, -1.8997e-09, 2.14879e-34, 0, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 2.14879e-34, 1.8997e-09, 2.14879e-34, 2.14879e-34
0.403334, 0, 2.9214e-09, 1.48653e-33, 1.41421, -2.9214e-09, 1.48653e-33, 0, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 1.48653e-33, 2.9214e-09, 1.48653e-33, 1.48653e-33
0.411218, 0, 4.45639e-09, 8.63396e-33, 1.41421, -4.45639e-09, 8.63396e-33, 0, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 8.63396e-33, 4.45639e-09, 8.63396e-33, 8.63396e-33
0.419102, 0, 6.74354e-09, 5.1005e-32, 1.41421, -6.74354e-09, 5.1005e-32, 0, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 5.1005e-32, 6.74354e-09, 5.1005e-32, 5.1005e-32
0.426986, 0, 1.01235e-08, 2.69045e-31, 1.41421, -1.01235e-08, 2.69045e-31, 0, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 2.69045e-31, 1.01235e-08, 2.69045e-31, 2.69045e-31
0.434869, 0, 1.50778e-08, 1.39369e-30, 1.41421, -1.50778e-08, 1.39369e-30, 0, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.39369e-30, 1.50778e-08, 1.39369e-30, 1.39369e-30
0.442753, 0, 2.22815e-08, 6.90732e-30, 1.41421, -2.22815e-08, 6.90732e-30, 0, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 6.90732e-30, 2.22815e-08, 6.90732e-30, 6.90732e-30
0.450637, 0, 3.26719e-08, 3.24757e-29, 1.41421, -3.26719e-08, 3.24757e-29, 0, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.24757e-29, 3.26719e-08, 3.24757e-29, 3.24757e-29
0.458521, 0, 4.75405e-08, 1.48072e-28, 1.41421, -4.75405e-08, 1.48072e-28, 0, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 1.48072e-28, 4.75405e-08, 1.48072e-28, 1.48072e-28
0.466405, 0, 6.86506e-08, 6.47331e-28, 1.41421, -6.86506e-08, 6.47331e-28, 0, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.47331e-28, 6.86506e-08, 6.47331e-28, 6.47331e-28
0.474289, 0, 9.83902e-08, 2.70161e-27, 1.41421, -9.83902e-08, 2.70161e-27, 0, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 2.70161e-27, 9.83902e-08, 2.70161e-27, 2.70161e-27
0.482173, 0, 1.39966e-07, 1.07667e-26, 1.41421, -1.39966e-07, 1.07667e-26, 0, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.07667e-26, 1.39966e-07, 1.07667e-26, 1.07667e-26
0.490057, 0, 1.97648e-07, 4.10143e-26, 1.41421, -1.97648e-07, 4.10143e-26, 0, 4.10143e-26, 4.10143e-26, 4.10143e-26, 4.80318e-13, 4.10143e-26, 4.10143e-26, 4.10143e-26, 4.10143e-26, 4.10143e-26, 4.10143e-26, 4.10143e-26, 1.97647e-07, 4.10143e-26, 4.10143e-26
0.497941, 0, 2.77076e-07, 1.49598e-25, 1.41421, -2.77076e-07, 1.49598e-25, 0, 1.49598e-25, 1.49598e-25, 1.49598e-25, 1.67393e-12, 1.49598e-25, 1.49598e-25, 1.49598e-25, 1.49598e-25, 1.49598e-25, 1.49598e-25, 1.49598e-25, 2.77074e-07, 1.49598e-25, 1.49598e-25
0.505825, 0, 3.85639e-07, 5.27504e-25, 1.41421, -3.85639e-07, 5.27504e-25, 0, 5.27504e-25, 5.27504e-25, 5.27504e-25, 4.54135e-12, 5.27504e-25, 5.27504e-25, 5.27504e-25, 5.27504e-25, 5.27504e-25, 5.27504e-25, 5.27504e-25, 3.85635e-07, 5.27504e-25, 5.27504e-25
0.513708, 0, 5.35316e-07, 2.05722e-10, 1.41421, -5.35316e-07, 2.59949e-10, 2.05722e-10, 9.79625e-10, 2.25285e-10, 2.16173e-10, 2.39573e-10, 4.96559e-10, 2.15023e-10, 1.11593e-09, 2.0608e-10, 2.09296e-10, 2.05722e-10, 2.05723e-10, 5.3321e-07, 2.05722e-10, 2.05722e-10
0.521592, 0, 7.39604e-07, 7.09616e-10, 1.41421, -7.39604e-07, 8.97552e-10, 7.09616e-10, 3.39174e-09, 7.77416e-10, 7.45837e-10, 8.14438e-10, 1.71757e-09, 7.41854e-10, 3.86414e-09, 7.10858e-10, 7.22005e-10, 7.09616e-10, 7.09622e-10, 7.32317e-07, 7.09616e-10, 7.09616e-10
0.529476, 0, 1.01915e-06, 1.90812e-09, 1.41421, -1.01915e-06, 2.41546e-09, 1.90812e-09, 9.14855e-09, 2.09115e-09, 2.0059e-09, 2.17981e-09, 4.62911e-09, 1.99515e-09, 1.04238e-08, 1.91147e-09, 1.94156e-09, 1.90812e-09, 1.90814e-09, 9.99493e-07, 1.90812e-09, 1.90812e-09
0.53736, 0, 1.40452e-06, 4.68687e-09, 1.41421, -1.40452e-06, 5.9361e-09, 4.68687e-09, 2.25151e-08, 5.13754e-09, 4.92763e-09, 5.34056e-09, 1.13868e-08, 4.90116e-09, 2.56552e-08, 4.69513e-09, 4.76922e-09, 4.68687e-09, 4.68691e-09, 1.35612e-06, 4.68687e-09, 4.68687e-09
0.545244, 0, 1.94384e-06, 1.09649e-08, 1.41421, -1.94384e-06, 1.38922e-08, 1.09649e-08, 5.27425e-08, 1.2021e-08, 1.15291e-08, 1.24705e-08, 2.66652e-08, 1.1467e-08, 6.01008e-08, 1.09842e-08, 1.11579e-08, 1.09649e-08, 1.0965e-08, 1.83046e-06, 1.09649e-08, 1.09649e-08
0.553128, 0, 2.71727e-06, 2.47911e-08, 1.41421, -2.71727e-06, 3.14176e-08, 2.47911e-08, 1.19361e-07, 2.71817e-08, 2.60682e-08, 2.83816e-08, 6.03311e-08, 2.59278e-08, 1.36018e-07, 2.48349e-08, 2.52279e-08, 2.47911e-08, 2.47913e-08, 2.46043e-06, 2.47911e-08, 2.47911e-08
0.561012, 0, 3.86359e-06, 5.44754e-08, 1.41421, -3.86359e-06, 6.90505e-08, 5.44754e-08, 2.62484e-07, 5.97335e-08, 5.72844e-08, 6.27983e-08, 1.32646e-07, 5.69755e-08, 2.9912e-07, 5.45717e-08, 5.54361e-08, 5.44754e-08, 5.44759e-08, 3.29824e-06, 5.44754e-08, 5.44754e-08
0.568896, 0, 5.635e-06, 1.1662e-07, 1.41421, -5.635e-06, 1.47849e-07, 1.1662e-07, 5.62303e-07, 1.27886e-07, 1.22639e-07, 1.39712e-07, 2.8411e-07, 1.21977e-07, 6.40801e-07, 1.16826e-07, 1.18679e-07, 1.1662e-07, 1.16621e-07, 4.41842e-06, 1.1662e-07, 1.1662e-07
0.57678, 0, 8.48088e-06, 2.43489e-07, 1.41421, -8.48088e-06, 3.08744e-07, 2.43489e-07, 1.17478e-06, 2.6703e-07, 2.56066e-07, 2.99051e-07, 5.93472e-07, 2.54683e-07, 1.3388e-06, 2.4392e-07, 2.4779e-07, 2.43489e-07, 2.43491e-07, 5.93143e-06, 2.43489e-07, 2.43489e-07
0.584664, 0, 1.32213e-05, 4.96183e-07, 1.41421, -1.32213e-05, 6.29272e-07, 4.96183e-07, 2.39556e-06, 5.44197e-07, 5.21834e-07, 6.23827e-07, 1.20998e-06, 5.19013e-07, 2.73009e-06, 4.97063e-07, 5.04956e-07, 4.96183e-07, 4.96188e-07, 8.00731e-06, 4.96183e-07, 4.96183e-07
0.592547, 0, 2.1312e-05, 9.86744e-07, 1.41421, -2.1312e-05, 1.25163e-06, 9.86744e-07, 4.76705e-06, 1.0823e-06, 1.0378e-06, 1.26106e-06, 2.40741e-06, 1.03218e-06, 5.43287e-06, 9.88494e-07, 1.0042e-06, 9.86744e-07, 9.86753e-07, 1.09144e-05, 9.86744e-07, 9.86744e-07
0.600431, 2, 3.53375e-05, 1.91606e-06, 2, 1.99996, 2.43086e-06, 1.91606e-06, 9.263e-06, 2.10178e-06, 2.01528e-06, 2.49293e-06, 4.67708e-06, 2.00437e-06, 1.0557e-05, 1.91946e-06, 1.95e-06, 1.91606e-06, 1.91608e-06, 1.50863e-05, 1.91606e-06, 1.91606e-06
0.608315, 0, 5.97618e-05, 3.63356e-06, 1.41421, -5.97618e-05, 4.6107e-06, 3.63356e-06, 1.75787e-05, 3.98607e-06, 3.82188e-06, 4.8253e-06, 8.87424e-06, 3.80117e-06, 2.00349e-05, 3.64002e-06, 3.69797e-06, 3.63356e-06, 3.63359e-06, 2.12264e-05, 3.63356e-06, 3.63356e-06
0.616199, 0, 0.00010213, 6.7305e-06, 1.41421, -0.00010213, 8.54222e-06, 6.7305e-06, 3.25863e-05, 7.3841e-06, 7.07967e-06, 9.14871e-06, 1.64473e-05, 7.04128e-06, 3.71403e-05, 6.74247e-06, 6.84993e-06, 6.7305e-06, 6.73056e-06, 3.04729e-05, 6.7305e-06, 6.7305e-06
0.624083, 0, 0.000174893, 1.21795e-05, 1.41421, -0.000174893, 1.54613e-05, 1.21795e-05, 5.90161e-05, 1.33635e-05, 1.2812e-05, 1.69979e-05, 2.9781e-05, 1.27424e-05, 6.72654e-05, 1.22012e-05, 1.23958e-05, 1.21795e-05, 1.21796e-05, 4.46515e-05, 1.21795e-05, 1.21795e-05
0.631967, 0, 0.000298077, 2.15357e-05, 1.41421, -0.000298077, 2.7345e-05, 2.15357e-05, 0.000104442, 2.36314e-05, 2.26553e-05, 3.09612e-05, 5.26925e-05, 2.25322e-05, 0.000119045, 2.15741e-05, 2.19186e-05, 2.15357e-05, 2.15359e-05, 6.66364e-05, 2.15357e-05, 2.15357e-05
0.639851, 0, 0.000503054, 3.72141e-05, 1.41421, -0.000503054, 4.72643e-05, 3.72141e-05, 0.000180645, 4.08398e-05, 3.91511e-05, 5.53085e-05, 9.11162e-05, 3.89381e-05, 0.000205907, 3.72805e-05, 3.78766e-05, 3.72141e-05, 3.72144e-05, 0.000100868, 3.72141e-05, 3.72141e-05
0.647735, 0, 0.000837704, 6.28583e-05, 1.41421, -0.000837704, 7.98551e-05, 6.28583e-05, 0.000305427, 6.89901e-05, 6.61341e-05, 9.69386e-05, 0.000154017, 6.57739e-05, 0.000348151, 6.29706e-05, 6.39787e-05, 6.28583e-05, 6.28589e-05, 0.000154051, 6.28583e-05, 6.28583e-05
0.655619, 0, 0.00137312, 0.000103803, 1.41421, -0.00137312, 0.000131908, 0.000103803, 0.000504903, 0.000113942, 0.000109219, 0.000166759, 0.000254538, 0.000108624, 0.000575549, 0.000103988, 0.000105655, 0.000103803, 0.000103803, 0.000236057, 0.000103803, 0.000103803
0.663503, 0, 0.00221197, 0.00016762, 1.41421, -0.00221197, 0.000213068, 0.00016762, 0.000816228, 0.000184016, 0.000176379, 0.000281649, 0.00041137, 0.000175416, 0.000930467, 0.00016792, 0.000170616, 0.00016762, 0.000167621, 0.00036104, 0.00016762, 0.00016762
0.671386, 2, 0.00349854, 0.000264735, 2, 1.9965, 0.000336623, 0.000264735, 0.00129068, 0.000290669, 0.00027859, 0.000467183, 0.000650289, 0.000277066, 0.00147137, 0.00026521, 0.000269474, 0.000264735, 0.000264737, 0.000548738, 0.000264735, 0.000264735
0.67927, 0, 0.0054298, 0.000409032, 1.41421, -0.0054298, 0.000520282, 0.000409032, 0.00199673, 0.000449167, 0.000430474, 0.000761251, 0.0010057, 0.000428116, 0.00227637, 0.000409767, 0.000416367, 0.000409032, 0.000409036, 0.000825898, 0.000409032, 0.000409032
0.687154, 0, 0.0082671, 0.0006184, 1.41421, -0.0082671, 0.000786884, 0.0006184, 0.00302291, 0.000679182, 0.000650872, 0.00121876, 0.00152203, 0.000647301, 0.00344642, 0.000619513, 0.000629508, 0.0006184, 0.000618406, 0.00122772, 0.0006184, 0.0006184
0.695038, 0, 0.0123469, 0.000915053, 1.41421, -0.0123469, 0.00116482, 0.000915053, 0.00447959, 0.00100516, 0.00096319, 0.0019174, 0.00225462, 0.000957897, 0.00510741, 0.000916703, 0.000931522, 0.000915053, 0.000915061, 0.00179913, 0.000915053, 0.000915053
0.702922, 0, 0.0180898, 0.00132557, 1.41421, -0.0180898, 0.00168811, 0.00132557, 0.00649946, 0.00145636, 0.00139544, 0.00296448, 0.00326993, 0.00138776, 0.00741073, 0.00132797, 0.00134948, 0.00132557, 0.00132559, 0.00259578, 0.00132557, 0.00132557
0.710806, 0, 0.0260046, 0.00188044, 1.41421, -0.0260046, 0.00239581, 0.00188044, 0.00923555, 0.00206637, 0.00197977, 0.00450436, 0.0046445, 0.00196884, 0.010531, 0.00188384, 0.00191443, 0.00188044, 0.00188046, 0.00368452, 0.00188044, 0.00188044
0.71869, 0, 0.0366873, 0.002613, 1.41421, -0.0366873, 0.00333077, 0.002613, 0.0128566, 0.00287194, 0.00275133, 0.00672591, 0.00646253, 0.00273612, 0.0146607, 0.00261774, 0.00266036, 0.002613, 0.00261302, 0.0051433, 0.002613, 0.002613
0.726574, 0, 0.0508113, 0.00355777, 1.41421, -0.0508113, 0.00453742, 0.00355777, 0.0175388, 0.00391119, 0.00374657, 0.00986889, 0.00881181, 0.00372581, 0.0200013, 0.00356424, 0.00362244, 0.00355777, 0.0035578, 0.00706051, 0.00355777, 0.00355777
0.734458, 0, 0.0691093, 0.00474812, 1.41421, -0.0691093, 0.00605893, 0.00474812, 0.0234552, 0.00522101, 0.00500075, 0.0142277, 0.0117782, 0.00497297, 0.0267501, 0.00475678, 0.00483472, 0.00474812, 0.00474817, 0.0095341, 0.00474812, 0.00474812
0.742342, 0, 0.0923436, 0.00621333, 1.41421, -0.0923436, 0.00793338, 0.00621333, 0.030761, 0.00683386, 0.00654484, 0.0201504, 0.0154381, 0.00650838, 0.0350845, 0.00622469, 0.00632709, 0.00621333, 0.00621339, 0.0126706, 0.00621333, 0.00621333
0.750225, 0, 0.12127, 0.00797548, 1.41421, -0.12127, 0.0101899, 0.00797548, 0.0395781, 0.00877435, 0.00840226, 0.0280311, 0.0198513, 0.00835533, 0.0451442, 0.00799011, 0.00812217, 0.00797548, 0.00797556, 0.0165858, 0.00797548, 0.00797548
