   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0314529, 578, 0, 0, 24.0832, 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02357, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0156872, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00780429, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.85828e-05, 0, 1.2238e-22, 0, 1.41421, -1.2238e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9364e-25, 0, 0, 2.57473e-27, 0, 1.21884e-22, 0, 0, 0
0.00796146, 0, 3.10259e-22, 0, 1.41421, -3.10259e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25148e-24, 0, 0, 6.62266e-27, 0, 3.09001e-22, 0, 0, 0
0.0158443, 0, 7.69597e-22, 0, 1.41421, -7.69597e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1043e-24, 0, 0, 1.66653e-26, 0, 7.66476e-22, 0, 0, 0
0.0237272, 0, 1.87107e-21, 0, 1.41421, -1.87107e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54725e-24, 0, 0, 4.11023e-26, 0, 1.86348e-21, 0, 0, 0
0.0316101, 0, 4.46513e-21, 0, 1.41421, -4.46513e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80108e-23, 0, 0, 9.95046e-26, 0, 4.44702e-21, 0, 0, 0
0.039493, 0, 1.04721e-20, 0, 1.41421, -1.04721e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22407e-23, 0, 0, 2.36752e-25, 0, 1.04296e-20, 0, 0, 0
0.0473758, 0, 2.41621e-20, 0, 1.41421, -2.41621e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74618e-23, 0, 0, 5.54225e-25, 0, 2.40641e-20, 0, 0, 0
0.0552587, 0, 5.48956e-20, 0, 1.41421, -5.48956e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2143e-22, 0, 0, 1.27768e-24, 0, 5.46729e-20, 0, 0, 0
0.0631416, 0, 1.22908e-19, 0, 1.41421, -1.22908e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9577e-22, 0, 0, 2.90308e-24, 0, 1.2241e-19, 0, 0, 0
0.0710245, 0, 2.71373e-19, 0, 1.41421, -2.71373e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09463e-21, 0, 0, 6.5058e-24, 0, 2.70272e-19, 0, 0, 0
0.0789073, 0, 5.91234e-19, 0, 1.41421, -5.91234e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38483e-21, 0, 0, 1.43886e-23, 0, 5.88835e-19, 0, 0, 0
0.0867902, 0, 1.27173e-18, 0, 1.41421, -1.27173e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1297e-21, 0, 0, 3.14238e-23, 0, 1.26656e-18, 0, 0, 0
0.0946731, 0, 2.70196e-18, 0, 1.41421, -2.70196e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08988e-20, 0, 0, 6.78006e-23, 0, 2.69099e-18, 0, 0, 0
0.102556, 0, 5.67285e-18, 0, 1.41421, -5.67285e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28823e-20, 0, 0, 1.44588e-22, 0, 5.64982e-18, 0, 0, 0
0.110439, 0, 1.17741e-17, 0, 1.41421, -1.17741e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74925e-20, 0, 0, 3.04882e-22, 0, 1.17263e-17, 0, 0, 0
0.118322, 0, 2.4166e-17, 0, 1.41421, -2.4166e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74771e-20, 0, 0, 6.3589e-22, 0, 2.40679e-17, 0, 0, 0
0.126205, 0, 4.90646e-17, 0, 1.41421, -4.90646e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97909e-19, 0, 0, 1.31227e-21, 0, 4.88654e-17, 0, 0, 0
0.134087, 0, 9.85683e-17, 0, 1.41421, -9.85683e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97589e-19, 0, 0, 2.68026e-21, 0, 9.8168e-17, 0, 0, 0
0.14197, 0, 1.95983e-16, 0, 1.41421, -1.95983e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90524e-19, 0, 0, 5.41951e-21, 0, 1.95187e-16, 0, 0, 0
0.149853, 0, 3.85754e-16, 0, 1.41421, -3.85754e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55599e-18, 0, 0, 1.08511e-20, 0, 3.84187e-16, 0, 0, 0
0.157736, 0, 7.51794e-16, 0, 1.41421, -7.51794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03246e-18, 0, 0, 2.15182e-20, 0, 7.4874e-16, 0, 0, 0
0.165619, 0, 1.45099e-15, 0, 1.41421, -1.45099e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85276e-18, 0, 0, 4.22715e-20, 0, 1.4451e-15, 0, 0, 0
