   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_50.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0332755, 100, 0, 0, 10.0995, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0253736, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0174716, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00956968, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00166774, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0062342, 0, 2.06198e-23, 0, 1.41421, -2.06198e-23, 0, 0, 0, 0, 0, 0, 0, 0, 2.48564e-25, 0, 0, 0, 0, 2.03712e-23, 0, 0, 0
0.0141361, 0, 5.35681e-23, 0, 1.41421, -5.35681e-23, 0, 0, 0, 0, 0, 0, 0, 0, 6.45746e-25, 0, 0, 0, 0, 5.29224e-23, 0, 0, 0
0.0220381, 0, 1.36176e-22, 0, 1.41421, -1.36176e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.64156e-24, 0, 0, 0, 0, 1.34535e-22, 0, 0, 0
0.02994, 0, 3.39281e-22, 0, 1.41421, -3.39281e-22, 0, 0, 0, 0, 0, 0, 0, 0, 4.08992e-24, 0, 0, 0, 0, 3.35191e-22, 0, 0, 0
0.037842, 0, 8.29585e-22, 0, 1.41421, -8.29585e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.00004e-23, 0, 0, 0, 0, 8.19584e-22, 0, 0, 0
0.0457439, 0, 1.99296e-21, 0, 1.41421, -1.99296e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.40245e-23, 0, 0, 0, 0, 1.96894e-21, 0, 0, 0
0.0536458, 0, 4.70869e-21, 0, 1.41421, -4.70869e-21, 0, 0, 0, 0, 0, 0, 0, 0, 5.67617e-23, 0, 0, 0, 0, 4.65193e-21, 0, 0, 0
0.0615478, 0, 1.09505e-20, 0, 1.41421, -1.09505e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.32005e-22, 0, 0, 0, 0, 1.08185e-20, 0, 0, 0
0.0694497, 0, 2.50858e-20, 0, 1.41421, -2.50858e-20, 0, 0, 0, 0, 0, 0, 0, 0, 3.02401e-22, 0, 0, 0, 0, 2.47834e-20, 0, 0, 0
0.0773516, 0, 5.66454e-20, 0, 1.41421, -5.66454e-20, 0, 0, 0, 0, 0, 0, 0, 0, 6.82842e-22, 0, 0, 0, 0, 5.59625e-20, 0, 0, 0
0.0852536, 0, 1.26153e-19, 0, 1.41421, -1.26153e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.52073e-21, 0, 0, 0, 0, 1.24632e-19, 0, 0, 0
0.0931555, 0, 2.77235e-19, 0, 1.41421, -2.77235e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.34198e-21, 0, 0, 0, 0, 2.73893e-19, 0, 0, 0
0.101057, 0, 6.01484e-19, 0, 1.41421, -6.01484e-19, 0, 0, 0, 0, 0, 0, 0, 0, 7.25069e-21, 0, 0, 0, 0, 5.94233e-19, 0, 0, 0
0.108959, 0, 1.28884e-18, 0, 1.41421, -1.28884e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.55366e-20, 0, 0, 0, 0, 1.2733e-18, 0, 0, 0
0.116861, 0, 2.72859e-18, 0, 1.41421, -2.72859e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.28922e-20, 0, 0, 0, 0, 2.69569e-18, 0, 0, 0
0.124763, 0, 5.70936e-18, 0, 1.41421, -5.70936e-18, 0, 0, 0, 0, 0, 0, 0, 0, 6.88245e-20, 0, 0, 0, 0, 5.64053e-18, 0, 0, 0
0.132665, 0, 1.18108e-17, 0, 1.41421, -1.18108e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.42375e-19, 0, 0, 0, 0, 1.16684e-17, 0, 0, 0
0.140567, 0, 2.41623e-17, 0, 1.41421, -2.41623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.91268e-19, 0, 0, 0, 0, 2.3871e-17, 0, 0, 0
0.148469, 0, 4.88953e-17, 0, 1.41421, -4.88953e-17, 0, 0, 0, 0, 0, 0, 0, 0, 5.89416e-19, 0, 0, 0, 0, 4.83059e-17, 0, 0, 0
0.156371, 0, 9.8934e-17, 0, 1.41421, -9.8934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.19261e-18, 0, 0, 0, 0, 9.77414e-17, 0, 0, 0
0.164273, 0, 1.95775e-16, 0, 1.41421, -1.95775e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.36e-18, 0, 0, 0, 0, 1.93415e-16, 0, 0, 0
0.172175, 0, 3.83508e-16, 0, 1.41421, -3.83508e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.62304e-18, 0, 0, 0, 0, 3.78884e-16, 0, 0, 0
0.180077, 0, 7.4382e-16, 0, 1.41421, -7.4382e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.96647e-18, 0, 0, 0, 0, 7.34853e-16, 0, 0, 0
0.187979, 0, 1.42857e-15, 0, 1.41421, -1.42857e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.72209e-17, 0, 0, 0, 0, 1.41135e-15, 0, 0, 0
0.195881, 0, 2.7173e-15, 0, 1.41421, -2.7173e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.27558e-17, 0, 0, 0, 0, 2.68454e-15, 0, 0, 0
0.203783, 0, 5.1195e-15, 0, 1.41421, -5.1195e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.17133e-17, 0, 0, 0, 0, 5.05779e-15, 0, 0, 0
0.211685, 0, 9.55488e-15, 0, 1.41421, -9.55488e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.1518e-16, 0, 0, 0, 0, 9.4397e-15, 0, 0, 0
0.219587, 0, 1.76676e-14, 0, 1.41421, -1.76676e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.12974e-16, 0, 0, 0, 0, 1.74546e-14, 0, 0, 0
0.227488, 0, 3.23686e-14, 0, 1.41421, -3.23686e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.90187e-16, 0, 0, 0, 0, 3.19784e-14, 0, 0, 0
0.23539, 0, 5.87635e-14, 0, 1.41421, -5.87635e-14, 0, 0, 0, 0, 0, 0, 0, 0, 7.08365e-16, 0, 0, 0, 0, 5.80552e-14, 0, 0, 0
