   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.180555, 0, 2.51561e-15, 0, 1.41421, -2.51561e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44625e-18, 0, 0, 1.32083e-20, 0, 0, 2.51415e-15, 0, 0
0.18845, 0, 4.72094e-15, 0, 1.41421, -4.72094e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71411e-18, 0, 0, 2.52573e-20, 0, 0, 4.71821e-15, 0, 0
0.196346, 0, 8.77829e-15, 0, 1.41421, -8.77829e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04669e-18, 0, 0, 4.78717e-20, 0, 0, 8.77319e-15, 0, 0
0.204241, 0, 1.61747e-14, 0, 1.41421, -1.61747e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.29894e-18, 0, 0, 8.99464e-20, 0, 0, 1.61654e-14, 0, 0
0.212137, 0, 2.95364e-14, 0, 1.41421, -2.95364e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69806e-17, 0, 0, 1.67561e-19, 0, 0, 2.95193e-14, 0, 0
0.220032, 0, 5.34583e-14, 0, 1.41421, -5.34583e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07333e-17, 0, 0, 3.09532e-19, 0, 0, 5.34273e-14, 0, 0
0.227927, 0, 9.59065e-14, 0, 1.41421, -9.59065e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51369e-17, 0, 0, 5.67068e-19, 0, 0, 9.58508e-14, 0, 0
0.235823, 0, 1.70567e-13, 0, 1.41421, -1.70567e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80597e-17, 0, 0, 1.03044e-18, 0, 0, 1.70468e-13, 0, 0
0.243718, 0, 3.00738e-13, 0, 1.41421, -3.00738e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72896e-16, 0, 0, 1.85749e-18, 0, 0, 3.00563e-13, 0, 0
0.251613, 0, 5.26446e-13, 0, 1.41421, -5.26446e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02662e-16, 0, 0, 3.33124e-18, 0, 0, 5.2614e-13, 0, 0
0.259509, 0, 9.12327e-13, 0, 1.41421, -9.12327e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2452e-16, 0, 0, 5.91078e-18, 0, 0, 9.11797e-13, 0, 0
0.267404, 0, 1.56782e-12, 0, 1.41421, -1.56782e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.01399e-16, 0, 0, 1.04094e-17, 0, 0, 1.5669e-12, 0, 0
0.275299, 0, 2.67185e-12, 0, 1.41421, -2.67185e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53621e-15, 0, 0, 1.81982e-17, 0, 0, 2.6703e-12, 0, 0
0.283195, 0, 4.51572e-12, 0, 1.41421, -4.51572e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59649e-15, 0, 0, 3.15903e-17, 0, 0, 4.51309e-12, 0, 0
0.29109, 0, 7.56941e-12, 0, 1.41421, -7.56941e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35263e-15, 0, 0, 5.44627e-17, 0, 0, 7.565e-12, 0, 0
0.298986, 0, 1.25845e-11, 0, 1.41421, -1.25845e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23714e-15, 0, 0, 9.32777e-17, 0, 0, 1.25772e-11, 0, 0
0.306881, 0, 2.07526e-11, 0, 1.41421, -2.07526e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19359e-14, 0, 0, 1.58751e-16, 0, 0, 2.07405e-11, 0, 0
0.314776, 0, 3.39462e-11, 7.00649e-44, 1.41421, -3.39462e-11, 7.00649e-44, 0, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 7.00649e-44, 1.95274e-14, 7.00649e-44, 7.00649e-44, 2.68574e-16, 7.00649e-44, 7.00649e-44, 3.39264e-11, 7.00649e-44, 7.00649e-44
0.322672, 0, 5.50819e-11, 1.25276e-42, 1.41421, -5.50819e-11, 1.25276e-42, 0, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 1.25276e-42, 3.16921e-14, 1.25276e-42, 1.25276e-42, 4.51829e-16, 1.25276e-42, 1.25276e-42, 5.50498e-11, 1.25276e-42, 1.25276e-42
0.330567, 0, 8.86641e-11, 1.86275e-41, 1.41421, -8.86641e-11, 1.86275e-41, 0, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 1.86275e-41, 5.10275e-14, 1.86275e-41, 1.86275e-41, 7.56184e-16, 1.86275e-41, 1.86275e-41, 8.86123e-11, 1.86275e-41, 1.86275e-41
0.338462, 0, 1.41588e-10, 2.43673e-40, 1.41421, -1.41588e-10, 2.43673e-40, 0, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 2.43673e-40, 8.1513e-14, 2.43673e-40, 2.43673e-40, 1.25955e-15, 2.43673e-40, 2.43673e-40, 1.41505e-10, 2.43673e-40, 2.43673e-40
0.346358, 0, 2.24317e-10, 2.85331e-39, 1.41421, -2.24317e-10, 2.85331e-39, 0, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 2.85331e-39, 1.29195e-13, 2.85331e-39, 2.85331e-39, 2.08904e-15, 2.85331e-39, 2.85331e-39, 2.24185e-10, 2.85331e-39, 2.85331e-39
0.354253, 0, 3.52594e-10, 3.01496e-38, 1.41421, -3.52594e-10, 3.01496e-38, 0, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 3.01496e-38, 2.03181e-13, 3.01496e-38, 3.01496e-38, 3.45175e-15, 3.01496e-38, 3.01496e-38, 3.52387e-10, 3.01496e-38, 3.01496e-38
