   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_280.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0308493, 560, 0, 0, 23.7065, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229669, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150846, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0072022, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000680162, 0, 1.0497e-25, 0, 1.41421, -1.0497e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24866e-27, 0, 1.77324e-30, 1.21289e-29, 0, 1.03707e-25, 0, 0, 0
0.00856252, 0, 3.56552e-25, 0, 1.41421, -3.56552e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24132e-27, 0, 6.09018e-30, 4.39625e-29, 0, 3.52261e-25, 0, 0, 0
0.0164449, 0, 1.14638e-24, 0, 1.41421, -1.14638e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36366e-26, 0, 1.9821e-29, 1.48868e-28, 0, 1.13258e-24, 0, 0, 0
0.0243273, 0, 3.52278e-24, 0, 1.41421, -3.52278e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19043e-26, 0, 6.16932e-29, 4.77663e-28, 0, 3.48034e-24, 0, 0, 0
0.0322096, 0, 1.04169e-23, 0, 1.41421, -1.04169e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2391e-25, 0, 1.84842e-28, 1.46593e-27, 0, 1.02913e-23, 0, 0, 0
0.040092, 0, 2.97881e-23, 0, 1.41421, -2.97881e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54333e-25, 0, 5.35707e-28, 4.33159e-27, 0, 2.94289e-23, 0, 0, 0
0.0479743, 0, 8.3186e-23, 0, 1.41421, -8.3186e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89502e-25, 0, 1.51943e-27, 1.24908e-26, 0, 8.21825e-23, 0, 0, 0
0.0558567, 0, 2.25762e-22, 0, 1.41421, -2.25762e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68543e-24, 0, 4.18645e-27, 3.48801e-26, 0, 2.23037e-22, 0, 0, 0
0.0637391, 0, 6.52233e-22, 0, 1.41421, -6.52233e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75826e-24, 0, 1.23893e-26, 1.04839e-25, 0, 6.44358e-22, 0, 0, 0
0.0716214, 0, 1.66743e-21, 0, 1.41421, -1.66743e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98338e-23, 0, 3.21223e-26, 2.74012e-25, 0, 1.64729e-21, 0, 0, 0
0.0795038, 0, 4.17823e-21, 0, 1.41421, -4.17823e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96993e-23, 0, 8.16325e-26, 7.01074e-25, 0, 4.12775e-21, 0, 0, 0
0.0873862, 0, 1.0275e-20, 0, 1.41421, -1.0275e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22219e-22, 0, 2.03599e-25, 1.75854e-24, 0, 1.01508e-20, 0, 0, 0
0.0952685, 0, 2.48238e-20, 0, 1.41421, -2.48238e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95272e-22, 0, 4.98896e-25, 4.32987e-24, 0, 2.45237e-20, 0, 0, 0
0.103151, 0, 5.89726e-20, 0, 1.41421, -5.89726e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01461e-22, 0, 1.20221e-24, 1.0476e-23, 0, 5.82595e-20, 0, 0, 0
0.111033, 0, 1.3787e-19, 0, 1.41421, -1.3787e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63992e-21, 0, 2.85125e-24, 2.49299e-23, 0, 1.36203e-19, 0, 0, 0
0.118916, 0, 3.1742e-19, 0, 1.41421, -3.1742e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77559e-21, 0, 6.6603e-24, 5.83983e-23, 0, 3.13579e-19, 0, 0, 0
0.126798, 0, 7.20127e-19, 0, 1.41421, -7.20127e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5656e-21, 0, 1.53333e-23, 1.34756e-22, 0, 7.11411e-19, 0, 0, 0
0.13468, 0, 1.61079e-18, 0, 1.41421, -1.61079e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91595e-20, 0, 3.48105e-23, 3.06513e-22, 0, 1.59129e-18, 0, 0, 0
0.142563, 0, 3.55415e-18, 0, 1.41421, -3.55415e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22747e-20, 0, 7.79733e-23, 6.87623e-22, 0, 3.51111e-18, 0, 0, 0
0.150445, 0, 7.73924e-18, 0, 1.41421, -7.73924e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20539e-20, 0, 1.72404e-22, 1.52224e-21, 0, 7.64549e-18, 0, 0, 0
0.158327, 0, 1.66381e-17, 0, 1.41421, -1.66381e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.979e-19, 0, 3.76446e-22, 3.32699e-21, 0, 1.64365e-17, 0, 0, 0
0.16621, 0, 3.53272e-17, 0, 1.41421, -3.53272e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20195e-19, 0, 8.12039e-22, 7.18197e-21, 0, 3.4899e-17, 0, 0, 0
