   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_161.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0321089, 322, 0, 0, 18, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0242225, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0163361, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00844972, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00056332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00732308, 0, 7.8664e-23, 0, 1.41421, -7.8664e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41268e-25, 0, 2.54456e-28, 0, 0, 7.82225e-23, 0, 0, 0
0.0152095, 0, 1.97522e-22, 0, 1.41421, -1.97522e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.108e-24, 0, 6.48623e-28, 0, 0, 1.96413e-22, 0, 0, 0
0.0230959, 0, 4.85953e-22, 0, 1.41421, -4.85953e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72597e-24, 0, 1.61975e-27, 0, 0, 4.83225e-22, 0, 0, 0
0.0309823, 0, 1.17316e-21, 0, 1.41421, -1.17316e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58087e-24, 0, 3.96871e-27, 0, 0, 1.16657e-21, 0, 0, 0
0.0388687, 0, 2.78251e-21, 0, 1.41421, -2.78251e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56086e-23, 0, 9.55319e-27, 0, 0, 2.76689e-21, 0, 0, 0
0.0467551, 0, 6.49066e-21, 0, 1.41421, -6.49066e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64096e-23, 0, 2.26161e-26, 0, 0, 6.45423e-21, 0, 0, 0
0.0546415, 0, 1.49038e-20, 0, 1.41421, -1.49038e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.36035e-23, 0, 5.27053e-26, 0, 0, 1.48202e-20, 0, 0, 0
0.0625279, 0, 3.37134e-20, 0, 1.41421, -3.37134e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89116e-22, 0, 1.21006e-25, 0, 0, 3.35242e-20, 0, 0, 0
0.0704142, 0, 7.5179e-20, 0, 1.41421, -7.5179e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21719e-22, 0, 2.73895e-25, 0, 0, 7.4757e-20, 0, 0, 0
0.0783006, 0, 1.65364e-19, 0, 1.41421, -1.65364e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27613e-22, 0, 6.11579e-25, 0, 0, 1.64436e-19, 0, 0, 0
0.086187, 0, 3.58977e-19, 0, 1.41421, -3.58977e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01369e-21, 0, 1.3479e-24, 0, 0, 3.56962e-19, 0, 0, 0
0.0940734, 0, 7.69455e-19, 0, 1.41421, -7.69455e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31628e-21, 0, 2.93368e-24, 0, 0, 7.65136e-19, 0, 0, 0
0.10196, 0, 1.62922e-18, 0, 1.41421, -1.62922e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13914e-21, 0, 6.30841e-24, 0, 0, 1.62007e-18, 0, 0, 0
0.109846, 0, 3.40896e-18, 0, 1.41421, -3.40896e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91227e-20, 0, 1.34077e-23, 0, 0, 3.38983e-18, 0, 0, 0
0.117733, 0, 7.05131e-18, 0, 1.41421, -7.05131e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95545e-20, 0, 2.81762e-23, 0, 0, 7.01172e-18, 0, 0, 0
0.125619, 0, 1.44232e-17, 0, 1.41421, -1.44232e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09071e-20, 0, 5.85668e-23, 0, 0, 1.43422e-17, 0, 0, 0
0.133505, 0, 2.91826e-17, 0, 1.41421, -2.91826e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.637e-19, 0, 1.20448e-22, 0, 0, 2.90187e-17, 0, 0, 0
