   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_217.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0319004, 434, 0, 0, 20.8806, 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0240158, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0161312, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00824658, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000361979, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00752262, 0, 6.96131e-25, 0, 1.41421, -6.96131e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85417e-27, 0, 0, 0, 6.89277e-25, 0, 0, 0
0.0154072, 0, 2.23737e-24, 0, 1.41421, -2.23737e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20294e-26, 0, 0, 0, 2.21534e-24, 0, 0, 0
0.0232918, 0, 6.87265e-24, 0, 1.41421, -6.87265e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76688e-26, 0, 0, 0, 6.80498e-24, 0, 0, 0
0.0311764, 0, 2.03144e-23, 0, 1.41421, -2.03144e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00018e-25, 0, 0, 0, 2.01144e-23, 0, 0, 0
0.039061, 0, 5.80672e-23, 0, 1.41421, -5.80672e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.71735e-25, 0, 0, 0, 5.74954e-23, 0, 0, 0
0.0469456, 0, 1.62088e-22, 0, 1.41421, -1.62088e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59594e-24, 0, 0, 0, 1.60492e-22, 0, 0, 0
0.0548302, 0, 4.39706e-22, 0, 1.41421, -4.39706e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32938e-24, 0, 0, 0, 4.35376e-22, 0, 0, 0
0.0627148, 0, 1.26963e-21, 0, 1.41421, -1.26963e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25009e-23, 0, 0, 0, 1.25713e-21, 0, 0, 0
0.0705994, 0, 3.24435e-21, 0, 1.41421, -3.24435e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19442e-23, 0, 0, 0, 3.21241e-21, 0, 0, 0
0.078484, 0, 8.12602e-21, 0, 1.41421, -8.12602e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00096e-23, 0, 0, 0, 8.04601e-21, 0, 0, 0
0.0863686, 0, 1.99741e-20, 0, 1.41421, -1.99741e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96667e-22, 0, 0, 0, 1.97774e-20, 0, 0, 0
0.0942532, 0, 4.82336e-20, 0, 1.41421, -4.82336e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74913e-22, 0, 0, 0, 4.77587e-20, 0, 0, 0
0.102138, 0, 1.14531e-19, 0, 1.41421, -1.14531e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12769e-21, 0, 0, 0, 1.13404e-19, 0, 0, 0
0.110022, 0, 2.6763e-19, 0, 1.41421, -2.6763e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63511e-21, 0, 0, 0, 2.64995e-19, 0, 0, 0
0.117907, 0, 6.15864e-19, 0, 1.41421, -6.15864e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06385e-21, 0, 0, 0, 6.098e-19, 0, 0, 0
0.125792, 0, 1.3965e-18, 0, 1.41421, -1.3965e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37501e-20, 0, 0, 0, 1.38275e-18, 0, 0, 0
0.133676, 0, 3.12212e-18, 0, 1.41421, -3.12212e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07406e-20, 0, 0, 0, 3.09137e-18, 0, 0, 0
