   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_91.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0332536, 182, 0, 0, 13.5647, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0253585, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0174635, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00956841, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00167335, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00622171, 0, 5.38056e-24, 0, 1.41421, -5.38056e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12627e-26, 0, 0, 3.58713e-29, 0, 5.35926e-24, 0, 0, 0
0.0141168, 0, 1.54811e-23, 0, 1.41421, -1.54811e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11776e-26, 0, 0, 1.04454e-28, 0, 1.54198e-23, 0, 0, 0
0.0220118, 0, 4.3246e-23, 0, 1.41421, -4.3246e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70898e-25, 0, 0, 2.95367e-28, 0, 4.30748e-23, 0, 0, 0
0.0299069, 0, 1.17637e-22, 0, 1.41421, -1.17637e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64872e-25, 0, 0, 8.13424e-28, 0, 1.17171e-22, 0, 0, 0
0.0378019, 0, 3.12327e-22, 0, 1.41421, -3.12327e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23424e-24, 0, 0, 2.1868e-27, 0, 3.1109e-22, 0, 0, 0
0.045697, 0, 8.1094e-22, 0, 1.41421, -8.1094e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20465e-24, 0, 0, 5.75015e-27, 0, 8.0773e-22, 0, 0, 0
0.0535921, 0, 2.06241e-21, 0, 1.41421, -2.06241e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15017e-24, 0, 0, 1.48124e-26, 0, 2.05425e-21, 0, 0, 0
0.0614871, 0, 5.14463e-21, 0, 1.41421, -5.14463e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03304e-23, 0, 0, 3.74312e-26, 0, 5.12426e-21, 0, 0, 0
0.0693822, 0, 1.26016e-20, 0, 1.41421, -1.26016e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97985e-23, 0, 0, 9.2899e-26, 0, 1.25517e-20, 0, 0, 0
0.0772772, 0, 3.03404e-20, 0, 1.41421, -3.03404e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19898e-22, 0, 0, 2.26669e-25, 0, 3.02203e-20, 0, 0, 0
0.0851723, 0, 7.18652e-20, 0, 1.41421, -7.18652e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83994e-22, 0, 0, 5.44199e-25, 0, 7.15806e-20, 0, 0, 0
0.0930674, 0, 1.67588e-19, 0, 1.41421, -1.67588e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62269e-22, 0, 0, 1.28658e-24, 0, 1.66925e-19, 0, 0, 0
0.100962, 0, 3.85022e-19, 0, 1.41421, -3.85022e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52152e-21, 0, 0, 2.99727e-24, 0, 3.83498e-19, 0, 0, 0
