   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.164829, 0, 8.35649e-16, 0, 1.41421, -8.35649e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13012e-17, 0, 1.31848e-20, 0, 8.24147e-20, 0, 8.24252e-16, 0, 0, 0
0.172717, 0, 1.62034e-15, 0, 1.41421, -1.62034e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19132e-17, 0, 2.60188e-20, 0, 1.62855e-19, 0, 1.59823e-15, 0, 0, 0
0.180606, 0, 3.1114e-15, 0, 1.41421, -3.1114e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2078e-17, 0, 5.08636e-20, 0, 3.1882e-19, 0, 3.06895e-15, 0, 0, 0
0.188495, 0, 5.9175e-15, 0, 1.41421, -5.9175e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00269e-17, 0, 9.85138e-20, 0, 6.18476e-19, 0, 5.83676e-15, 0, 0, 0
0.196383, 0, 1.11484e-14, 0, 1.41421, -1.11484e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50767e-16, 0, 1.89072e-19, 0, 1.18909e-18, 0, 1.09962e-14, 0, 0, 0
0.204272, 0, 2.08082e-14, 0, 1.41421, -2.08082e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81402e-16, 0, 3.59632e-19, 0, 2.2662e-18, 0, 2.05241e-14, 0, 0, 0
0.212161, 0, 3.84816e-14, 0, 1.41421, -3.84816e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20408e-16, 0, 6.78062e-19, 0, 4.28204e-18, 0, 3.79562e-14, 0, 0, 0
0.220049, 0, 7.05205e-14, 0, 1.41421, -7.05205e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53686e-16, 0, 1.26741e-18, 0, 8.02306e-18, 0, 6.95576e-14, 0, 0, 0
0.227938, 0, 1.28076e-13, 0, 1.41421, -1.28076e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73203e-15, 0, 2.34889e-18, 0, 1.49086e-17, 0, 1.26327e-13, 0, 0, 0
0.235826, 0, 2.30541e-13, 0, 1.41421, -2.30541e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11771e-15, 0, 4.31688e-18, 0, 2.74794e-17, 0, 2.27392e-13, 0, 0, 0
0.243715, 0, 4.11335e-13, 0, 1.41421, -4.11335e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56266e-15, 0, 7.86859e-18, 0, 5.02475e-17, 0, 4.05714e-13, 0, 0, 0
0.251604, 0, 7.2752e-13, 0, 1.41421, -7.2752e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83861e-15, 0, 1.4227e-17, 0, 9.11647e-17, 0, 7.17576e-13, 0, 0, 0
0.259492, 0, 1.27564e-12, 0, 1.41421, -1.27564e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72513e-14, 0, 2.55201e-17, 0, 1.64146e-16, 0, 1.2582e-12, 0, 0, 0
0.267381, 0, 2.21756e-12, 0, 1.41421, -2.21756e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99898e-14, 0, 4.54233e-17, 0, 2.93346e-16, 0, 2.18723e-12, 0, 0, 0
0.275269, 0, 3.82221e-12, 0, 1.41421, -3.82221e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1692e-14, 0, 8.02389e-17, 0, 5.20416e-16, 0, 3.76992e-12, 0, 0, 0
0.283158, 0, 6.53239e-12, 0, 1.41421, -6.53239e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83477e-14, 0, 1.40697e-16, 0, 9.16668e-16, 0, 6.44298e-12, 0, 0, 0
0.291047, 0, 1.10706e-11, 0, 1.41421, -1.10706e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49733e-13, 0, 2.4495e-16, 0, 1.60342e-15, 0, 1.0919e-11, 0, 0, 0
0.298935, 0, 1.86055e-11, 0, 1.41421, -1.86055e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51662e-13, 0, 4.23527e-16, 0, 2.78576e-15, 0, 1.83506e-11, 0, 0, 0
0.306824, 0, 3.10095e-11, 0, 1.41421, -3.10095e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19483e-13, 0, 7.27461e-16, 0, 4.80831e-15, 0, 3.05845e-11, 0, 0, 0
0.314712, 0, 5.12578e-11, 0, 1.41421, -5.12578e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93482e-13, 0, 1.24166e-15, 0, 8.24712e-15, 0, 5.05548e-11, 0, 0, 0
0.322601, 0, 8.40337e-11, 1.4013e-43, 1.41421, -8.40337e-11, 0, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.13711e-12, 1.4013e-43, 2.10675e-15, 1.4013e-43, 1.40601e-14, 1.4013e-43, 8.28804e-11, 1.4013e-43, 1.4013e-43, 1.4013e-43
0.33049, 0, 1.36647e-10, 2.51673e-42, 1.41421, -1.36647e-10, 0, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 2.51673e-42, 1.84946e-12, 2.51673e-42, 3.55477e-15, 2.51673e-42, 2.38333e-14, 2.51673e-42, 1.3477e-10, 2.51673e-42, 2.51673e-42, 2.51673e-42
0.338378, 0, 2.204e-10, 3.74651e-41, 1.41421, -2.204e-10, 0, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 3.74651e-41, 2.98389e-12, 3.74651e-41, 5.96737e-15, 3.74651e-41, 4.01817e-14, 3.74651e-41, 2.1737e-10, 3.74651e-41, 3.74651e-41, 3.74651e-41
