   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_31.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0354675, 62, 0, 0, 8, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0275571, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0196467, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0117363, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00382593, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00408445, 0, 1.04312e-20, 0, 1.41421, -1.04312e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83882e-24, 0, 1.04293e-20, 0, 0, 0
0.0119948, 2, 2.32348e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1592e-24, 0, 2.32306e-20, 0, 0, 0
0.0199052, 0, 5.10353e-20, 0, 1.41421, -5.10353e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27791e-24, 0, 5.1026e-20, 0, 0, 0
0.0278156, 0, 1.10614e-19, 0, 1.41421, -1.10614e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04242e-23, 0, 1.10593e-19, 0, 0, 0
0.035726, 0, 2.45405e-19, 0, 1.41421, -2.45405e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63611e-23, 0, 2.45359e-19, 0, 0, 0
0.0436364, 0, 5.16926e-19, 0, 1.41421, -5.16926e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92007e-23, 0, 5.16827e-19, 0, 0, 0
0.0515467, 0, 1.07644e-18, 0, 1.41421, -1.07644e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09871e-22, 0, 1.07623e-18, 0, 0, 0
0.0594571, 0, 2.21683e-18, 0, 1.41421, -2.21683e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3917e-22, 0, 2.21639e-18, 0, 0, 0
