   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_303.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0320372, 606, 0, 0, 24.6577, 606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0241536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162701, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00838652, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00050297, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00738058, 0, 2.32248e-25, 0, 1.41421, -2.32248e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62743e-29, 0, 2.32232e-25, 0, 0, 0
0.0152641, 0, 7.48905e-25, 0, 1.41421, -7.48905e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53898e-29, 0, 7.4885e-25, 0, 0, 0
0.0231477, 0, 2.30788e-24, 0, 1.41421, -2.30788e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78564e-28, 0, 2.3077e-24, 0, 0, 0
0.0310312, 0, 6.8432e-24, 0, 1.41421, -6.8432e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50427e-28, 0, 6.84265e-24, 0, 0, 0
0.0389148, 0, 1.96212e-23, 0, 1.41421, -1.96212e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63323e-27, 0, 1.96195e-23, 0, 0, 0
