   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_296.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.213054, 0, 3.17534e-15, 0, 1.41421, -3.17534e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17534e-15, 0, 0, 0
0.220937, 0, 6.04379e-15, 0, 1.41421, -6.04379e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04379e-15, 0, 0, 0
0.22882, 0, 1.13909e-14, 0, 1.41421, -1.13909e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13909e-14, 0, 0, 0
0.236703, 0, 2.12612e-14, 0, 1.41421, -2.12612e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12612e-14, 0, 0, 0
0.244586, 0, 3.9305e-14, 0, 1.41421, -3.9305e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9305e-14, 0, 0, 0
0.252469, 0, 7.19751e-14, 0, 1.41421, -7.19751e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19751e-14, 0, 0, 0
0.260352, 0, 1.30567e-13, 0, 1.41421, -1.30567e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30567e-13, 0, 0, 0
0.268235, 0, 2.34657e-13, 0, 1.41421, -2.34657e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34657e-13, 0, 0, 0
0.276118, 0, 4.17857e-13, 0, 1.41421, -4.17857e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17857e-13, 0, 0, 0
0.284, 0, 7.37295e-13, 0, 1.41421, -7.37295e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37295e-13, 0, 0, 0
0.291883, 0, 1.28917e-12, 0, 1.41421, -1.28917e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28917e-12, 0, 0, 0
