   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_264.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315651, 528, 0, 0, 23.0217, 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236818, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157985, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00791522, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-3.19309e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00785135, 0, 8.04864e-24, 0, 1.41421, -8.04864e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23377e-27, 0, 0, 1.70779e-30, 0, 2.02618e-27, 0, 8.04138e-24, 0, 0, 0
0.0157346, 0, 2.26091e-23, 0, 1.41421, -2.26091e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47019e-26, 0, 0, 4.86118e-30, 0, 5.8844e-27, 0, 2.25885e-23, 0, 0, 0
0.0236179, 0, 6.16895e-23, 0, 1.41421, -6.16895e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0114e-26, 0, 0, 1.34426e-29, 0, 1.65431e-26, 0, 6.16328e-23, 0, 0, 0
0.0315012, 0, 1.63976e-22, 0, 1.41421, -1.63976e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06626e-25, 0, 0, 3.62179e-29, 0, 4.51886e-26, 0, 1.63824e-22, 0, 0, 0
0.0393845, 0, 4.25607e-22, 0, 1.41421, -4.25607e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7675e-25, 0, 0, 9.52952e-29, 0, 1.2028e-25, 0, 4.2521e-22, 0, 0, 0
