   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0387304, 226, 0, 0, 15.0997, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0308307, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.022931, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150313, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00713157, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000768124, 4, 3.94215e-25, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18825e-27, 0, 0, 0, 0, 3.91027e-25, 0, 0, 0
0.00866782, 4, 1.28299e-24, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03763e-26, 0, 0, 0, 0, 1.27261e-24, 0, 0, 0
0.0165675, 4, 3.98956e-24, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22659e-26, 0, 0, 0, 0, 3.95729e-24, 0, 0, 0
0.0244672, 4, 1.19339e-23, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65169e-26, 0, 0, 0, 0, 1.18374e-23, 0, 0, 0
0.0323669, 4, 3.45117e-23, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79116e-25, 0, 0, 0, 0, 3.42326e-23, 0, 0, 0
0.0402666, 0, 9.6853e-23, 0, 1.41421, -9.6853e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83308e-25, 0, 0, 0, 0, 9.60697e-23, 0, 0, 0
0.0481663, 0, 2.64552e-22, 0, 1.41421, -2.64552e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13959e-24, 0, 0, 0, 0, 2.62412e-22, 0, 0, 0
0.056066, 2, 7.05e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70175e-24, 0, 0, 0, 0, 6.99298e-22, 0, 0, 0
0.0639657, 2, 1.8365e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48529e-23, 0, 0, 0, 0, 1.82165e-21, 0, 0, 0
0.0718654, 2, 4.69177e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79451e-23, 0, 0, 0, 0, 4.65382e-21, 0, 0, 0
