   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.16798, 0, 5.36384e-16, 0, 1.41421, -5.36384e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29874e-18, 0, 2.35838e-20, 5.98744e-20, 0, 5.31002e-16, 0, 0, 0
0.175862, 0, 1.06376e-15, 0, 1.41421, -1.06376e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05085e-17, 0, 4.74194e-20, 1.21195e-19, 0, 1.05308e-15, 0, 0, 0
0.183745, 0, 2.08783e-15, 0, 1.41421, -2.08783e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06247e-17, 0, 9.43969e-20, 2.42849e-19, 0, 2.06687e-15, 0, 0, 0
0.191627, 0, 4.05609e-15, 0, 1.41421, -4.05609e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00682e-17, 0, 1.86082e-19, 4.81837e-19, 0, 4.01536e-15, 0, 0, 0
0.199509, 0, 7.80116e-15, 0, 1.41421, -7.80116e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70635e-17, 0, 3.63311e-19, 9.46837e-19, 0, 7.72278e-15, 0, 0, 0
0.207392, 0, 1.48563e-14, 0, 1.41421, -1.48563e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46757e-16, 0, 7.0267e-19, 1.84311e-18, 0, 1.4707e-14, 0, 0, 0
0.215274, 0, 2.80174e-14, 0, 1.41421, -2.80174e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76767e-16, 0, 1.34646e-18, 3.5548e-18, 0, 2.77357e-14, 0, 0, 0
0.223156, 0, 5.23314e-14, 0, 1.41421, -5.23314e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16947e-16, 0, 2.55669e-18, 6.79436e-18, 0, 5.18051e-14, 0, 0, 0
0.231039, 0, 9.68198e-14, 0, 1.41421, -9.68198e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56417e-16, 0, 4.81142e-18, 1.28715e-17, 0, 9.58457e-14, 0, 0, 0
0.238921, 0, 1.77452e-13, 0, 1.41421, -1.77452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75292e-15, 0, 8.97518e-18, 2.41729e-17, 0, 1.75666e-13, 0, 0, 0
