   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_180.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0311748, 360, 0, 0, 19.0263, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232897, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154045, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00751942, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000365703, 0, 1.77061e-24, 0, 1.41421, -1.77061e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.38854e-27, 0, 6.98794e-29, 0, 0, 1.76215e-24, 0, 0, 0
0.00825082, 0, 5.11606e-24, 0, 1.41421, -5.11606e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42381e-26, 0, 2.04798e-28, 0, 0, 5.09162e-24, 0, 0, 0
0.0161359, 0, 1.4305e-23, 0, 1.41421, -1.4305e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77721e-26, 0, 5.80956e-28, 0, 0, 1.42367e-23, 0, 0, 0
0.0240211, 0, 3.90997e-23, 0, 1.41421, -3.90997e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85241e-25, 0, 1.61472e-27, 0, 0, 3.89129e-23, 0, 0, 0
0.0319062, 0, 1.1525e-22, 0, 1.41421, -1.1525e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46011e-25, 0, 4.8898e-27, 0, 0, 1.14699e-22, 0, 0, 0
0.0397913, 0, 2.94917e-22, 0, 1.41421, -2.94917e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39721e-24, 0, 1.27023e-26, 0, 0, 2.93507e-22, 0, 0, 0
0.0476764, 0, 7.39018e-22, 0, 1.41421, -7.39018e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5012e-24, 0, 3.23084e-26, 0, 0, 7.35485e-22, 0, 0, 0
0.0555616, 0, 1.81615e-21, 0, 1.41421, -1.81615e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60424e-24, 0, 8.05857e-26, 0, 0, 1.80746e-21, 0, 0, 0
0.0634467, 0, 4.38251e-21, 0, 1.41421, -4.38251e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07627e-23, 0, 1.97362e-25, 0, 0, 4.36155e-21, 0, 0, 0
0.0713318, 0, 1.0395e-20, 0, 1.41421, -1.0395e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92478e-23, 0, 4.75125e-25, 0, 0, 1.03453e-20, 0, 0, 0
0.0792169, 0, 2.42578e-20, 0, 1.41421, -2.42578e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14924e-22, 0, 1.12536e-24, 0, 0, 2.41418e-20, 0, 0, 0
0.0871021, 0, 5.57372e-20, 0, 1.41421, -5.57372e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64062e-22, 0, 2.62468e-24, 0, 0, 5.54705e-20, 0, 0, 0
0.0949872, 0, 1.26184e-19, 0, 1.41421, -1.26184e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97811e-22, 0, 6.0321e-24, 0, 0, 1.2558e-19, 0, 0, 0
0.102872, 0, 2.81641e-19, 0, 1.41421, -2.81641e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33431e-21, 0, 1.36693e-23, 0, 0, 2.80293e-19, 0, 0, 0
0.110757, 0, 6.20097e-19, 0, 1.41421, -6.20097e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93778e-21, 0, 3.05606e-23, 0, 0, 6.17128e-19, 0, 0, 0
0.118643, 0, 1.34744e-18, 0, 1.41421, -1.34744e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38363e-21, 0, 6.74431e-23, 0, 0, 1.34099e-18, 0, 0, 0
0.126528, 0, 2.89093e-18, 0, 1.41421, -2.89093e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36961e-20, 0, 1.46986e-22, 0, 0, 2.87708e-18, 0, 0, 0
0.134413, 0, 6.12657e-18, 0, 1.41421, -6.12657e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90252e-20, 0, 3.1649e-22, 0, 0, 6.09723e-18, 0, 0, 0
0.142298, 0, 1.28295e-17, 0, 1.41421, -1.28295e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07809e-20, 0, 6.73532e-22, 0, 0, 1.2768e-17, 0, 0, 0
0.150183, 0, 2.65556e-17, 0, 1.41421, -2.65556e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25809e-19, 0, 1.41717e-21, 0, 0, 2.64284e-17, 0, 0, 0
0.158068, 0, 5.43484e-17, 0, 1.41421, -5.43484e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5748e-19, 0, 2.94909e-21, 0, 0, 5.4088e-17, 0, 0, 0
0.165953, 0, 1.10007e-16, 0, 1.41421, -1.10007e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21168e-19, 0, 6.07131e-21, 0, 0, 1.0948e-16, 0, 0, 0
0.173838, 0, 2.20276e-16, 0, 1.41421, -2.20276e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04357e-18, 0, 1.23686e-20, 0, 0, 2.1922e-16, 0, 0, 0
0.181724, 0, 4.36433e-16, 0, 1.41421, -4.36433e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06763e-18, 0, 2.49405e-20, 0, 0, 4.34341e-16, 0, 0, 0
0.189609, 0, 8.55784e-16, 0, 1.41421, -8.55784e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05432e-18, 0, 4.97887e-20, 0, 0, 8.5168e-16, 0, 0, 0
0.197494, 0, 1.66106e-15, 0, 1.41421, -1.66106e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86932e-18, 0, 9.84197e-20, 0, 0, 1.65309e-15, 0, 0, 0
0.205379, 0, 3.19191e-15, 0, 1.41421, -3.19191e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51217e-17, 0, 1.92681e-19, 0, 0, 3.1766e-15, 0, 0, 0
0.213264, 0, 6.07336e-15, 0, 1.41421, -6.07336e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87726e-17, 0, 3.73655e-19, 0, 0, 6.04422e-15, 0, 0, 0
0.221149, 0, 1.1444e-14, 0, 1.41421, -1.1444e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42158e-17, 0, 7.17869e-19, 0, 0, 1.13891e-14, 0, 0, 0
0.229034, 0, 2.13576e-14, 0, 1.41421, -2.13576e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01181e-16, 0, 1.36663e-18, 0, 0, 2.1255e-14, 0, 0, 0
0.236919, 0, 3.9482e-14, 0, 1.41421, -3.9482e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87044e-16, 0, 2.57836e-18, 0, 0, 3.92923e-14, 0, 0, 0
0.244805, 0, 7.23042e-14, 0, 1.41421, -7.23042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42537e-16, 0, 4.82163e-18, 0, 0, 7.19569e-14, 0, 0, 0
0.25269, 0, 1.31186e-13, 0, 1.41421, -1.31186e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21487e-16, 0, 8.93852e-18, 0, 0, 1.30556e-13, 0, 0, 0
0.260575, 0, 2.35837e-13, 0, 1.41421, -2.35837e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11727e-15, 0, 1.64296e-17, 0, 0, 2.34704e-13, 0, 0, 0
0.26846, 0, 4.20115e-13, 0, 1.41421, -4.20115e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99028e-15, 0, 2.9947e-17, 0, 0, 4.18095e-13, 0, 0, 0
0.276345, 0, 7.41634e-13, 0, 1.41421, -7.41634e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51351e-15, 0, 5.41405e-17, 0, 0, 7.38066e-13, 0, 0, 0
0.28423, 0, 1.2975e-12, 0, 1.41421, -1.2975e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14705e-15, 0, 9.71006e-17, 0, 0, 1.29125e-12, 0, 0, 0
0.292115, 0, 2.24982e-12, 0, 1.41421, -2.24982e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06591e-14, 0, 1.72803e-16, 0, 0, 2.23899e-12, 0, 0, 0
0.3, 0, 3.86669e-12, 0, 1.41421, -3.86669e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83203e-14, 0, 3.05223e-16, 0, 0, 3.84807e-12, 0, 0, 0
0.307885, 0, 6.59097e-12, 0, 1.41421, -6.59097e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12304e-14, 0, 5.3634e-16, 0, 0, 6.55921e-12, 0, 0, 0
0.315771, 0, 1.11296e-11, 0, 1.41421, -1.11296e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27409e-14, 0, 9.34047e-16, 0, 0, 1.1076e-11, 0, 0, 0
0.323656, 0, 1.86312e-11, 9.24857e-44, 1.41421, -1.86312e-11, 0, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 8.83001e-14, 9.24857e-44, 1.61608e-15, 9.24857e-44, 9.24857e-44, 1.85413e-11, 9.24857e-44, 9.24857e-44, 9.24857e-44
0.331541, 0, 3.0921e-11, 1.63532e-42, 1.41421, -3.0921e-11, 0, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.4657e-13, 1.63532e-42, 2.77909e-15, 1.63532e-42, 1.63532e-42, 3.07717e-11, 1.63532e-42, 1.63532e-42, 1.63532e-42
0.339426, 0, 5.08792e-11, 2.40295e-41, 1.41421, -5.08792e-11, 0, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.40295e-41, 2.41226e-13, 2.40295e-41, 4.75197e-15, 2.40295e-41, 2.40295e-41, 5.06332e-11, 2.40295e-41, 2.40295e-41, 2.40295e-41
0.347311, 0, 8.3008e-11, 3.12694e-40, 1.41421, -8.3008e-11, 0, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.12694e-40, 3.93662e-13, 3.12694e-40, 8.08328e-15, 3.12694e-40, 3.12694e-40, 8.26063e-11, 3.12694e-40, 3.12694e-40, 3.12694e-40
0.355196, 0, 1.34282e-10, 3.63611e-39, 1.41421, -1.34282e-10, 0, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 3.63611e-39, 6.37048e-13, 3.63611e-39, 1.36859e-14, 3.63611e-39, 3.63611e-39, 1.33631e-10, 3.63611e-39, 3.63611e-39, 3.63611e-39
0.363081, 0, 2.15402e-10, 3.81689e-38, 1.41421, -2.15402e-10, 0, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 3.81689e-38, 1.02235e-12, 3.81689e-38, 2.30766e-14, 3.81689e-38, 3.81689e-38, 2.14356e-10, 3.81689e-38, 3.81689e-38, 3.81689e-38
0.370966, 0, 3.42643e-10, 3.63508e-37, 1.41421, -3.42643e-10, 0, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 3.63508e-37, 1.62717e-12, 3.63508e-37, 3.87737e-14, 3.63508e-37, 3.63508e-37, 3.40977e-10, 3.63508e-37, 3.63508e-37, 3.63508e-37
0.378852, 0, 5.40522e-10, 3.16284e-36, 1.41421, -5.40522e-10, 0, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 3.16284e-36, 2.56867e-12, 3.16284e-36, 6.4956e-14, 3.16284e-36, 3.16284e-36, 5.37889e-10, 3.16284e-36, 3.16284e-36, 3.16284e-36
0.386737, 0, 8.45643e-10, 2.52412e-35, 1.41421, -8.45643e-10, 0, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 2.52412e-35, 4.02212e-12, 2.52412e-35, 1.08559e-13, 2.52412e-35, 2.52412e-35, 8.41513e-10, 2.52412e-35, 2.52412e-35, 2.52412e-35
0.394622, 0, 1.31216e-09, 1.85596e-34, 1.41421, -1.31216e-09, 0, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 1.85596e-34, 6.24762e-12, 1.85596e-34, 1.81095e-13, 1.85596e-34, 1.85596e-34, 1.30573e-09, 1.85596e-34, 1.85596e-34, 1.85596e-34
0.402507, 0, 2.01947e-09, 1.28654e-33, 1.41421, -2.01947e-09, 0, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 1.28654e-33, 9.62775e-12, 1.28654e-33, 3.01677e-13, 1.28654e-33, 1.28654e-33, 2.00954e-09, 1.28654e-33, 1.28654e-33, 1.28654e-33
0.410392, 0, 3.08291e-09, 7.56682e-33, 1.41421, -3.08291e-09, 0, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 7.56682e-33, 1.47207e-11, 7.56682e-33, 5.02032e-13, 7.56682e-33, 7.56682e-33, 3.06769e-09, 7.56682e-33, 7.56682e-33, 7.56682e-33
0.418277, 0, 4.66859e-09, 4.52045e-32, 1.41421, -4.66859e-09, 0, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 4.52045e-32, 2.23342e-11, 4.52045e-32, 8.34811e-13, 4.52045e-32, 4.52045e-32, 4.64542e-09, 4.52045e-32, 4.52045e-32, 4.52045e-32
0.426162, 0, 7.01355e-09, 2.41331e-31, 1.41421, -7.01355e-09, 0, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 2.41331e-31, 3.36281e-11, 2.41331e-31, 1.38728e-12, 2.41331e-31, 2.41331e-31, 6.97854e-09, 2.41331e-31, 2.41331e-31, 2.41331e-31
0.434047, 0, 1.04532e-08, 1.26313e-30, 1.41421, -1.04532e-08, 0, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 1.26313e-30, 5.02548e-11, 1.26313e-30, 2.30382e-12, 1.26313e-30, 1.26313e-30, 1.04006e-08, 1.26313e-30, 1.26313e-30, 1.26313e-30
0.441933, 0, 1.54577e-08, 6.31848e-30, 1.41421, -1.54577e-08, 0, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 6.31848e-30, 7.45506e-11, 6.31848e-30, 3.82273e-12, 6.31848e-30, 6.31848e-30, 1.53793e-08, 6.31848e-30, 6.31848e-30, 6.31848e-30
0.449818, 0, 2.26808e-08, 2.99377e-29, 1.41421, -2.26808e-08, 0, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 2.99377e-29, 1.09795e-10, 2.99377e-29, 6.33599e-12, 2.99377e-29, 2.99377e-29, 2.25647e-08, 2.99377e-29, 2.99377e-29, 2.99377e-29
0.457703, 0, 3.30235e-08, 1.3723e-28, 1.41421, -3.30235e-08, 0, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.3723e-28, 1.6056e-10, 1.3723e-28, 1.04857e-11, 1.3723e-28, 1.3723e-28, 3.28525e-08, 1.3723e-28, 1.3723e-28, 1.3723e-28
0.465588, 0, 4.77171e-08, 6.03299e-28, 1.41421, -4.77171e-08, 0, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 6.03299e-28, 2.33172e-10, 6.03299e-28, 1.73183e-11, 6.03299e-28, 6.03299e-28, 4.74666e-08, 6.03299e-28, 6.03299e-28, 6.03299e-28
0.473473, 0, 6.84299e-08, 2.53194e-27, 1.41421, -6.84299e-08, 0, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 2.53194e-27, 3.36334e-10, 2.53194e-27, 2.85301e-11, 2.53194e-27, 2.53194e-27, 6.8065e-08, 2.53194e-27, 2.53194e-27, 2.53194e-27
0.481358, 0, 9.74039e-08, 1.01456e-26, 1.41421, -9.74039e-08, 0, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 1.01456e-26, 4.81931e-10, 1.01456e-26, 4.68535e-11, 1.01456e-26, 1.01456e-26, 9.68751e-08, 1.01456e-26, 1.01456e-26, 1.01456e-26
0.489243, 0, 1.37628e-07, 3.88528e-26, 1.41421, -1.37628e-07, 0, 3.88528e-26, 3.88528e-26, 3.88528e-26, 3.88528e-26, 3.88528e-26, 3.88528e-26, 9.87678e-13, 3.88528e-26, 3.88528e-26, 3.88528e-26, 6.86101e-10, 3.88528e-26, 7.66587e-11, 3.88528e-26, 3.88528e-26, 1.36864e-07, 3.88528e-26, 3.88528e-26, 3.88528e-26
0.497128, 0, 1.93051e-07, 1.42427e-25, 1.41421, -1.93051e-07, 0, 1.42427e-25, 1.42427e-25, 1.42427e-25, 1.42427e-25, 1.42427e-25, 1.42427e-25, 3.44713e-12, 1.42427e-25, 1.42427e-25, 1.42427e-25, 9.70614e-10, 1.42427e-25, 1.24886e-10, 1.42427e-25, 1.42427e-25, 1.91952e-07, 1.42427e-25, 1.42427e-25, 1.42427e-25
0.505014, 0, 2.68853e-07, 5.0412e-25, 1.41421, -2.68853e-07, 0, 5.0412e-25, 5.0412e-25, 5.0412e-25, 5.0412e-25, 5.0412e-25, 5.0412e-25, 9.36614e-12, 5.0412e-25, 5.0412e-25, 5.0412e-25, 1.36466e-09, 5.0412e-25, 2.02469e-10, 5.0412e-25, 5.0412e-25, 2.67277e-07, 5.0412e-25, 5.0412e-25, 5.0412e-25
0.512899, 0, 3.74006e-07, 1.94619e-10, 1.41421, -3.74006e-07, 1.94619e-10, 1.94626e-10, 1.94713e-10, 9.7036e-10, 2.1456e-10, 1.97913e-10, 2.08181e-10, 2.64419e-10, 2.13069e-10, 1.9571e-10, 1.27852e-09, 2.10178e-09, 1.9818e-10, 5.21115e-10, 1.94619e-10, 1.94621e-10, 3.69763e-07, 1.94619e-10, 1.94619e-10, 2.14444e-10
0.520784, 0, 5.18249e-07, 6.69282e-10, 1.41421, -5.18249e-07, 6.69282e-10, 6.69306e-10, 6.69607e-10, 3.36148e-09, 7.38487e-10, 6.80715e-10, 7.16349e-10, 8.85679e-10, 7.33312e-10, 6.73069e-10, 4.43093e-09, 3.31893e-09, 6.81639e-10, 1.19281e-09, 6.69282e-10, 6.69289e-10, 5.08129e-07, 6.69282e-10, 6.69282e-10, 7.38084e-10
0.528669, 0, 7.17243e-07, 1.79777e-09, 1.41421, -7.17243e-07, 1.79777e-09, 1.79783e-09, 1.79865e-09, 9.07582e-09, 1.98485e-09, 1.82867e-09, 1.92501e-09, 2.3594e-09, 1.97086e-09, 1.808e-09, 1.1967e-08, 5.45772e-09, 1.83117e-09, 2.63201e-09, 1.79777e-09, 1.79779e-09, 6.93991e-07, 1.79777e-09, 1.79777e-09, 1.98376e-09
0.536554, 0, 9.95001e-07, 4.41662e-09, 1.41421, -9.95001e-07, 4.41662e-09, 4.41678e-09, 4.41879e-09, 2.2363e-08, 4.87795e-09, 4.49284e-09, 4.73038e-09, 5.76978e-09, 4.84345e-09, 4.44187e-09, 2.94921e-08, 9.4434e-09, 4.499e-09, 5.73733e-09, 4.41662e-09, 4.41667e-09, 9.42432e-07, 4.41662e-09, 4.41662e-09, 4.87526e-09
0.544439, 0, 1.39094e-06, 1.03405e-08, 1.41421, -1.39094e-06, 1.03405e-08, 1.03409e-08, 1.03456e-08, 5.24539e-08, 1.14231e-08, 1.05194e-08, 1.10768e-08, 1.34614e-08, 1.13421e-08, 1.03998e-08, 6.91831e-08, 1.7206e-08, 1.05338e-08, 1.24171e-08, 1.03405e-08, 1.03407e-08, 1.27359e-06, 1.03405e-08, 1.03405e-08, 1.14168e-08
0.552324, 0, 1.97348e-06, 2.3402e-08, 1.41421, -1.97348e-06, 2.3402e-08, 2.34028e-08, 2.34135e-08, 1.18859e-07, 2.58558e-08, 2.38074e-08, 2.50708e-08, 3.08518e-08, 2.56723e-08, 2.35362e-08, 1.56778e-07, 3.27271e-08, 2.38401e-08, 2.6644e-08, 2.3402e-08, 2.34022e-08, 1.71481e-06, 2.3402e-08, 2.3402e-08, 2.58415e-08
0.560209, 0, 2.86495e-06, 5.1475e-08, 1.41421, -2.86495e-06, 5.1475e-08, 5.14768e-08, 5.15004e-08, 2.61703e-07, 5.68791e-08, 5.23678e-08, 5.51504e-08, 6.87606e-08, 5.64749e-08, 5.17707e-08, 3.45215e-07, 6.40718e-08, 5.24399e-08, 5.65e-08, 5.1475e-08, 5.14756e-08, 2.30444e-06, 5.1475e-08, 5.1475e-08, 5.68476e-08
