   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_211.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.221106, 0, 6.3171e-21, 0, 1.41421, -6.3171e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06796e-23, 0, 0, 3.97319e-26, 0, 0, 6.30638e-21, 0, 0, 0
0.229, 0, 2.06213e-20, 0, 1.41421, -2.06213e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48622e-23, 0, 0, 1.3095e-25, 0, 0, 2.05863e-20, 0, 0, 0
0.236895, 0, 6.52994e-20, 0, 1.41421, -6.52994e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10394e-22, 0, 0, 4.18778e-25, 0, 0, 6.51886e-20, 0, 0, 0
0.244789, 0, 2.00972e-19, 0, 1.41421, -2.00972e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39761e-22, 0, 0, 1.30204e-24, 0, 0, 2.00631e-19, 0, 0, 0
0.252683, 0, 6.02129e-19, 0, 1.41421, -6.02129e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01795e-21, 0, 0, 3.94212e-24, 0, 0, 6.01107e-19, 0, 0, 0
0.260578, 0, 1.75856e-18, 0, 1.41421, -1.75856e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.973e-21, 0, 0, 1.16384e-23, 0, 0, 1.75558e-18, 0, 0, 0
0.268472, 0, 5.01236e-18, 0, 1.41421, -5.01236e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47382e-21, 0, 0, 3.35449e-23, 0, 0, 5.00385e-18, 0, 0, 0
0.276366, 0, 1.39564e-17, 0, 1.41421, -1.39564e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35946e-20, 0, 0, 9.44866e-23, 0, 0, 1.39327e-17, 0, 0, 0
0.284261, 0, 3.79962e-17, 0, 1.41421, -3.79962e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42357e-20, 0, 0, 2.60327e-22, 0, 0, 3.79317e-17, 0, 0, 0
0.292155, 0, 1.01221e-16, 0, 1.41421, -1.01221e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71123e-19, 0, 0, 7.02132e-22, 0, 0, 1.0105e-16, 0, 0, 0
0.300049, 0, 2.67816e-16, 0, 1.41421, -2.67816e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52762e-19, 0, 0, 1.88655e-21, 0, 0, 2.67361e-16, 0, 0, 0
0.307944, 0, 6.83037e-16, 0, 1.41421, -6.83037e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15471e-18, 0, 0, 4.87505e-21, 0, 0, 6.81878e-16, 0, 0, 0
0.315838, 0, 1.70831e-15, 0, 1.41421, -1.70831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88797e-18, 0, 0, 1.23605e-20, 0, 0, 1.70541e-15, 0, 0, 0
0.323732, 0, 4.19186e-15, 0, 1.41421, -4.19186e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08645e-18, 0, 0, 3.07648e-20, 0, 0, 4.18475e-15, 0, 0, 0
0.331627, 0, 1.00962e-14, 0, 1.41421, -1.00962e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70676e-17, 0, 0, 7.52046e-20, 0, 0, 1.0079e-14, 0, 0, 0
0.339521, 0, 2.38773e-14, 0, 1.41421, -2.38773e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03637e-17, 0, 0, 1.80631e-19, 0, 0, 2.38367e-14, 0, 0, 0
0.347415, 0, 5.54695e-14, 0, 1.41421, -5.54695e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37671e-17, 0, 0, 4.26463e-19, 0, 0, 5.53753e-14, 0, 0, 0
0.355309, 0, 1.2662e-13, 0, 1.41421, -1.2662e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14036e-16, 0, 0, 9.90143e-19, 0, 0, 1.26405e-13, 0, 0, 0
0.363204, 0, 2.84097e-13, 0, 1.41421, -2.84097e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80214e-16, 0, 0, 2.26158e-18, 0, 0, 2.83614e-13, 0, 0, 0
0.371098, 0, 6.26703e-13, 0, 1.41421, -6.26703e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05929e-15, 0, 0, 5.08383e-18, 0, 0, 6.25639e-13, 0, 0, 0
0.378992, 0, 1.35955e-12, 0, 1.41421, -1.35955e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29789e-15, 0, 0, 1.12514e-17, 0, 0, 1.35724e-12, 0, 0, 0
0.386887, 0, 2.90114e-12, 0, 1.41421, -2.90114e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90324e-15, 0, 0, 2.45272e-17, 0, 0, 2.89621e-12, 0, 0, 0
0.394781, 0, 6.09079e-12, 3.05483e-43, 1.41421, -6.09079e-12, 0, 3.05483e-43, 3.05483e-43, 3.05483e-43, 3.05483e-43, 3.05483e-43, 3.05483e-43, 3.05483e-43, 3.05483e-43, 1.02936e-14, 3.05483e-43, 3.05483e-43, 5.26893e-17, 3.05483e-43, 3.05483e-43, 6.08044e-12, 3.05483e-43, 3.05483e-43, 3.05483e-43
