   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_162.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0360678, 324, 0, 0, 18.0555, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0281768, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202858, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123948, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00450378, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00338722, 0, 1.05789e-24, 0, 1.41421, -1.05789e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51461e-27, 0, 0, 0, 1.89418e-28, 0, 1.05519e-24, 0, 0, 0
0.0112782, 0, 3.19827e-24, 0, 1.41421, -3.19827e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60226e-27, 0, 0, 0, 5.86611e-28, 0, 3.19008e-24, 0, 0, 0
0.0191692, 0, 9.31414e-24, 0, 1.41421, -9.31414e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21396e-26, 0, 0, 0, 1.7467e-27, 0, 9.29025e-24, 0, 0, 0
0.0270602, 0, 2.62616e-23, 0, 1.41421, -2.62616e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.24231e-26, 0, 0, 0, 5.02857e-27, 0, 2.61941e-23, 0, 0, 0
0.0349512, 0, 7.19578e-23, 0, 1.41421, -7.19578e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71041e-25, 0, 0, 0, 1.40543e-26, 0, 7.17727e-23, 0, 0, 0
0.0428422, 0, 1.92162e-22, 0, 1.41421, -1.92162e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56761e-25, 0, 0, 0, 3.82534e-26, 0, 1.91667e-22, 0, 0, 0
0.0507332, 0, 5.01289e-22, 0, 1.41421, -5.01289e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19154e-24, 0, 0, 0, 1.01648e-25, 0, 4.99996e-22, 0, 0, 0
