   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_297.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.181007, 0, 1.44209e-16, 0, 1.41421, -1.44209e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59057e-21, 0, 8.67388e-20, 0, 1.44119e-16, 0, 0, 0
0.188891, 0, 2.87744e-16, 0, 1.41421, -2.87744e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28649e-21, 0, 1.76247e-19, 0, 2.87561e-16, 0, 0, 0
0.196774, 0, 5.68157e-16, 0, 1.41421, -5.68157e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4638e-20, 0, 3.54519e-19, 0, 5.67788e-16, 0, 0, 0
0.204658, 0, 1.11032e-15, 0, 1.41421, -1.11032e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91156e-20, 0, 7.06087e-19, 0, 1.10959e-15, 0, 0, 0
0.212541, 0, 2.1479e-15, 0, 1.41421, -2.1479e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7349e-20, 0, 1.39272e-18, 0, 2.14645e-15, 0, 0, 0
0.220425, 0, 4.11358e-15, 0, 1.41421, -4.11358e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11878e-19, 0, 2.72106e-18, 0, 4.11075e-15, 0, 0, 0
0.228308, 0, 7.80053e-15, 0, 1.41421, -7.80053e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16205e-19, 0, 5.26696e-18, 0, 7.79505e-15, 0, 0, 0
0.236191, 0, 1.46479e-14, 0, 1.41421, -1.46479e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1395e-19, 0, 1.01019e-17, 0, 1.46374e-14, 0, 0, 0
0.244075, 0, 2.72408e-14, 0, 1.41421, -2.72408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85333e-19, 0, 1.92014e-17, 0, 2.72208e-14, 0, 0, 0
0.251958, 0, 5.01765e-14, 0, 1.41421, -5.01765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47656e-18, 0, 3.61761e-17, 0, 5.01389e-14, 0, 0, 0
0.259842, 0, 9.15498e-14, 0, 1.41421, -9.15498e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75171e-18, 0, 6.75678e-17, 0, 9.14795e-14, 0, 0, 0
0.267725, 0, 1.65472e-13, 0, 1.41421, -1.65472e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08371e-18, 0, 1.25127e-16, 0, 1.65342e-13, 0, 0, 0
0.275608, 0, 2.96307e-13, 0, 1.41421, -2.96307e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3124e-18, 0, 2.29797e-16, 0, 2.96067e-13, 0, 0, 0
0.283492, 0, 5.25698e-13, 0, 1.41421, -5.25698e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69171e-17, 0, 4.18587e-16, 0, 5.25262e-13, 0, 0, 0
0.291375, 0, 9.24146e-13, 0, 1.41421, -9.24146e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04838e-17, 0, 7.56396e-16, 0, 9.23359e-13, 0, 0, 0
0.299259, 0, 1.60984e-12, 0, 1.41421, -1.60984e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44992e-17, 0, 1.35618e-15, 0, 1.60843e-12, 0, 0, 0
0.307142, 0, 2.77901e-12, 0, 1.41421, -2.77901e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.66947e-17, 0, 2.41311e-15, 0, 2.7765e-12, 0, 0, 0
0.315026, 0, 4.75433e-12, 0, 1.41421, -4.75433e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70312e-16, 0, 4.26214e-15, 0, 4.74989e-12, 0, 0, 0
0.322909, 0, 8.06127e-12, 0, 1.41421, -8.06127e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97894e-16, 0, 7.47439e-15, 0, 8.0535e-12, 0, 0, 0
0.330792, 0, 1.35475e-11, 1.079e-43, 1.41421, -1.35475e-11, 0, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 5.17624e-16, 1.079e-43, 1.30179e-14, 1.079e-43, 1.3534e-11, 1.079e-43, 1.079e-43, 1.079e-43
0.338676, 0, 2.25672e-11, 1.93659e-42, 1.41421, -2.25672e-11, 0, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 1.93659e-42, 8.93901e-16, 1.93659e-42, 2.25248e-14, 1.93659e-42, 2.25438e-11, 1.93659e-42, 1.93659e-42, 1.93659e-42
0.346559, 0, 3.72635e-11, 2.88878e-41, 1.41421, -3.72635e-11, 0, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 2.88878e-41, 1.53493e-15, 2.88878e-41, 3.87331e-14, 2.88878e-41, 3.72232e-11, 2.88878e-41, 2.88878e-41, 2.88878e-41
0.354443, 0, 6.09956e-11, 3.78747e-40, 1.41421, -6.09956e-11, 0, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 3.78747e-40, 2.62202e-15, 3.78747e-40, 6.62179e-14, 3.78747e-40, 6.09268e-11, 3.78747e-40, 3.78747e-40, 3.78747e-40
