   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.030254, 310, 0, 0, 17.6635, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223699, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144857, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0066015, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00128268, 0, 3.78781e-22, 0, 1.41421, -3.78781e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58184e-27, 0, 2.40449e-25, 0, 3.78534e-22, 0, 0
0.00916686, 0, 9.1227e-22, 0, 1.41421, -9.1227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61157e-26, 0, 5.91036e-25, 0, 9.11663e-22, 0, 0
0.017051, 0, 2.1581e-21, 0, 1.41421, -2.1581e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87578e-26, 0, 1.42557e-24, 0, 2.15663e-21, 0, 0
0.0249352, 0, 5.02022e-21, 0, 1.41421, -5.02022e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16586e-26, 0, 3.37846e-24, 0, 5.01675e-21, 0, 0
0.0328194, 0, 1.14945e-20, 0, 1.41421, -1.14945e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1336e-25, 0, 7.87564e-24, 0, 1.14864e-20, 0, 0
0.0407036, 0, 2.72101e-20, 0, 1.41421, -2.72101e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17682e-25, 0, 1.91212e-23, 0, 2.71905e-20, 0, 0
0.0485877, 0, 6.01975e-20, 0, 1.41421, -6.01975e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16397e-24, 0, 4.30056e-23, 0, 6.01533e-20, 0, 0
0.0564719, 0, 1.31471e-19, 0, 1.41421, -1.31471e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58445e-24, 0, 9.54851e-23, 0, 1.31373e-19, 0, 0
0.0643561, 0, 2.83529e-19, 0, 1.41421, -2.83529e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66685e-24, 0, 2.09304e-22, 0, 2.83314e-19, 0, 0
0.0722403, 0, 6.04061e-19, 0, 1.41421, -6.04061e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22765e-23, 0, 4.53195e-22, 0, 6.03596e-19, 0, 0
0.0801245, 0, 1.27192e-18, 0, 1.41421, -1.27192e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62875e-23, 0, 9.69762e-22, 0, 1.27092e-18, 0, 0
0.0880086, 0, 2.64787e-18, 0, 1.41421, -2.64787e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56594e-23, 0, 2.05167e-21, 0, 2.64576e-18, 0, 0
0.0958928, 0, 5.45172e-18, 0, 1.41421, -5.45172e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16571e-22, 0, 4.29314e-21, 0, 5.44731e-18, 0, 0
0.103777, 0, 1.11046e-17, 0, 1.41421, -1.11046e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41567e-22, 0, 8.88839e-21, 0, 1.10954e-17, 0, 0
0.111661, 0, 2.23829e-17, 0, 1.41421, -2.23829e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95455e-22, 0, 1.82132e-20, 0, 2.23642e-17, 0, 0
0.119545, 0, 4.46566e-17, 0, 1.41421, -4.46566e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00602e-21, 0, 3.69484e-20, 0, 4.46187e-17, 0, 0
0.12743, 0, 8.82078e-17, 0, 1.41421, -8.82078e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02273e-21, 0, 7.42275e-20, 0, 8.81316e-17, 0, 0
0.135314, 0, 1.72531e-16, 0, 1.41421, -1.72531e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02808e-21, 0, 1.47707e-19, 0, 1.72379e-16, 0, 0
0.143198, 0, 3.34231e-16, 0, 1.41421, -3.34231e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94641e-21, 0, 2.91207e-19, 0, 3.33932e-16, 0, 0
0.151082, 0, 6.41389e-16, 0, 1.41421, -6.41389e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55323e-20, 0, 5.68936e-19, 0, 6.40804e-16, 0, 0
0.158966, 0, 1.21943e-15, 0, 1.41421, -1.21943e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0086e-20, 0, 1.10172e-18, 0, 1.2183e-15, 0, 0
0.16685, 0, 2.2973e-15, 0, 1.41421, -2.2973e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77602e-20, 0, 2.11501e-18, 0, 2.29513e-15, 0, 0
0.174735, 0, 4.28906e-15, 0, 1.41421, -4.28906e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09923e-19, 0, 4.02586e-18, 0, 4.28492e-15, 0, 0
0.182619, 0, 7.93675e-15, 0, 1.41421, -7.93675e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07401e-19, 0, 7.59956e-18, 0, 7.92894e-15, 0, 0
0.190503, 0, 1.45583e-14, 0, 1.41421, -1.45583e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88011e-19, 0, 1.42289e-17, 0, 1.45436e-14, 0, 0
0.198387, 0, 2.64733e-14, 0, 1.41421, -2.64733e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19892e-19, 0, 2.64289e-17, 0, 2.64462e-14, 0, 0
0.206271, 0, 4.77292e-14, 0, 1.41421, -4.77292e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32474e-18, 0, 4.8705e-17, 0, 4.76792e-14, 0, 0
0.214155, 0, 8.53246e-14, 0, 1.41421, -8.53246e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41819e-18, 0, 8.90677e-17, 0, 8.52331e-14, 0, 0
0.22204, 0, 1.51258e-13, 0, 1.41421, -1.51258e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37928e-18, 0, 1.61651e-16, 0, 1.51092e-13, 0, 0
0.229924, 0, 2.65918e-13, 0, 1.41421, -2.65918e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86909e-18, 0, 2.91211e-16, 0, 2.65618e-13, 0, 0
0.237808, 0, 4.63656e-13, 0, 1.41421, -4.63656e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40319e-17, 0, 5.20794e-16, 0, 4.63121e-13, 0, 0
0.245692, 0, 8.01849e-13, 0, 1.41421, -8.01849e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48334e-17, 0, 9.24794e-16, 0, 8.00899e-13, 0, 0
0.253576, 0, 1.37552e-12, 0, 1.41421, -1.37552e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36271e-17, 0, 1.63076e-15, 0, 1.37384e-12, 0, 0
0.261461, 0, 2.34067e-12, 0, 1.41421, -2.34067e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60935e-17, 0, 2.85603e-15, 0, 2.33774e-12, 0, 0
0.269345, 0, 3.9513e-12, 0, 1.41421, -3.9513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31791e-16, 0, 4.96859e-15, 0, 3.9462e-12, 0, 0
0.277229, 0, 6.61743e-12, 0, 1.41421, -6.61743e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26708e-16, 0, 8.58764e-15, 0, 6.60862e-12, 0, 0
