   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_311.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315343, 622, 0, 0, 24.98, 622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236523, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157702, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00788821, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-6.17886e-06, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00787585, 0, 3.26007e-23, 0, 1.41421, -3.26007e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51398e-26, 0, 4.34718e-28, 4.02246e-27, 0, 3.25711e-23, 0, 0, 0
0.0157579, 0, 8.75825e-23, 0, 1.41421, -8.75825e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75384e-26, 0, 1.18237e-27, 1.10893e-26, 0, 8.75026e-23, 0, 0, 0
0.0236399, 0, 2.29356e-22, 0, 1.41421, -2.29356e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76865e-25, 0, 3.13477e-27, 2.97402e-26, 0, 2.29146e-22, 0, 0, 0
0.0315219, 0, 5.86863e-22, 0, 1.41421, -5.86863e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52551e-25, 0, 8.12117e-27, 7.781e-26, 0, 5.86325e-22, 0, 0, 0
0.039404, 0, 1.47005e-21, 0, 1.41421, -1.47005e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13361e-24, 0, 2.05988e-26, 1.99049e-25, 0, 1.4687e-21, 0, 0, 0
0.047286, 0, 3.61067e-21, 0, 1.41421, -3.61067e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7843e-24, 0, 5.12361e-26, 4.98789e-25, 0, 3.60733e-21, 0, 0, 0
0.055168, 0, 8.70718e-21, 0, 1.41421, -8.70718e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71436e-24, 0, 1.25144e-25, 1.2262e-24, 0, 8.69912e-21, 0, 0, 0
0.06305, 0, 2.06393e-20, 0, 1.41421, -2.06393e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59155e-23, 0, 3.005e-25, 2.96112e-24, 0, 2.06201e-20, 0, 0, 0
0.0709321, 0, 4.81347e-20, 0, 1.41421, -4.81347e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71179e-23, 0, 7.10076e-25, 7.03187e-24, 0, 4.80898e-20, 0, 0, 0
0.0788141, 0, 1.10543e-19, 0, 1.41421, -1.10543e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52425e-23, 0, 1.65257e-24, 1.64367e-23, 0, 1.1044e-19, 0, 0, 0
0.0866961, 0, 2.50169e-19, 0, 1.41421, -2.50169e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9291e-22, 0, 3.79082e-24, 3.78483e-23, 0, 2.49934e-19, 0, 0, 0
0.0945781, 0, 5.58266e-19, 0, 1.41421, -5.58266e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30489e-22, 0, 8.5765e-24, 8.59169e-23, 0, 5.57741e-19, 0, 0, 0
0.10246, 0, 1.22913e-18, 0, 1.41421, -1.22913e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.47801e-22, 0, 1.91486e-23, 1.92391e-22, 0, 1.22797e-18, 0, 0, 0
0.110342, 0, 2.67128e-18, 0, 1.41421, -2.67128e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05986e-21, 0, 4.22118e-23, 4.25215e-22, 0, 2.66875e-18, 0, 0, 0
0.118224, 0, 5.73319e-18, 0, 1.41421, -5.73319e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42093e-21, 0, 9.19178e-23, 9.28045e-22, 0, 5.72775e-18, 0, 0, 0
0.126106, 0, 1.21563e-17, 0, 1.41421, -1.21563e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37387e-21, 0, 1.97793e-22, 2.00107e-21, 0, 1.21448e-17, 0, 0, 0
