   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_278.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0355468, 556, 0, 0, 23.622, 556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0276594, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.019772, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118846, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00399717, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00389023, 0, 4.34565e-26, 0, 1.41421, -4.34565e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81289e-29, 0, 0, 0, 0, 4.33683e-26, 0, 0, 0
0.0117776, 0, 1.45155e-25, 0, 1.41421, -1.45155e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94371e-28, 0, 0, 0, 0, 1.4486e-25, 0, 0, 0
0.019665, 0, 4.63096e-25, 0, 1.41421, -4.63096e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.39149e-28, 0, 0, 0, 0, 4.62157e-25, 0, 0, 0
0.0275524, 0, 1.42075e-24, 0, 1.41421, -1.42075e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88125e-27, 0, 0, 0, 0, 1.41787e-24, 0, 0, 0
0.0354398, 0, 4.21244e-24, 0, 1.41421, -4.21244e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54274e-27, 0, 0, 0, 0, 4.2039e-24, 0, 0, 0
0.0433272, 0, 1.21161e-23, 0, 1.41421, -1.21161e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45712e-26, 0, 0, 0, 0, 1.20915e-23, 0, 0, 0
0.0512146, 0, 3.39073e-23, 0, 1.41421, -3.39073e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87632e-26, 0, 0, 0, 0, 3.38385e-23, 0, 0, 0
0.059102, 0, 9.25457e-23, 0, 1.41421, -9.25457e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87681e-25, 0, 0, 0, 0, 9.2358e-23, 0, 0, 0
0.0669894, 0, 2.46831e-22, 0, 1.41421, -2.46831e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00568e-25, 0, 0, 0, 0, 2.4633e-22, 0, 0, 0
0.0748768, 0, 6.44359e-22, 0, 1.41421, -6.44359e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30675e-24, 0, 0, 0, 0, 6.43052e-22, 0, 0, 0
0.0827642, 0, 1.64868e-21, 0, 1.41421, -1.64868e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34348e-24, 0, 0, 0, 0, 1.64533e-21, 0, 0, 0
0.0906516, 0, 4.13933e-21, 0, 1.41421, -4.13933e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39448e-24, 0, 0, 0, 0, 4.13094e-21, 0, 0, 0
0.098539, 0, 1.02083e-20, 0, 1.41421, -1.02083e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07021e-23, 0, 0, 0, 0, 1.01876e-20, 0, 0, 0
0.106426, 0, 2.47503e-20, 0, 1.41421, -2.47503e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0193e-23, 0, 0, 0, 0, 2.47001e-20, 0, 0, 0
0.114314, 0, 5.90402e-20, 0, 1.41421, -5.90402e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19732e-22, 0, 0, 0, 0, 5.89205e-20, 0, 0, 0
0.122201, 0, 1.3866e-19, 0, 1.41421, -1.3866e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.812e-22, 0, 0, 0, 0, 1.38379e-19, 0, 0, 0
0.130089, 0, 3.2081e-19, 0, 1.41421, -3.2081e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50597e-22, 0, 0, 0, 0, 3.2016e-19, 0, 0, 0
0.137976, 0, 7.31594e-19, 0, 1.41421, -7.31594e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48366e-21, 0, 0, 0, 0, 7.3011e-19, 0, 0, 0
0.145863, 0, 1.64521e-18, 0, 1.41421, -1.64521e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33646e-21, 0, 0, 0, 0, 1.64188e-18, 0, 0, 0
0.153751, 0, 3.64999e-18, 0, 1.41421, -3.64999e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4021e-21, 0, 0, 0, 0, 3.64259e-18, 0, 0, 0
0.161638, 0, 7.99177e-18, 0, 1.41421, -7.99177e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62072e-20, 0, 0, 0, 0, 7.97557e-18, 0, 0, 0
0.169526, 0, 1.72753e-17, 0, 1.41421, -1.72753e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5034e-20, 0, 0, 0, 0, 1.72403e-17, 0, 0, 0
0.177413, 0, 3.68789e-17, 0, 1.41421, -3.68789e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47897e-20, 0, 0, 0, 0, 3.68042e-17, 0, 0, 0
0.1853, 0, 7.77715e-17, 0, 1.41421, -7.77715e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57719e-19, 0, 0, 0, 0, 7.76138e-17, 0, 0, 0
0.193188, 0, 1.62057e-16, 0, 1.41421, -1.62057e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28649e-19, 0, 0, 0, 0, 1.61729e-16, 0, 0, 0
0.201075, 0, 3.3375e-16, 0, 1.41421, -3.3375e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76839e-19, 0, 0, 0, 0, 3.33074e-16, 0, 0, 0
0.208963, 0, 6.79475e-16, 0, 1.41421, -6.79475e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37796e-18, 0, 0, 0, 0, 6.78098e-16, 0, 0, 0
0.21685, 0, 1.36776e-15, 0, 1.41421, -1.36776e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77378e-18, 0, 0, 0, 0, 1.36498e-15, 0, 0, 0
0.224737, 0, 2.7377e-15, 0, 1.41421, -2.7377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55198e-18, 0, 0, 0, 0, 2.73215e-15, 0, 0, 0
0.232625, 0, 5.38633e-15, 0, 1.41421, -5.38633e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09233e-17, 0, 0, 0, 0, 5.37541e-15, 0, 0, 0
