   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_283.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0304599, 566, 0, 0, 23.8328, 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0225784, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0146969, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00681538, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00106611, 0, 5.35734e-25, 0, 1.41421, -5.35734e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42327e-27, 0, 0, 2.19999e-30, 0, 0, 5.34309e-25, 0, 0, 0
0.0089476, 0, 2.33297e-24, 0, 1.41421, -2.33297e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19793e-27, 0, 0, 9.89344e-30, 0, 0, 2.32676e-24, 0, 0, 0
0.0168291, 0, 7.19795e-24, 0, 1.41421, -7.19795e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91226e-26, 0, 0, 3.09768e-29, 0, 0, 7.1788e-24, 0, 0, 0
0.0247106, 0, 2.13054e-23, 0, 1.41421, -2.13054e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66013e-26, 0, 0, 9.29854e-29, 0, 0, 2.12487e-23, 0, 0, 0
0.0325921, 0, 6.08806e-23, 0, 1.41421, -6.08806e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6174e-25, 0, 0, 2.6935e-28, 0, 0, 6.07186e-23, 0, 0, 0
0.0404736, 0, 1.68706e-22, 0, 1.41421, -1.68706e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48196e-25, 0, 0, 7.56427e-28, 0, 0, 1.68257e-22, 0, 0, 0
0.0483551, 0, 4.54893e-22, 0, 1.41421, -4.54893e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2085e-24, 0, 0, 2.06672e-27, 0, 0, 4.53683e-22, 0, 0, 0
0.0562366, 0, 1.19661e-21, 0, 1.41421, -1.19661e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17901e-24, 0, 0, 5.50858e-27, 0, 0, 1.19343e-21, 0, 0, 0
0.0641181, 0, 3.07735e-21, 0, 1.41421, -3.07735e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1755e-24, 0, 0, 1.43542e-26, 0, 0, 3.06916e-21, 0, 0, 0
0.0719996, 0, 7.75045e-21, 0, 1.41421, -7.75045e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05904e-23, 0, 0, 3.6633e-26, 0, 0, 7.72983e-21, 0, 0, 0
0.079881, 0, 1.91439e-20, 0, 1.41421, -1.91439e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0859e-23, 0, 0, 9.16988e-26, 0, 0, 1.90929e-20, 0, 0, 0
0.0877625, 0, 4.6432e-20, 0, 1.41421, -4.6432e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23354e-22, 0, 0, 2.25422e-25, 0, 0, 4.63084e-20, 0, 0, 0
0.095644, 0, 1.10699e-19, 0, 1.41421, -1.10699e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9409e-22, 0, 0, 5.44799e-25, 0, 0, 1.10404e-19, 0, 0, 0
0.103526, 0, 2.59657e-19, 0, 1.41421, -2.59657e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89823e-22, 0, 0, 1.29565e-24, 0, 0, 2.58966e-19, 0, 0, 0
0.111407, 0, 5.99693e-19, 0, 1.41421, -5.99693e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59319e-21, 0, 0, 3.03459e-24, 0, 0, 5.98097e-19, 0, 0, 0
0.119289, 0, 1.36469e-18, 0, 1.41421, -1.36469e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62553e-21, 0, 0, 7.0046e-24, 0, 0, 1.36106e-18, 0, 0, 0
0.12717, 0, 3.06179e-18, 0, 1.41421, -3.06179e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13416e-21, 0, 0, 1.59442e-23, 0, 0, 3.05364e-18, 0, 0, 0
0.135052, 0, 6.77619e-18, 0, 1.41421, -6.77619e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80021e-20, 0, 0, 3.58097e-23, 0, 0, 6.75815e-18, 0, 0, 0
0.142933, 0, 1.48003e-17, 0, 1.41421, -1.48003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93193e-20, 0, 0, 7.9394e-23, 0, 0, 1.47609e-17, 0, 0, 0
0.150815, 0, 3.1916e-17, 0, 1.41421, -3.1916e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47902e-20, 0, 0, 1.7384e-22, 0, 0, 3.1831e-17, 0, 0, 0
0.158696, 0, 6.79777e-17, 0, 1.41421, -6.79777e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80594e-19, 0, 0, 3.7606e-22, 0, 0, 6.77967e-17, 0, 0, 0
0.166577, 0, 1.4305e-16, 0, 1.41421, -1.4305e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80036e-19, 0, 0, 8.0401e-22, 0, 0, 1.42669e-16, 0, 0, 0
0.174459, 0, 2.9751e-16, 0, 1.41421, -2.9751e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90385e-19, 0, 0, 1.69941e-21, 0, 0, 2.96718e-16, 0, 0, 0
0.18234, 0, 6.1168e-16, 0, 1.41421, -6.1168e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62503e-18, 0, 0, 3.55211e-21, 0, 0, 6.10052e-16, 0, 0, 0
0.190222, 0, 1.24355e-15, 0, 1.41421, -1.24355e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30368e-18, 0, 0, 7.34414e-21, 0, 0, 1.24024e-15, 0, 0, 0
0.198103, 0, 2.5004e-15, 0, 1.41421, -2.5004e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6427e-18, 0, 0, 1.50232e-20, 0, 0, 2.49374e-15, 0, 0, 0
0.205985, 0, 4.9734e-15, 0, 1.41421, -4.9734e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32126e-17, 0, 0, 3.04121e-20, 0, 0, 4.96016e-15, 0, 0, 0
0.213866, 0, 9.78749e-15, 0, 1.41421, -9.78749e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60019e-17, 0, 0, 6.09358e-20, 0, 0, 9.76143e-15, 0, 0, 0
0.221748, 0, 1.90605e-14, 0, 1.41421, -1.90605e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06369e-17, 0, 0, 1.20871e-19, 0, 0, 1.90098e-14, 0, 0, 0
0.229629, 0, 3.67376e-14, 0, 1.41421, -3.67376e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75981e-17, 0, 0, 2.37392e-19, 0, 0, 3.66398e-14, 0, 0, 0
0.237511, 0, 7.00905e-14, 0, 1.41421, -7.00905e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86204e-16, 0, 0, 4.61715e-19, 0, 0, 6.99039e-14, 0, 0, 0
0.245392, 0, 1.32383e-13, 0, 1.41421, -1.32383e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5169e-16, 0, 0, 8.89481e-19, 0, 0, 1.32031e-13, 0, 0, 0
0.253274, 0, 2.47564e-13, 0, 1.41421, -2.47564e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57676e-16, 0, 0, 1.69755e-18, 0, 0, 2.46904e-13, 0, 0, 0
